Байршил,Орлогын төрөл,Он,value
  Хот,"    Тэтгэвэр, тэтгэмж",1997,5183.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2024,206331.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2023,170375.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2022,160790.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2021,114744.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2020,130224.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2019,127126.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2018,131707.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2017,106186.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2016,98499.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2015,119052.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2014,167199.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2013,143679.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2012,140290.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2011,75684.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2010,70030.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2009,69818.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2008,65257.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2007,57401.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2006,26671.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2005,33328.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2004,41268.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2003,43612.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2002,46057.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2001,28939.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2000,22565.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",1999,7715.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",1998,6799.0
  Хот,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",1997,5241.0
  Хот,    Бусад,2024,216997.0
  Хот,    Бусад,2023,180946.0
  Хот,    Бусад,2022,205121.0
  Хот,    Бусад,2021,172508.0
  Хот,    Бусад,2020,175078.0
  Хот,    Бусад,2019,128557.0
  Хот,    Бусад,2018,132822.0
  Хот,    Бусад,2017,102740.0
  Хот,    Бусад,2016,101664.0
  Хот,    Бусад,2015,116267.0
  Хот,    Бусад,2014,141334.0
  Хот,    Бусад,2013,114547.0
  Хот,    Бусад,2012,85868.0
  Хот,    Бусад,2011,61084.0
  Хот,    Бусад,2010,48276.0
  Хот,    Бусад,2009,39159.0
  Хот,    Бусад,2008,37725.0
  Хот,    Бусад,2007,24842.0
  Хот,    Бусад,2006,14723.0
  Хот,    Бусад,2005,15387.0
  Хот,    Бусад,2004,19043.0
  Хот,    Бусад,2003,43401.0
  Хот,    Бусад,2002,26131.0
  Хот,    Бусад,2001,41214.0
  Хот,    Бусад,2000,34029.0
  Хот,    Бусад,1999,24793.0
  Хот,    Бусад,1998,26261.0
  Хот,    Бусад,1997,21724.0
  Хот,2. Бусдаас үнэгүй авсан,2024,61279.0
  Хот,2. Бусдаас үнэгүй авсан,2023,53586.0
  Хот,2. Бусдаас үнэгүй авсан,2022,58784.0
  Хот,2. Бусдаас үнэгүй авсан,2021,40045.0
  Хот,2. Бусдаас үнэгүй авсан,2020,53795.0
  Хот,2. Бусдаас үнэгүй авсан,2019,61676.0
  Хот,2. Бусдаас үнэгүй авсан,2018,53722.0
  Хот,2. Бусдаас үнэгүй авсан,2017,49829.0
  Хот,2. Бусдаас үнэгүй авсан,2016,36928.0
  Хот,2. Бусдаас үнэгүй авсан,2015,45286.0
  Хот,2. Бусдаас үнэгүй авсан,2014,38284.0
  Хот,2. Бусдаас үнэгүй авсан,2013,34403.0
  Хот,2. Бусдаас үнэгүй авсан,2012,29727.0
  Хот,2. Бусдаас үнэгүй авсан,2011,21144.0
