Малын төрөл,Бүс,Он,value
Бүгд,             Завхан,2023,3067.6
Бүгд,             Завхан,2022,3721.1
Бүгд,             Завхан,2021,3755.2
Бүгд,             Завхан,2020,3607.8
Бүгд,             Завхан,2019,3849.9
Бүгд,             Завхан,2018,3555.4
Бүгд,             Завхан,2017,3597.3
Бүгд,             Завхан,2016,3406.2
Бүгд,             Завхан,2015,3133.0
Бүгд,             Завхан,2014,2895.9
Бүгд,             Завхан,2013,2539.0
Бүгд,             Завхан,2012,2280.0
Бүгд,             Завхан,2011,2006.1
Бүгд,             Завхан,2010,1717.7
Бүгд,             Завхан,2009,2827.6
Бүгд,             Завхан,2008,3136.0
Бүгд,             Завхан,2007,3000.0
Бүгд,             Завхан,2006,2550.8
Бүгд,             Завхан,2005,2102.2
Бүгд,             Завхан,2004,1901.8
Бүгд,             Завхан,2003,1628.6
Бүгд,             Завхан,2002,1443.2
Бүгд,             Завхан,2001,1486.7
Бүгд,             Завхан,2000,1941.3
Бүгд,             Завхан,1999,2432.0
Бүгд,             Завхан,1998,2603.6
Бүгд,             Завхан,1997,2556.5
Бүгд,             Завхан,1996,2474.5
Бүгд,             Завхан,1995,2401.4
Бүгд,             Завхан,1994,2246.8
Бүгд,             Завхан,1993,2003.8
Бүгд,             Завхан,1992,2085.0
Бүгд,             Завхан,1991,2079.9
Бүгд,             Завхан,1990,2133.4
Бүгд,             Завхан,1989,1987.3
Бүгд,             Завхан,1988,1834.6
Бүгд,             Завхан,1987,1804.2
Бүгд,             Завхан,1986,1744.6
Бүгд,             Завхан,1985,1703.9
Бүгд,             Завхан,1984,1690.8
Бүгд,             Завхан,1983,1795.6
Бүгд,             Завхан,1982,1864.1
Бүгд,             Завхан,1981,1777.7
Бүгд,             Завхан,1980,1875.9
Бүгд,             Завхан,1979,1842.2
Бүгд,             Завхан,1978,1832.0
Бүгд,             Завхан,1977,1713.0
Бүгд,             Завхан,1976,1867.6
Бүгд,             Завхан,1975,1837.5
Бүгд,             Завхан,1974,1786.9
Бүгд,             Завхан,1973,1811.2
Бүгд,             Завхан,1972,1821.7
Бүгд,             Завхан,1971,1781.6
Бүгд,             Завхан,1970,1686.6
Бүгд,              Увс,2024,2935.5
Бүгд,              Увс,2023,2994.5
Бүгд,              Увс,2022,3513.8
Бүгд,              Увс,2021,3726.4
Бүгд,              Увс,2020,3409.3
Бүгд,              Увс,2019,3279.6
Бүгд,              Увс,2018,3175.3
Бүгд,              Увс,2017,3129.9
Бүгд,              Увс,2016,2784.1
Бүгд,              Увс,2015,2729.1
Бүгд,              Увс,2014,2561.3
Бүгд,              Увс,2013,2225.1
