date,session,scheduled_start,actual_start,timing_status,data_status,source_article_url,source_attachment_url,metric,value,unit
2024-12-04,Autumn regular session,11:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63536/,,Sitting start delay,,minutes
2024-12-04,Autumn regular session,11:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63536/,,Officially on time,68,count
2024-12-04,Autumn regular session,11:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63536/,,Officially late,28,count
2024-12-04,Autumn regular session,11:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63536/,,General leave,2,count
2024-12-04,Autumn regular session,11:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63536/,,Medical leave,5,count
2024-12-04,Autumn regular session,11:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63536/,,Domestic official assignments,0,count
2024-12-04,Autumn regular session,11:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63536/,,Foreign official assignments,12,count
2024-12-04,Autumn regular session,11:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63536/,,Unexplained absences,11,count
2024-12-04,Autumn regular session,11:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63536/,,Physically attended,96,count
2024-12-04,Autumn regular session,11:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63536/,,Physical attendance rate,76.2,percent
2024-12-04,Autumn regular session,11:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63536/,,Official on-time rate among appearances,70.8,percent
2024-12-05,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63551/,,Agenda items,3,count
2024-12-05,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63551/,,Sitting start delay,,minutes
2024-12-05,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63551/,,Officially on time,86,count
2024-12-05,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63551/,,Officially late,20,count
2024-12-05,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63551/,,General leave,2,count
2024-12-05,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63551/,,Medical leave,5,count
2024-12-05,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63551/,,Domestic official assignments,0,count
