огноо,он,үе,төлөв,тоо,товлосон_цаг,эхэлсэн_цаг,эхлэлтийн_хоцролт_минут
2025-06-24,2025,period-2,Тайлбаргүй тасалсан,19,14:00,15:01,61
2025-06-25,2025,period-2,Цагтаа ирсэн,84,14:00,14:17,17
2025-06-25,2025,period-2,Хоцорсон,19,14:00,14:17,17
2025-06-25,2025,period-2,Зөвшөөрөгдсөн чөлөө,10,14:00,14:17,17
2025-06-25,2025,period-2,Албан томилолт,6,14:00,14:17,17
2025-06-25,2025,period-2,Тайлбаргүй тасалсан,7,14:00,14:17,17
2025-06-26,2025,period-2,Цагтаа ирсэн,73,10:00,10:05,5
2025-06-26,2025,period-2,Хоцорсон,18,10:00,10:05,5
2025-06-26,2025,period-2,Зөвшөөрөгдсөн чөлөө,7,10:00,10:05,5
2025-06-26,2025,period-2,Албан томилолт,14,10:00,10:05,5
2025-06-26,2025,period-2,Тайлбаргүй тасалсан,14,10:00,10:05,5
2025-06-27,2025,period-2,Цагтаа ирсэн,65,10:00,10:03,3
2025-06-27,2025,period-2,Хоцорсон,35,10:00,10:03,3
2025-06-27,2025,period-2,Зөвшөөрөгдсөн чөлөө,8,10:00,10:03,3
2025-06-27,2025,period-2,Албан томилолт,15,10:00,10:03,3
2025-06-27,2025,period-2,Тайлбаргүй тасалсан,3,10:00,10:03,3
2025-07-02,2025,period-2,Цагтаа ирсэн,73,14:00,14:07,7
2025-07-02,2025,period-2,Хоцорсон,36,14:00,14:07,7
2025-07-02,2025,period-2,Зөвшөөрөгдсөн чөлөө,10,14:00,14:07,7
2025-07-02,2025,period-2,Албан томилолт,4,14:00,14:07,7
2025-07-02,2025,period-2,Тайлбаргүй тасалсан,3,14:00,14:07,7
2025-07-03,2025,period-2,Цагтаа ирсэн,83,14:00,14:05,5
2025-07-03,2025,period-2,Хоцорсон,29,14:00,14:05,5
2025-07-03,2025,period-2,Зөвшөөрөгдсөн чөлөө,8,14:00,14:05,5
2025-07-03,2025,period-2,Албан томилолт,5,14:00,14:05,5
2025-07-03,2025,period-2,Тайлбаргүй тасалсан,1,14:00,14:05,5
2025-07-04,2025,period-2,Цагтаа ирсэн,73,10:00,10:10,10
2025-07-04,2025,period-2,Хоцорсон,40,10:00,10:10,10
2025-07-04,2025,period-2,Зөвшөөрөгдсөн чөлөө,6,10:00,10:10,10
2025-07-04,2025,period-2,Албан томилолт,3,10:00,10:10,10
2025-07-04,2025,period-2,Тайлбаргүй тасалсан,4,10:00,10:10,10
2025-07-08,2025,period-2,Цагтаа ирсэн,59,,10:00,
2025-07-08,2025,period-2,Хоцорсон,50,,10:00,
2025-07-08,2025,period-2,Зөвшөөрөгдсөн чөлөө,9,,10:00,
2025-07-08,2025,period-2,Албан томилолт,8,,10:00,
2025-07-08,2025,period-2,Тайлбаргүй тасалсан,0,,10:00,
2025-07-09,2025,period-2,Цагтаа ирсэн,70,10:00,08:07,-113
2025-07-09,2025,period-2,Хоцорсон,37,10:00,08:07,-113
2025-07-09,2025,period-2,Зөвшөөрөгдсөн чөлөө,10,10:00,08:07,-113
2025-07-09,2025,period-2,Албан томилолт,6,10:00,08:07,-113
2025-07-09,2025,period-2,Тайлбаргүй тасалсан,3,10:00,08:07,-113
2025-09-15,2025,period-3,Цагтаа ирсэн,112,10:00,10:02,2
2025-09-15,2025,period-3,Хоцорсон,6,10:00,10:02,2
2025-09-15,2025,period-3,Зөвшөөрөгдсөн чөлөө,6,10:00,10:02,2
2025-09-15,2025,period-3,Албан томилолт,0,10:00,10:02,2
2025-09-15,2025,period-3,Тайлбаргүй тасалсан,2,10:00,10:02,2
2025-09-17,2025,period-3,Цагтаа ирсэн,87,,10:00,
2025-09-17,2025,period-3,Хоцорсон,27,,10:00,
2025-09-17,2025,period-3,Зөвшөөрөгдсөн чөлөө,7,,10:00,
2025-09-17,2025,period-3,Албан томилолт,4,,10:00,
2025-09-17,2025,period-3,Тайлбаргүй тасалсан,1,,10:00,
2025-09-18,2025,period-3,Цагтаа ирсэн,81,,10:00,
2025-09-18,2025,period-3,Хоцорсон,31,,10:00,
2025-09-18,2025,period-3,Зөвшөөрөгдсөн чөлөө,5,,10:00,
2025-09-18,2025,period-3,Албан томилолт,7,,10:00,
2025-09-18,2025,period-3,Тайлбаргүй тасалсан,2,,10:00,
2025-09-19,2025,period-3,Цагтаа ирсэн,66,,10:00,
2025-09-19,2025,period-3,Хоцорсон,41,,10:00,
2025-09-19,2025,period-3,Зөвшөөрөгдсөн чөлөө,7,,10:00,
2025-09-19,2025,period-3,Албан томилолт,11,,10:00,
2025-09-19,2025,period-3,Тайлбаргүй тасалсан,1,,10:00,
2025-09-23,2025,period-3,Цагтаа ирсэн,71,14:00,14:02,2
2025-09-23,2025,period-3,Хоцорсон,32,14:00,14:02,2
2025-09-23,2025,period-3,Зөвшөөрөгдсөн чөлөө,6,14:00,14:02,2
2025-09-23,2025,period-3,Албан томилолт,13,14:00,14:02,2
2025-09-23,2025,period-3,Тайлбаргүй тасалсан,4,14:00,14:02,2
2025-09-24,2025,period-3,Цагтаа ирсэн,70,10:00,10:02,2
2025-09-24,2025,period-3,Хоцорсон,38,10:00,10:02,2
2025-09-24,2025,period-3,Зөвшөөрөгдсөн чөлөө,5,10:00,10:02,2
