Бүс,Үзүүлэлт,Он,value
    Баруун бүс,Чих хамар хоолойн,2020,10.0
    Баруун бүс,Чих хамар хоолойн,2019,9.0
    Баруун бүс,Чих хамар хоолойн,2018,8.0
    Баруун бүс,Чих хамар хоолойн,2017,7.0
    Баруун бүс,Чих хамар хоолойн,2016,8.0
    Баруун бүс,Чих хамар хоолойн,2015,9.0
    Баруун бүс,"Арьс, харшлын",2025,17.0
    Баруун бүс,"Арьс, харшлын",2024,19.0
    Баруун бүс,"Арьс, харшлын",2023,17.0
    Баруун бүс,"Арьс, харшлын",2022,12.0
    Баруун бүс,"Арьс, харшлын",2021,11.0
    Баруун бүс,"Арьс, харшлын",2020,11.0
    Баруун бүс,"Арьс, харшлын",2019,22.0
    Баруун бүс,"Арьс, харшлын",2018,7.0
    Баруун бүс,"Арьс, харшлын",2017,8.0
    Баруун бүс,"Арьс, харшлын",2016,4.0
    Баруун бүс,"Арьс, харшлын",2015,5.0
    Баруун бүс,Халдвартын,2025,155.0
    Баруун бүс,Халдвартын,2024,144.0
    Баруун бүс,Халдвартын,2023,143.0
    Баруун бүс,Халдвартын,2022,143.0
    Баруун бүс,Халдвартын,2021,124.0
    Баруун бүс,Халдвартын,2020,120.0
    Баруун бүс,Халдвартын,2019,76.0
    Баруун бүс,Халдвартын,2018,36.0
    Баруун бүс,Халдвартын,2017,40.0
    Баруун бүс,Халдвартын,2016,40.0
    Баруун бүс,Халдвартын,2015,26.0
    Баруун бүс,Сүрьеэгийн,2025,0.0
    Баруун бүс,Сүрьеэгийн,2024,0.0
    Баруун бүс,Сүрьеэгийн,2023,0.0
    Баруун бүс,Сүрьеэгийн,2022,0.0
    Баруун бүс,Сүрьеэгийн,2021,0.0
    Баруун бүс,Сүрьеэгийн,2020,0.0
    Баруун бүс,Сүрьеэгийн,2019,0.0
    Баруун бүс,Сүрьеэгийн,2018,14.0
    Баруун бүс,Сүрьеэгийн,2017,13.0
    Баруун бүс,Сүрьеэгийн,2016,13.0
    Баруун бүс,Сүрьеэгийн,2015,14.0
    Баруун бүс,ДОХ/БЗДХ-ын/,2025,0.0
    Баруун бүс,ДОХ/БЗДХ-ын/,2024,0.0
    Баруун бүс,ДОХ/БЗДХ-ын/,2023,0.0
    Баруун бүс,ДОХ/БЗДХ-ын/,2022,0.0
