code,zone,district_code,district,area_km2,lon,lat
15171,"40, 50 myangat-2",15,Chingeltei,0.148,106.90275,47.920419
15172,"40, 50 myangat-3",15,Chingeltei,0.286,106.901548,47.917325
16010,Uildveriin tuviin bus-1,16,Bayangol,1.014,106.872333,47.910332
16020,Uildveriin tuviin bus-2,16,Bayangol,0.522,106.900656,47.90573
16030,Uildveriin tuviin bus-3,16,Bayangol,1.336,106.875153,47.906281
16040,Gandan,16,Bayangol,0.559,106.894608,47.920351
16050,2-r khoroolol-1,16,Bayangol,0.321,106.884771,47.915405
16051,2-r khoroolol-2,16,Bayangol,0.439,106.889044,47.911565
16052,2-r khoroolol-3,16,Bayangol,0.444,106.878831,47.912073
16060,4-r khoroolol-1,16,Bayangol,0.19,106.891168,47.925778
16061,4-r khoroolol-2,16,Bayangol,0.5,106.884822,47.930773
16062,4-r khoroolol-3,16,Bayangol,0.143,106.88602,47.924589
16063,4-r khoroolol-4,16,Bayangol,0.255,106.887241,47.920914
16064,4-r khoroolol-5,16,Bayangol,0.197,106.884802,47.917489
16065,4-r khoroolol-6,16,Bayangol,0.273,106.879828,47.927712
16066,4-r khoroolol-7,16,Bayangol,0.14,106.879574,47.923959
16067,4-r khoroolol-8,16,Bayangol,0.307,106.879995,47.920439
16070,Naran-BGD,16,Bayangol,3.239,106.867685,47.934602
16080,10-r khoroolol-1,16,Bayangol,0.322,106.870439,47.915661
16081,10-r khoroolol-2,16,Bayangol,0.384,106.860094,47.915535
16090,3-r khoroolol-1,16,Bayangol,0.237,106.872786,47.926773
16091,3-r khoroolol-2,16,Bayangol,0.18,106.871037,47.923665
16092,3-r khoroolol-3,16,Bayangol,0.411,106.871236,47.919952
16093,3-r khoroolol-4,16,Bayangol,0.193,106.865789,47.925346
16094,3-r khoroolol-5,16,Bayangol,0.37,106.860877,47.919758
16095,3-r khoroolol-6,16,Bayangol,0.337,106.858173,47.922727
16100,Uildveriin baruun bus-1,16,Bayangol,2.693,106.842155,47.90538
16101,Uildveriin baruun bus-2,16,Bayangol,4.135,106.813321,47.901247
16102,Uildveriin baruun bus-3,16,Bayangol,1.903,106.79266,47.900023
16103,Uildveriin baruun bus-4,16,Bayangol,3.201,106.802403,47.886881
17009,Shine suurishil,17,Khan-Uul,0.085,106.92963,47.907371
17010,Stadion Orgil-1,17,Khan-Uul,0.488,106.919501,47.906102
17011,Stadion Orgil-2,17,Khan-Uul,0.744,106.919763,47.901739
17012,Stadion Orgil-3,17,Khan-Uul,1.853,106.92445,47.891093
17013,Stadion Orgil-4,17,Khan-Uul,0.852,106.922076,47.897189
17020,Zaisan-1,17,Khan-Uul,0.646,106.924916,47.883795
17021,Zaisan-2,17,Khan-Uul,0.616,106.923414,47.878382
17022,Zaisan-3,17,Khan-Uul,2.187,106.911747,47.866424
17023,Zaisan-4,17,Khan-Uul,0.482,106.915325,47.885747
17024,Zaisan-5,17,Khan-Uul,0.187,106.914819,47.87878
17025,Zaisan-6,17,Khan-Uul,0.553,106.910486,47.873098
17027,Zaisan-7,17,Khan-Uul,0.121,106.910759,47.879326
17028,Zaisan-8,17,Khan-Uul,0.346,106.902355,47.8698
17029,Zaisan-9,17,Khan-Uul,0.773,106.906232,47.885106
17030,19-r khoroolol-1,17,Khan-Uul,0.195,106.90829,47.901871
17031,19-r khoroolol-2,17,Khan-Uul,0.292,106.90533,47.903141
17032,19-r khoroolol-3,17,Khan-Uul,0.153,106.899016,47.901006
17033,19-r khoroolol-4,17,Khan-Uul,0.103,106.894985,47.900562
17040,Uildver 2-1,17,Khan-Uul,0.345,106.905073,47.896143
17041,Uildver 2-2,17,Khan-Uul,0.295,106.903154,47.891284
17042,Uildver 2-3,17,Khan-Uul,0.954,106.894303,47.894622
17043,Uildver 2-4,17,Khan-Uul,0.576,106.8794,47.892096
17050,Boginy am,17,Khan-Uul,2.287,106.893822,47.880963
17051,Chandmani,17,Khan-Uul,3.074,106.879475,47.879604
17060,Uildver 1-1,17,Khan-Uul,0.775,106.884518,47.900661
17061,Uildver 1-2,17,Khan-Uul,0.73,106.874866,47.898474
17062,Uildver 1-3,17,Khan-Uul,0.634,106.864722,47.902742
17070,Uildveriin baruun bus-1,17,Khan-Uul,1.024,106.865588,47.894725
17071,Uildveriin baruun bus-2,17,Khan-Uul,6.179,106.839703,47.888363
17080,Khuushiin am,17,Khan-Uul,6.286,106.866147,47.868221
17081,Ikh tengeriin am-2,17,Khan-Uul,10.27,106.934003,47.86011
17082,Suurishilgui bus,17,Khan-Uul,7.871,106.902744,47.849801
17090,Nukhtiin am,17,Khan-Uul,13.122,106.865562,47.830724
17091,Jargalantyn am,17,Khan-Uul,17.226,106.831347,47.810426
17100,Artsatyn am,17,Khan-Uul,10.745,106.854128,47.852714
17101,"Morin toiruulga, naadamchdyn talbai",17,Khan-Uul,6.263,106.811058,47.854042
17102,Darga tolgoin kheseg,17,Khan-Uul,8.02,106.806698,47.831937
17110,Yaarmag-1,17,Khan-Uul,3.774,106.825331,47.87602
17111,Yaarmag-2,17,Khan-Uul,3.185,106.796471,47.870648
17120,Buyant Ukhaa  khoroolol-1,17,Khan-Uul,4.568,106.773149,47.867899
17121,Buyant Ukhaa  khoroolol-2,17,Khan-Uul,7.556,106.770918,47.84493
