type_of_livestock,region,year,value
Total,Arkhangai,2004,1948.24
Total,Arkhangai,2003,1837.45
Total,Arkhangai,2002,1748.82
Total,Arkhangai,2001,1836.12
Total,Arkhangai,2000,2216.1
Total,Arkhangai,1999,2335.53
Total,Arkhangai,1998,2119.27
Total,Arkhangai,1997,1924.19
Total,Arkhangai,1996,1725.06
Total,Arkhangai,1995,1626.38
Total,Arkhangai,1994,1626.29
Total,Arkhangai,1993,1494.69
Total,Arkhangai,1992,1495.9
Total,Arkhangai,1991,1504.01
Total,Arkhangai,1990,1496.25
Total,Arkhangai,1989,1382.16
Total,Arkhangai,1988,1296.58
Total,Arkhangai,1987,1243.12
Total,Arkhangai,1986,1211.06
Total,Arkhangai,1985,1202.52
Total,Arkhangai,1984,1315.38
Total,Arkhangai,1983,1386.32
Total,Arkhangai,1982,1527.51
Total,Arkhangai,1981,1512.33
Total,Arkhangai,1980,1451.9
Total,Arkhangai,1979,1427.96
Total,Arkhangai,1978,1425.98
Total,Arkhangai,1977,1393.16
Total,Arkhangai,1976,1490.12
Total,Arkhangai,1975,1550.37
Total,Arkhangai,1974,1549.06
Total,Arkhangai,1973,1491.95
Total,Arkhangai,1972,1499.68
Total,Arkhangai,1971,1510.99
Total,Arkhangai,1970,1479.28
Total,Bayankhongor,2025,4231.99
Total,Bayankhongor,2024,4027.08
Total,Bayankhongor,2023,4072.2
Total,Bayankhongor,2022,3719.59
Total,Bayankhongor,2021,3127.12
Total,Bayankhongor,2020,3839.88
Total,Bayankhongor,2019,4644.87
Total,Bayankhongor,2018,4249.47
Total,Bayankhongor,2017,4587.74
Total,Bayankhongor,2016,4236.32
Total,Bayankhongor,2015,3771.87
Total,Bayankhongor,2014,3465.86
Total,Bayankhongor,2013,2987.06
Total,Bayankhongor,2012,2640.83
Total,Bayankhongor,2011,2237.77
Total,Bayankhongor,2010,1962.97
Total,Bayankhongor,2009,2684.7
Total,Bayankhongor,2008,2643.52
Total,Bayankhongor,2007,2284.71
Total,Bayankhongor,2006,1878.39
Total,Bayankhongor,2005,1553.46
Total,Bayankhongor,2004,1323.65
Total,Bayankhongor,2003,1099.23
Total,Bayankhongor,2002,862.21
Total,Bayankhongor,2001,1581.68
Total,Bayankhongor,2000,2375.69
Total,Bayankhongor,1999,2475.11
Total,Bayankhongor,1998,2511.32
Total,Bayankhongor,1997,2427.97
Total,Bayankhongor,1996,2233.06
Total,Bayankhongor,1995,2227.15
Total,Bayankhongor,1994,1995.16
Total,Bayankhongor,1993,1713.47
Total,Bayankhongor,1992,1761.9
Total,Bayankhongor,1991,1674.52
Total,Bayankhongor,1990,1599.11
Total,Bayankhongor,1989,1475.44
Total,Bayankhongor,1988,1339.63
Total,Bayankhongor,1987,1453.82
Total,Bayankhongor,1986,1416.31
Total,Bayankhongor,1985,1399.9
Total,Bayankhongor,1984,1486.9
Total,Bayankhongor,1983,1847.05
Total,Bayankhongor,1982,1938.4
Total,Bayankhongor,1981,1887.81
Total,Bayankhongor,1980,1832.71
Total,Bayankhongor,1979,1790.58
Total,Bayankhongor,1978,1821.28
Total,Bayankhongor,1977,1783.51
Total,Bayankhongor,1976,1694.58
Total,Bayankhongor,1975,1721.49
Total,Bayankhongor,1974,1686.55
Total,Bayankhongor,1973,1664.39
Total,Bayankhongor,1972,1669.96
Total,Bayankhongor,1971,1593.35
Total,Bayankhongor,1970,1593.38
Total,Uvurkhangai,2025,5064.48
Total,Uvurkhangai,2024,5137.95
Total,Uvurkhangai,2023,4734.69
Total,Uvurkhangai,2022,4590.41
Total,Uvurkhangai,2021,4022.69
Total,Uvurkhangai,2020,4479.06
Total,Uvurkhangai,2019,5625.46
Total,Uvurkhangai,2018,5461.35
Total,Uvurkhangai,2017,5743.53
Total,Uvurkhangai,2016,5208.58
Total,Uvurkhangai,2015,4510.99
Total,Uvurkhangai,2014,4111.52
Total,Uvurkhangai,2013,3486.04
Total,Uvurkhangai,2012,2970.69
Total,Uvurkhangai,2011,2425.65
Total,Uvurkhangai,2010,2010.56
Total,Uvurkhangai,2009,3620.17
Total,Uvurkhangai,2008,3449.75
Total,Uvurkhangai,2007,3190.19
Total,Uvurkhangai,2006,2623.26
Total,Uvurkhangai,2005,2301.15
Total,Uvurkhangai,2004,2155.45
Total,Uvurkhangai,2003,1918.83
Total,Uvurkhangai,2002,1665.36
Total,Uvurkhangai,2001,1869.09
Total,Uvurkhangai,2000,2159.04
Total,Uvurkhangai,1999,2956.64
Total,Uvurkhangai,1998,2921.52
Total,Uvurkhangai,1997,2718.23
Total,Uvurkhangai,1996,2550.13
Total,Uvurkhangai,1995,2594.98
Total,Uvurkhangai,1994,2346.22
Total,Uvurkhangai,1993,2106.03
Total,Uvurkhangai,1992,2045.96
Total,Uvurkhangai,1991,2022.31
Total,Uvurkhangai,1990,2061.61
Total,Uvurkhangai,1989,1937.6
Total,Uvurkhangai,1988,1777.57
Total,Uvurkhangai,1987,1749.34
Total,Uvurkhangai,1986,1726.08
Total,Uvurkhangai,1985,1675.68
Total,Uvurkhangai,1984,1736.04
Total,Uvurkhangai,1983,1739.83
Total,Uvurkhangai,1982,2009.96
Total,Uvurkhangai,1981,1928.89
Total,Uvurkhangai,1980,1933.9
Total,Uvurkhangai,1979,2023.21
Total,Uvurkhangai,1978,2016.82
Total,Uvurkhangai,1977,1953.34
Total,Uvurkhangai,1976,1914.48
Total,Uvurkhangai,1975,1875.19
Total,Uvurkhangai,1974,1820.08
Total,Uvurkhangai,1973,1733.06
Total,Uvurkhangai,1972,1713.78
Total,Uvurkhangai,1971,1652.08
Total,Uvurkhangai,1970,1707.77
Total,Western region,2025,13777.17
Total,Western region,2024,14655.26
Total,Western region,2023,14316.24
Total,Western region,2022,16131.03
Total,Western region,2021,16448.05
Total,Western region,2020,15845.18
Total,Western region,2019,16004.3
Total,Western region,2018,15557.38
Total,Western region,2017,16201.58
Total,Western region,2016,15135.83
Total,Western region,2015,13711.18
Total,Western region,2014,12544.51
Total,Western region,2013,10832.75
Total,Western region,2012,9670.83
Total,Western region,2011,8525.37
Total,Western region,2010,7418.46
Total,Western region,2009,10888.37
Total,Western region,2008,12157.44
Total,Western region,2007,12301.86
Total,Western region,2006,10914.92
Total,Western region,2005,9241.85
Total,Western region,2004,8524.74
Total,Western region,2003,7410.78
Total,Western region,2002,6482.24
Total,Western region,2001,7587.28
Total,Western region,2000,8702.4
Total,Western region,1999,9665.36
Total,Western region,1998,9798.66
Total,Western region,1997,9971.22
Total,Western region,1996,9687.39
Total,Western region,1995,9683.03
Total,Western region,1994,8989.71
Total,Western region,1993,8227.63
Total,Western region,1992,8178.9
Total,Western region,1991,8158.19
Total,Western region,1990,8499.71
Total,Western region,1989,8159.18
Total,Western region,1988,7801.24
Total,Western region,1987,7659.06
Total,Western region,1986,7448.66
Total,Western region,1985,7319.57
Total,Western region,1984,6945.97
Total,Western region,1983,7350.64
Total,Western region,1982,7657.02
Total,Western region,1981,7571.29
Total,Western region,1980,7584.59
Total,Western region,1979,7546.63
Total,Western region,1978,7413.02
Total,Western region,1977,7169.72
Total,Western region,1976,7510.51
Total,Western region,1975,7630.7
Total,Western region,1974,7760.01
Total,Western region,1973,7856.79
Total,Western region,1972,7600.46
Total,Western region,1971,7570.68
Total,Western region,1970,7246.47
Total,Bayan-Ulgii,2025,1918.95
Total,Bayan-Ulgii,2024,2125.12
Total,Bayan-Ulgii,2023,2046.1
Total,Bayan-Ulgii,2022,2255.8
Total,Bayan-Ulgii,2021,2379.01
Total,Bayan-Ulgii,2020,2224.68
Total,Bayan-Ulgii,2019,2192.76
Total,Bayan-Ulgii,2018,2166.92
Total,Bayan-Ulgii,2017,2226.15
Total,Bayan-Ulgii,2016,2167.35
Total,Bayan-Ulgii,2015,2021.05
Total,Bayan-Ulgii,2014,1883.61
Total,Bayan-Ulgii,2013,1604.08
Total,Bayan-Ulgii,2012,1410.61
Total,Bayan-Ulgii,2011,1302.79
Total,Bayan-Ulgii,2010,1126.86
Total,Bayan-Ulgii,2009,1301.46
Total,Bayan-Ulgii,2008,1529.56
Total,Bayan-Ulgii,2007,1597.34
Total,Bayan-Ulgii,2006,1470.25
Total,Bayan-Ulgii,2005,1320.49
Total,Bayan-Ulgii,2004,1346.65
Total,Bayan-Ulgii,2003,1315.6
Total,Bayan-Ulgii,2002,1234.16
Total,Bayan-Ulgii,2001,1297.83
Total,Bayan-Ulgii,2000,1310.39
Total,Bayan-Ulgii,1999,1362.42
Total,Bayan-Ulgii,1998,1345.97
Total,Bayan-Ulgii,1997,1519.36
Total,Bayan-Ulgii,1996,1405.82
Total,Bayan-Ulgii,1995,1354.23
Total,Bayan-Ulgii,1994,1156.62
Total,Bayan-Ulgii,1993,1005.39
Total,Bayan-Ulgii,1992,1033.51
Total,Bayan-Ulgii,1991,1159.89
Total,Bayan-Ulgii,1990,1318.39
Total,Bayan-Ulgii,1989,1284.03
Total,Bayan-Ulgii,1988,1235.4
Total,Bayan-Ulgii,1987,1241.16
Total,Bayan-Ulgii,1986,1235.95
Total,Bayan-Ulgii,1985,1198.58
Total,Bayan-Ulgii,1984,1161.42
Total,Bayan-Ulgii,1983,1137.88
Total,Bayan-Ulgii,1982,1171.06
Total,Bayan-Ulgii,1981,1135.24
Total,Bayan-Ulgii,1980,1105.81
Total,Bayan-Ulgii,1979,1078.7
Total,Bayan-Ulgii,1978,1019.36
Total,Bayan-Ulgii,1977,1025.22
Total,Bayan-Ulgii,1976,1101.8
Total,Bayan-Ulgii,1975,1092.51
Total,Bayan-Ulgii,1974,1155.01
Total,Bayan-Ulgii,1973,1178.38
Total,Bayan-Ulgii,1972,1107.42
Total,Bayan-Ulgii,1971,1106.38
Total,Bayan-Ulgii,1970,1073.85
Total,Govi-Altai,2025,3035.73
Total,Govi-Altai,2024,3095.25
Total,Govi-Altai,2023,3013.21
Total,Govi-Altai,2022,3167.47
Total,Govi-Altai,2021,2990.51
Total,Govi-Altai,2020,3310.83
Total,Govi-Altai,2019,3597.7
Total,Govi-Altai,2018,3513.37
Total,Govi-Altai,2017,3801.65
Total,Govi-Altai,2016,3497.49
Total,Govi-Altai,2015,2922.57
Total,Govi-Altai,2014,2578.12
Total,Govi-Altai,2013,2223.19
Total,Govi-Altai,2012,1911.05
Total,Govi-Altai,2011,1613.34
Total,Govi-Altai,2010,1315.49
Total,Govi-Altai,2009,2171.81
Total,Govi-Altai,2008,2505.88
Total,Govi-Altai,2007,2486.63
Total,Govi-Altai,2006,2199.16
Total,Govi-Altai,2005,1834.24
Total,Govi-Altai,2004,1539.57
Total,Govi-Altai,2003,1261.21
Total,Govi-Altai,2002,1010.53
Total,Govi-Altai,2001,1714.73
Total,Govi-Altai,2000,2035.1
Total,Govi-Altai,1999,2113.19
Total,Govi-Altai,1998,2113.14
Total,Govi-Altai,1997,2112.51
Total,Govi-Altai,1996,2087.21
Total,Govi-Altai,1995,2102.51
Total,Govi-Altai,1994,1973.37
Total,Govi-Altai,1993,1766.94
Total,Govi-Altai,1992,1775.25
Total,Govi-Altai,1991,1696.58
Total,Govi-Altai,1990,1693.57
Total,Govi-Altai,1989,1636.02
Total,Govi-Altai,1988,1561.56
Total,Govi-Altai,1987,1543.83
Total,Govi-Altai,1986,1477.66
Total,Govi-Altai,1985,1458.44
Total,Govi-Altai,1984,1321.29
Total,Govi-Altai,1983,1500.25
Total,Govi-Altai,1982,1549.71
Total,Govi-Altai,1981,1571.92
Total,Govi-Altai,1980,1582.04
Total,Govi-Altai,1979,1579.76
Total,Govi-Altai,1978,1590.23
Total,Govi-Altai,1977,1564.18
Total,Govi-Altai,1976,1524.01
Total,Govi-Altai,1975,1497.76
Total,Govi-Altai,1974,1451.57
Total,Govi-Altai,1973,1453.64
Total,Govi-Altai,1972,1395.3
Total,Govi-Altai,1971,1414.88
Total,Govi-Altai,1970,1342.49
Total,Zavkhan,2025,3028.08
Total,Zavkhan,2024,3008.25
Total,Zavkhan,2023,3067.55
Total,Zavkhan,2022,3721.06
Total,Zavkhan,2021,3755.16
Total,Zavkhan,2020,3607.84
Total,Zavkhan,2019,3849.91
Total,Zavkhan,2018,3555.41
Total,Zavkhan,2017,3597.28
Total,Zavkhan,2016,3406.21
Total,Zavkhan,2015,3133.02
Total,Zavkhan,2014,2895.89
Total,Zavkhan,2013,2539.01
Total,Zavkhan,2012,2280.0
Total,Zavkhan,2011,2006.12
Total,Zavkhan,2010,1717.7
Total,Zavkhan,2009,2827.6
Total,Zavkhan,2008,3135.97
Total,Zavkhan,2007,3000.01
Total,Zavkhan,2006,2550.79
Total,Zavkhan,2005,2102.15
Total,Zavkhan,2004,1901.8
Total,Zavkhan,2003,1628.61
Total,Zavkhan,2002,1443.22
Total,Zavkhan,2001,1486.71
Total,Zavkhan,2000,1941.32
Total,Zavkhan,1999,2432.02
Total,Zavkhan,1998,2603.62
Total,Zavkhan,1997,2556.54
Total,Zavkhan,1996,2474.54
Total,Zavkhan,1995,2401.44
Total,Zavkhan,1994,2246.84
Total,Zavkhan,1993,2003.83
Total,Zavkhan,1992,2085.01
Total,Zavkhan,1991,2079.85
Total,Zavkhan,1990,2133.4
Total,Zavkhan,1989,1987.32
Total,Zavkhan,1988,1834.6
Total,Zavkhan,1987,1804.2
Total,Zavkhan,1986,1744.61
Total,Zavkhan,1985,1703.93
Total,Zavkhan,1984,1690.81
Total,Zavkhan,1983,1795.56
Total,Zavkhan,1982,1864.13
Total,Zavkhan,1981,1777.74
Total,Zavkhan,1980,1875.89
Total,Zavkhan,1979,1842.19
Total,Zavkhan,1978,1832.01
Total,Zavkhan,1977,1713.04
Total,Zavkhan,1976,1867.61
Total,Zavkhan,1975,1837.52
Total,Zavkhan,1974,1786.86
Total,Zavkhan,1973,1811.15
Total,Zavkhan,1972,1821.65
Total,Zavkhan,1971,1781.6
Total,Zavkhan,1970,1686.63
Total,Uvs,2025,2611.34
Total,Uvs,2024,2935.54
Total,Uvs,2023,2994.49
Total,Uvs,2022,3513.85
Total,Uvs,2021,3726.4
Total,Uvs,2020,3409.25
Total,Uvs,2019,3279.6
Total,Uvs,2018,3175.28
Total,Uvs,2017,3129.88
Total,Uvs,2016,2784.14
Total,Uvs,2015,2729.11
Total,Uvs,2014,2561.32
Total,Uvs,2013,2225.14
Total,Uvs,2012,2030.7
Total,Uvs,2011,1831.83
Total,Uvs,2010,1619.31
Total,Uvs,2009,2319.11
Total,Uvs,2008,2499.33
Total,Uvs,2007,2653.53
Total,Uvs,2006,2400.92
Total,Uvs,2005,2021.26
Total,Uvs,2004,1948.25
Total,Uvs,2003,1664.36
Total,Uvs,2002,1470.41
Total,Uvs,2001,1575.62
Total,Uvs,2000,1579.32
Total,Uvs,1999,1889.82
Total,Uvs,1998,1940.08
Total,Uvs,1997,1856.34
Total,Uvs,1996,1764.93
Total,Uvs,1995,1754.23
Total,Uvs,1994,1707.91
Total,Uvs,1993,1628.47
Total,Uvs,1992,1596.56
Total,Uvs,1991,1585.27
Total,Uvs,1990,1666.65
Total,Uvs,1989,1614.08
Total,Uvs,1988,1561.57
Total,Uvs,1987,1515.69
Total,Uvs,1986,1488.76
Total,Uvs,1985,1470.06
Total,Uvs,1984,1420.78
Total,Uvs,1983,1417.94
Total,Uvs,1982,1494.82
Total,Uvs,1981,1445.09
Total,Uvs,1980,1481.27
Total,Uvs,1979,1486.78
Total,Uvs,1978,1427.5
Total,Uvs,1977,1394.44
Total,Uvs,1976,1415.68
Total,Uvs,1975,1609.99
Total,Uvs,1974,1714.61
Total,Uvs,1973,1737.77
Total,Uvs,1972,1697.69
Total,Uvs,1971,1711.73
Total,Uvs,1970,1679.8
Total,Khovd,2025,3183.06
Total,Khovd,2024,3491.1
Total,Khovd,2023,3194.9
Total,Khovd,2022,3472.85
Total,Khovd,2021,3596.97
Total,Khovd,2020,3292.58
Total,Khovd,2019,3084.33
Total,Khovd,2018,3146.41
Total,Khovd,2017,3446.62
Total,Khovd,2016,3280.64
Total,Khovd,2015,2905.44
Total,Khovd,2014,2625.58
Total,Khovd,2013,2241.32
Total,Khovd,2012,2038.49
Total,Khovd,2011,1771.29
Total,Khovd,2010,1639.1
Total,Khovd,2009,2268.39
Total,Khovd,2008,2486.7
Total,Khovd,2007,2564.35
Total,Khovd,2006,2293.8
Total,Khovd,2005,1963.71
Total,Khovd,2004,1788.47
Total,Khovd,2003,1541.0
Total,Khovd,2002,1323.92
Total,Khovd,2001,1512.39
Total,Khovd,2000,1836.27
Total,Khovd,1999,1867.91
Total,Khovd,1998,1795.85
Total,Khovd,1997,1926.47
Total,Khovd,1996,1954.89
Total,Khovd,1995,2070.62
Total,Khovd,1994,1904.97
Total,Khovd,1993,1823.0
Total,Khovd,1992,1688.57
Total,Khovd,1991,1636.6
Total,Khovd,1990,1687.7
Total,Khovd,1989,1637.73
Total,Khovd,1988,1608.11
Total,Khovd,1987,1554.18
Total,Khovd,1986,1501.68
Total,Khovd,1985,1488.56
Total,Khovd,1984,1351.67
Total,Khovd,1983,1499.01
Total,Khovd,1982,1577.3
Total,Khovd,1981,1641.3
Total,Khovd,1980,1539.58
Total,Khovd,1979,1559.2
Total,Khovd,1978,1543.92
Total,Khovd,1977,1472.84
Total,Khovd,1976,1601.41
Total,Khovd,1975,1592.92
Total,Khovd,1974,1651.96
Total,Khovd,1973,1675.85
Total,Khovd,1972,1578.4
Total,Khovd,1971,1556.09
Total,Khovd,1970,1463.7
Total,Northern region,2025,8463.31
Total,Northern region,2024,8377.82
Total,Northern region,2023,9460.21
Total,Northern region,2022,10316.88
Total,Northern region,2021,9720.05
Total,Northern region,2020,9033.53
Total,Northern region,2019,9809.08
Total,Northern region,2018,9130.21
Total,Northern region,2017,8781.78
Total,Northern region,2016,8709.2
Total,Northern region,2015,7741.64
Total,Northern region,2014,7413.21
Total,Northern region,2013,6545.32
Total,Northern region,2012,6364.8
Total,Northern region,2011,5824.67
Total,Northern region,2010,5563.76
Total,Northern region,2009,6792.3
Total,Northern region,2008,6498.74
Total,Northern region,2007,5643.47
Total,Northern region,2006,4820.43
Total,Northern region,2005,4040.87
Total,Northern region,2004,3623.55
Total,Northern region,2003,3276.22
Total,Northern region,2002,3448.23
Total,Northern region,2001,3396.48
Total,Northern region,2000,3960.93
Total,Northern region,1999,4191.36
Total,Northern region,1998,3887.01
Total,Northern region,1997,3582.49
Total,Northern region,1996,3302.58
Total,Northern region,1995,3121.73
Total,Northern region,1994,2977.75
Total,Northern region,1993,2822.11
Total,Northern region,1992,2905.65
Total,Northern region,1991,2882.39
Total,Northern region,1990,2923.6
Total,Northern region,1989,2789.0
Total,Northern region,1988,2665.81
Total,Northern region,1987,2595.11
Total,Northern region,1986,2624.08
Total,Northern region,1985,2719.02
Total,Northern region,1984,2785.59
Total,Northern region,1983,2776.18
Total,Northern region,1982,2760.4
Total,Northern region,1981,2650.85
Total,Northern region,1980,2546.64
Total,Northern region,1979,2522.85
Total,Northern region,1978,2500.67
Total,Northern region,1977,2343.89
Total,Northern region,1976,2444.75
Total,Northern region,1975,2635.44
Total,Northern region,1974,2687.58
Total,Northern region,1973,2561.32
Total,Northern region,1972,2546.4
Total,Northern region,1971,2554.8
Total,Northern region,1970,2505.63
Total,Bulgan,2025,2979.67
Total,Bulgan,2024,3038.74
Total,Bulgan,2023,3622.88
Total,Bulgan,2022,3892.84
Total,Bulgan,2021,3622.25
Total,Bulgan,2020,3395.98
Total,Bulgan,2019,3641.7
Total,Bulgan,2018,3305.5
Total,Bulgan,2017,3361.63
Total,Bulgan,2016,3485.61
Total,Bulgan,2015,3223.82
Total,Bulgan,2014,3132.79
Total,Bulgan,2013,2757.19
Total,Bulgan,2012,2578.62
Total,Bulgan,2011,2340.81
Total,Bulgan,2010,2293.23
Total,Bulgan,2009,2611.65
Total,Bulgan,2008,2414.15
Total,Bulgan,2007,2008.21
Total,Bulgan,2006,1672.46
Total,Bulgan,2005,1399.27
Total,Bulgan,2004,1213.17
Total,Bulgan,2003,1107.87
Total,Bulgan,2002,1387.7
Total,Bulgan,2001,1457.59
Total,Bulgan,2000,1522.81
Total,Bulgan,1999,1609.25
Total,Bulgan,1998,1458.86
Total,Bulgan,1997,1309.84
Total,Bulgan,1996,1202.57
Total,Bulgan,1995,1137.08
Total,Bulgan,1994,1078.84
Total,Bulgan,1993,1036.88
Total,Bulgan,1992,1066.06
Total,Bulgan,1991,1021.2
Total,Bulgan,1990,998.2
Total,Bulgan,1989,942.99
Total,Bulgan,1988,889.43
Total,Bulgan,1987,846.63
Total,Bulgan,1986,872.26
Total,Bulgan,1985,934.55
Total,Bulgan,1984,983.71
Total,Bulgan,1983,992.58
Total,Bulgan,1982,1006.99
Total,Bulgan,1981,961.99
Total,Bulgan,1980,937.29
Total,Bulgan,1979,926.82
Total,Bulgan,1978,926.76
Total,Bulgan,1977,869.93
Total,Bulgan,1976,947.99
Total,Bulgan,1975,1012.8
Total,Bulgan,1974,1011.5
Total,Bulgan,1973,980.5
Total,Bulgan,1972,958.62
Total,Bulgan,1971,947.01
Total,Bulgan,1970,905.99
Total,Orkhon,2025,169.59
Total,Orkhon,2024,175.84
Total,Orkhon,2023,175.33
Total,Orkhon,2022,169.94
Total,Orkhon,2021,154.58
Total,Orkhon,2020,136.99
Total,Orkhon,2019,126.95
Total,Orkhon,2018,114.35
Total,Orkhon,2017,122.34
Total,Orkhon,2016,134.2
Total,Orkhon,2015,119.75
Total,Orkhon,2014,123.2
Total,Orkhon,2013,178.96
Total,Orkhon,2012,184.51
Total,Orkhon,2011,168.34
Total,Orkhon,2010,169.2
Total,Orkhon,2009,256.18
Total,Orkhon,2008,268.9
Total,Orkhon,2007,209.97
Total,Orkhon,2006,174.43
Total,Orkhon,2005,137.29
Total,Orkhon,2004,115.21
Total,Orkhon,2003,107.93
Total,Orkhon,2002,159.72
Total,Orkhon,2001,168.85
Total,Orkhon,2000,168.51
Total,Orkhon,1999,163.92
Total,Orkhon,1998,132.28
Total,Orkhon,1997,120.31
Total,Orkhon,1996,123.1
Total,Orkhon,1995,127.29
Total,Orkhon,1994,110.92
Total,Orkhon,1993,105.66
Total,Orkhon,1992,92.14
Total,Orkhon,1991,72.97
Total,Orkhon,1990,53.5
Total,Orkhon,1989,43.13
Total,Orkhon,1988,36.3
Total,Orkhon,1987,30.14
Total,Orkhon,1986,25.99
Total,Orkhon,1985,25.99
Total,Orkhon,1984,24.03
Total,Orkhon,1983,21.96
Total,Orkhon,1982,19.16
Total,Orkhon,1981,13.9
Total,Orkhon,1980,8.82
Total,Orkhon,1979,
Total,Orkhon,1978,6.7
Total,Orkhon,1977,5.7
Total,Orkhon,1976,2.5
Total,Orkhon,1975,
Total,Orkhon,1974,
Total,Orkhon,1973,
Total,Orkhon,1972,
Total,Orkhon,1971,
Total,Orkhon,1970,
Total,Khuvsgul,2025,5314.05
Total,Khuvsgul,2024,5163.23
Total,Khuvsgul,2023,5662.0
Total,Khuvsgul,2022,6254.1
Total,Khuvsgul,2021,5943.21
Total,Khuvsgul,2020,5500.55
Total,Khuvsgul,2019,6040.43
Total,Khuvsgul,2018,5710.37
Total,Khuvsgul,2017,5297.81
Total,Khuvsgul,2016,5089.39
Total,Khuvsgul,2015,4398.06
Total,Khuvsgul,2014,4157.22
Total,Khuvsgul,2013,3609.18
Total,Khuvsgul,2012,3601.67
Total,Khuvsgul,2011,3315.52
Total,Khuvsgul,2010,3101.33
Total,Khuvsgul,2009,3924.47
Total,Khuvsgul,2008,3815.69
Total,Khuvsgul,2007,3425.29
Total,Khuvsgul,2006,2973.54
Total,Khuvsgul,2005,2504.31
Total,Khuvsgul,2004,2295.17
Total,Khuvsgul,2003,2060.42
Total,Khuvsgul,2002,1900.81
Total,Khuvsgul,2001,1770.04
Total,Khuvsgul,2000,2269.61
Total,Khuvsgul,1999,2418.19
Total,Khuvsgul,1998,2295.87
Total,Khuvsgul,1997,2152.34
Total,Khuvsgul,1996,1976.91
Total,Khuvsgul,1995,1857.36
Total,Khuvsgul,1994,1787.99
Total,Khuvsgul,1993,1679.57
Total,Khuvsgul,1992,1747.45
Total,Khuvsgul,1991,1788.22
Total,Khuvsgul,1990,1871.9
Total,Khuvsgul,1989,1802.88
Total,Khuvsgul,1988,1740.08
Total,Khuvsgul,1987,1718.34
Total,Khuvsgul,1986,1725.83
Total,Khuvsgul,1985,1758.48
Total,Khuvsgul,1984,1777.85
Total,Khuvsgul,1983,1761.64
Total,Khuvsgul,1982,1734.25
Total,Khuvsgul,1981,1674.96
Total,Khuvsgul,1980,1600.53
Total,Khuvsgul,1979,1596.03
Total,Khuvsgul,1978,1567.21
Total,Khuvsgul,1977,1468.26
Total,Khuvsgul,1976,1494.26
Total,Khuvsgul,1975,1622.64
Total,Khuvsgul,1974,1676.08
Total,Khuvsgul,1973,1580.82
Total,Khuvsgul,1972,1587.78
Total,Khuvsgul,1971,1607.79
Total,Khuvsgul,1970,1599.64
Total,Central region,2025,5534.4
Total,Central region,2024,6004.85
Total,Central region,2023,6963.69
Total,Central region,2022,7333.25
Total,Central region,2021,6988.1
Total,Central region,2020,7066.61
Total,Central region,2019,7009.0
Total,Central region,2018,6428.49
Total,Central region,2017,6505.99
Total,Central region,2016,6629.78
Total,Central region,2015,6205.71
Total,Central region,2014,5977.44
Total,Central region,2013,5166.24
Total,Central region,2012,4818.66
Total,Central region,2011,4479.66
Total,Central region,2010,4226.11
Total,Central region,2009,5336.15
Total,Central region,2008,4790.3
Total,Central region,2007,3887.16
Total,Central region,2006,3127.85
Total,Central region,2005,2550.6
Total,Central region,2004,2253.87
Total,Central region,2003,2184.78
Total,Central region,2002,2447.37
Total,Central region,2001,2493.17
Total,Central region,2000,2871.13
Total,Central region,1999,3020.11
Total,Central region,1998,2976.09
Total,Central region,1997,2707.71
Total,Central region,1996,2511.64
Total,Central region,1995,2409.73
Total,Central region,1994,2265.79
Total,Central region,1993,2207.26
Total,Central region,1992,2315.34
Total,Central region,1991,2290.81
Total,Central region,1990,2333.12
Total,Central region,1989,2147.34
Total,Central region,1988,1973.82
Total,Central region,1987,1897.21
Total,Central region,1986,1866.5
Total,Central region,1985,1834.08
Total,Central region,1984,1861.96
Total,Central region,1983,1909.04
Total,Central region,1982,1889.79
Total,Central region,1981,1790.51
Total,Central region,1980,1728.93
Total,Central region,1979,1757.42
Total,Central region,1978,1739.65
Total,Central region,1977,1605.71
Total,Central region,1976,1768.31
Total,Central region,1975,1984.84
Total,Central region,1974,1960.35
Total,Central region,1973,1796.94
Total,Central region,1972,1731.49
Total,Central region,1971,1665.17
Total,Central region,1970,1676.39
Total,Darkhan-Uul,2025,163.33
Total,Darkhan-Uul,2024,252.28
Total,Darkhan-Uul,2023,261.29
Total,Darkhan-Uul,2022,313.21
Total,Darkhan-Uul,2021,355.33
Total,Darkhan-Uul,2020,360.57
Total,Darkhan-Uul,2019,347.35
Total,Darkhan-Uul,2018,306.01
Total,Darkhan-Uul,2017,310.94
Total,Darkhan-Uul,2016,324.16
Total,Darkhan-Uul,2015,288.36
Total,Darkhan-Uul,2014,324.24
Total,Darkhan-Uul,2013,279.05
Total,Darkhan-Uul,2012,268.37
Total,Darkhan-Uul,2011,256.81
Total,Darkhan-Uul,2010,249.82
Total,Darkhan-Uul,2009,361.53
Total,Darkhan-Uul,2008,345.29
Total,Darkhan-Uul,2007,230.38
Total,Darkhan-Uul,2006,180.19
Total,Darkhan-Uul,2005,142.87
Total,Darkhan-Uul,2004,125.05
Total,Darkhan-Uul,2003,122.24
Total,Darkhan-Uul,2002,166.04
Total,Darkhan-Uul,2001,179.69
Total,Darkhan-Uul,2000,194.53
Total,Darkhan-Uul,1999,179.36
Total,Darkhan-Uul,1998,168.15
Total,Darkhan-Uul,1997,136.78
Total,Darkhan-Uul,1996,137.11
Total,Darkhan-Uul,1995,138.62
