Бүс,Сар,value
Завхан,2016-11,38.0
Завхан,2016-10,15.0
Завхан,2016-09,10.0
Завхан,2016-08,10.0
Завхан,2016-07,21.0
Завхан,2016-06,0.0
Завхан,2016-05,14.0
Завхан,2016-04,0.0
Завхан,2016-03,25.0
Завхан,2016-02,23.0
Завхан,2016-01,19.0
Увс,2025-12,28.0
Увс,2025-11,0.0
Увс,2025-10,9.0
Увс,2025-09,17.0
Увс,2025-08,18.0
Увс,2025-07,9.0
Увс,2025-06,43.0
Увс,2025-05,8.0
Увс,2025-04,27.0
Увс,2025-03,25.0
Увс,2025-02,41.0
Увс,2025-01,22.0
Увс,2024-12,30.0
Увс,2024-11,7.0
Увс,2024-10,14.0
Увс,2024-09,23.0
Увс,2024-08,7.0
Увс,2024-07,14.0
Увс,2024-06,15.0
Увс,2024-05,14.0
Увс,2024-04,20.0
Увс,2024-03,14.0
Увс,2024-02,8.0
Увс,2024-01,9.0
Увс,2023-12,0.0
Увс,2023-11,18.0
Увс,2023-10,15.0
Увс,2023-09,8.0
Увс,2023-08,8.0
Увс,2023-07,7.0
Увс,2023-06,7.0
Увс,2023-05,16.0
Увс,2023-04,13.0
Увс,2023-03,0.0
Увс,2023-02,0.0
Увс,2023-01,13.0
Увс,2022-12,18.0
Увс,2022-11,20.0
Увс,2022-10,18.0
Увс,2022-09,13.0
Увс,2022-08,0.0
Увс,2022-07,16.0
Увс,2022-06,13.0
Увс,2022-05,12.0
Увс,2022-04,22.0
Увс,2022-03,14.0
Увс,2022-02,8.0
Увс,2022-01,9.0
Увс,2021-12,13.0
Увс,2021-11,18.0
Увс,2021-10,7.0
Увс,2021-09,6.0
Увс,2021-08,23.0
Увс,2021-07,12.0
Увс,2021-06,12.0
Увс,2021-05,12.0
Увс,2021-04,7.0
Увс,2021-03,0.0
Увс,2021-02,0.0
Увс,2021-01,15.0
Увс,2020-12,12.0
Увс,2020-11,0.0
Увс,2020-10,18.0
Увс,2020-09,11.0
Увс,2020-08,7.0
Увс,2020-07,27.0
Увс,2020-06,17.0
Увс,2020-05,0.0
Увс,2020-04,6.0
Увс,2020-03,31.0
Увс,2020-02,28.0
Увс,2020-01,13.0
Увс,2019-12,16.0
Увс,2019-11,19.0
Увс,2019-10,15.0
Увс,2019-09,35.0
Увс,2019-08,6.0
Увс,2019-07,6.0
Увс,2019-06,16.0
Увс,2019-05,6.0
Увс,2019-04,6.0
Увс,2019-03,0.0
Увс,2019-02,19.0
Увс,2019-01,22.0
Увс,2018-12,6.0
Увс,2018-11,19.0
Увс,2018-10,28.0
Увс,2018-09,6.0
Увс,2018-08,6.0
Увс,2018-07,5.0
Увс,2018-06,17.0
Увс,2018-05,19.0
Увс,2018-04,16.0
Увс,2018-03,19.0
Увс,2018-02,13.0
Увс,2018-01,20.0
Увс,2017-12,12.0
Увс,2017-11,12.0
Увс,2017-10,21.0
Увс,2017-09,26.0
Увс,2017-08,24.0
Увс,2017-07,24.0
Увс,2017-06,22.0
Увс,2017-05,16.0
Увс,2017-04,23.0
Увс,2017-03,21.0
Увс,2017-02,20.0
Увс,2017-01,0.0
Увс,2016-12,17.0
Увс,2016-11,50.0
Увс,2016-10,33.0
Увс,2016-09,0.0
Увс,2016-08,11.0
Увс,2016-07,13.0
Увс,2016-06,11.0
Увс,2016-05,11.0
Увс,2016-04,23.0
Увс,2016-03,14.0
Увс,2016-02,41.0
Увс,2016-01,34.0
Ховд,2025-12,7.0
Ховд,2025-11,16.0
Ховд,2025-10,14.0
Ховд,2025-09,18.0
Ховд,2025-08,21.0
Ховд,2025-07,20.0
Ховд,2025-06,0.0
Ховд,2025-05,0.0
Ховд,2025-04,0.0
Ховд,2025-03,24.0
Ховд,2025-02,6.0
Ховд,2025-01,0.0
Ховд,2024-12,14.0
Ховд,2024-11,0.0
Ховд,2024-10,0.0
Ховд,2024-09,8.0
Ховд,2024-08,20.0
Ховд,2024-07,21.0
Ховд,2024-06,0.0
Ховд,2024-05,7.0
Ховд,2024-04,0.0
Ховд,2024-03,0.0
Ховд,2024-02,7.0
Ховд,2024-01,0.0
Ховд,2023-12,13.0
Ховд,2023-11,6.0
Ховд,2023-10,22.0
Ховд,2023-09,16.0
Ховд,2023-08,0.0
Ховд,2023-07,13.0
Ховд,2023-06,13.0
Ховд,2023-05,13.0
Ховд,2023-04,6.0
Ховд,2023-03,11.0
Ховд,2023-02,12.0
Ховд,2023-01,25.0
Ховд,2022-12,0.0
Ховд,2022-11,32.0
Ховд,2022-10,0.0
Ховд,2022-09,25.0
Ховд,2022-08,6.0
Ховд,2022-07,18.0
Ховд,2022-06,13.0
Ховд,2022-05,29.0
Ховд,2022-04,25.0
Ховд,2022-03,12.0
Ховд,2022-02,7.0
Ховд,2022-01,16.0
Ховд,2021-12,25.0
Ховд,2021-11,6.0
Ховд,2021-10,13.0
Ховд,2021-09,33.0
Ховд,2021-08,13.0
Ховд,2021-07,12.0
Ховд,2021-06,17.0
Ховд,2021-05,30.0
Ховд,2021-04,23.0
Ховд,2021-03,17.0
Ховд,2021-02,26.0
Ховд,2021-01,6.0
Ховд,2020-12,22.0
Ховд,2020-11,5.0
Ховд,2020-10,12.0
Ховд,2020-09,5.0
Ховд,2020-08,6.0
Ховд,2020-07,18.0
Ховд,2020-06,5.0
Ховд,2020-05,5.0
Ховд,2020-04,9.0
Ховд,2020-03,23.0
Ховд,2020-02,22.0
Ховд,2020-01,12.0
Ховд,2019-12,15.0
Ховд,2019-11,16.0
Ховд,2019-10,19.0
Ховд,2019-09,32.0
Ховд,2019-08,16.0
Ховд,2019-07,9.0
Ховд,2019-06,15.0
Ховд,2019-05,33.0
Ховд,2019-04,10.0
Ховд,2019-03,6.0
Ховд,2019-02,25.0
Ховд,2019-01,23.0
Ховд,2018-12,11.0
Ховд,2018-11,24.0
Ховд,2018-10,16.0
Ховд,2018-09,15.0
Ховд,2018-08,10.0
Ховд,2018-07,11.0
Ховд,2018-06,20.0
Ховд,2018-05,14.0
Ховд,2018-04,20.0
Ховд,2018-03,15.0
Ховд,2018-02,16.0
Ховд,2018-01,5.0
Ховд,2017-12,16.0
Ховд,2017-11,31.0
Ховд,2017-10,21.0
Ховд,2017-09,12.0
Ховд,2017-08,5.0
Ховд,2017-07,15.0
Ховд,2017-06,17.0
Ховд,2017-05,6.0
Ховд,2017-04,10.0
Ховд,2017-03,32.0
Ховд,2017-02,27.0
Ховд,2017-01,6.0
Ховд,2016-12,6.0
Ховд,2016-11,26.0
Ховд,2016-10,5.0
Ховд,2016-09,11.0
Ховд,2016-08,40.0
Ховд,2016-07,18.0
Ховд,2016-06,5.0
Ховд,2016-05,19.0
Ховд,2016-04,19.0
Ховд,2016-03,16.0
Ховд,2016-02,25.0
Ховд,2016-01,35.0
Хангайн бүс,2025-12,17.0
Хангайн бүс,2025-11,9.0
Хангайн бүс,2025-10,10.0
Хангайн бүс,2025-09,16.0
Хангайн бүс,2025-08,11.0
Хангайн бүс,2025-07,10.0
Хангайн бүс,2025-06,21.0
Хангайн бүс,2025-05,19.0
Хангайн бүс,2025-04,12.0
Хангайн бүс,2025-03,13.0
Хангайн бүс,2025-02,17.0
Хангайн бүс,2025-01,4.0
Хангайн бүс,2024-12,22.0
Хангайн бүс,2024-11,8.0
Хангайн бүс,2024-10,20.0
Хангайн бүс,2024-09,10.0
Хангайн бүс,2024-08,14.0
Хангайн бүс,2024-07,13.0
Хангайн бүс,2024-06,9.0
Хангайн бүс,2024-05,14.0
Хангайн бүс,2024-04,21.0
Хангайн бүс,2024-03,14.0
Хангайн бүс,2024-02,7.0
Хангайн бүс,2024-01,14.0
Хангайн бүс,2023-12,6.0
Хангайн бүс,2023-11,10.0
Хангайн бүс,2023-10,10.0
