Хүйс_code,Хүйс,Насны бүлэг_code,Насны бүлэг,Он_code,Он,value
0,Total,12,55-59,14,2010,77400
0,Total,12,55-59,15,2009,76029
0,Total,12,55-59,16,2008,72471
0,Total,12,55-59,17,2007,69163
0,Total,12,55-59,18,2006,68566
0,Total,12,55-59,19,2005,59323
0,Total,12,55-59,20,2004,58643
0,Total,12,55-59,21,2003,58022
0,Total,12,55-59,22,2002,57338
0,Total,12,55-59,23,2001,57272
0,Total,12,55-59,24,2000,57098
0,Total,12,55-59,25,1999,55895
0,Total,12,55-59,26,1998,55307
0,Total,12,55-59,27,1997,55633
0,Total,12,55-59,28,1996,52562
0,Total,12,55-59,29,1995,51746
0,Total,12,55-59,30,1994,46823
0,Total,12,55-59,31,1993,47830
0,Total,12,55-59,32,1992,48033
0,Total,12,55-59,33,1991,51210
0,Total,12,55-59,34,1990,51477
0,Total,12,55-59,35,1989,50220
0,Total,12,55-59,36,1979,43264
0,Total,12,55-59,37,1969,43259
0,Total,12,55-59,38,1963,42050
0,Total,12,55-59,39,1956,38813
0,Total,13,60-64,0,2024,131881
0,Total,13,60-64,1,2023,125423
0,Total,13,60-64,2,2022,118793
0,Total,13,60-64,3,2021,110538
0,Total,13,60-64,4,2020,106144
0,Total,13,60-64,5,2019,96433
0,Total,13,60-64,6,2018,87790
0,Total,13,60-64,7,2017,79856
0,Total,13,60-64,8,2016,73940
0,Total,13,60-64,9,2015,65496
0,Total,13,60-64,10,2014,66563
0,Total,13,60-64,11,2013,58876
0,Total,13,60-64,12,2012,55896
0,Total,13,60-64,13,2011,52399
0,Total,13,60-64,14,2010,52405
0,Total,13,60-64,15,2009,50658
0,Total,13,60-64,16,2008,51559
0,Total,13,60-64,17,2007,50679
0,Total,13,60-64,18,2006,52542
0,Total,13,60-64,19,2005,50433
0,Total,13,60-64,20,2004,49851
0,Total,13,60-64,21,2003,49324
0,Total,13,60-64,22,2002,48744
0,Total,13,60-64,23,2001,47348
0,Total,13,60-64,24,2000,46152
0,Total,13,60-64,25,1999,42292
0,Total,13,60-64,26,1998,41732
0,Total,13,60-64,27,1997,41455
0,Total,13,60-64,28,1996,43194
0,Total,13,60-64,29,1995,42953
0,Total,13,60-64,30,1994,44889
0,Total,13,60-64,31,1993,43134
0,Total,13,60-64,32,1992,41589
0,Total,13,60-64,33,1991,39331
0,Total,13,60-64,34,1990,39094
0,Total,13,60-64,35,1989,36235
0,Total,13,60-64,36,1979,36659
0,Total,13,60-64,37,1969,37310
0,Total,13,60-64,38,1963,35810
0,Total,13,60-64,39,1956,32419
0,Total,14,65-69,0,2024,86103
0,Total,14,65-69,1,2023,78538
0,Total,14,65-69,2,2022,71329
0,Total,14,65-69,3,2021,65804
0,Total,14,65-69,4,2020,58377
0,Total,14,65-69,5,2019,55279
0,Total,14,65-69,6,2018,50307
0,Total,14,65-69,7,2017,47326
0,Total,14,65-69,8,2016,43711
