Бүс,Насны бүлэг,Хүйс,Он,value
Улсын дүн,55-59,Эрэгтэй,2022,64.1
Улсын дүн,55-59,Эрэгтэй,2021,62.6
Улсын дүн,55-59,Эрэгтэй,2020,63.0
Улсын дүн,55-59,Эрэгтэй,2019,67.1
Улсын дүн,55-59,Эрэгтэй,2018,65.0
Улсын дүн,55-59,Эрэгтэй,2017,62.5
Улсын дүн,55-59,Эрэгтэй,2016,62.7
Улсын дүн,55-59,Эрэгтэй,2015,63.8
Улсын дүн,55-59,Эрэгтэй,2014,60.5
Улсын дүн,55-59,Эрэгтэй,2013,62.1
Улсын дүн,55-59,Эрэгтэй,2012,62.7
Улсын дүн,55-59,Эрэгтэй,2011,66.7
Улсын дүн,55-59,Эрэгтэй,2010,66.2
Улсын дүн,55-59,Эрэгтэй,2009,61.9
Улсын дүн,55-59,Эмэгтэй,2025,48.9
Улсын дүн,55-59,Эмэгтэй,2024,40.7
Улсын дүн,55-59,Эмэгтэй,2023,41.5
Улсын дүн,55-59,Эмэгтэй,2022,34.0
Улсын дүн,55-59,Эмэгтэй,2021,32.9
Улсын дүн,55-59,Эмэгтэй,2020,37.5
Улсын дүн,55-59,Эмэгтэй,2019,37.4
Улсын дүн,55-59,Эмэгтэй,2018,34.3
Улсын дүн,55-59,Эмэгтэй,2017,36.1
Улсын дүн,55-59,Эмэгтэй,2016,32.8
Улсын дүн,55-59,Эмэгтэй,2015,31.2
Улсын дүн,55-59,Эмэгтэй,2014,31.6
Улсын дүн,55-59,Эмэгтэй,2013,37.5
Улсын дүн,55-59,Эмэгтэй,2012,38.5
Улсын дүн,55-59,Эмэгтэй,2011,38.1
Улсын дүн,55-59,Эмэгтэй,2010,38.4
Улсын дүн,55-59,Эмэгтэй,2009,34.0
Улсын дүн,60-64,Нийт,2025,30.0
Улсын дүн,60-64,Нийт,2024,28.6
Улсын дүн,60-64,Нийт,2023,26.9
Улсын дүн,60-64,Нийт,2022,28.2
Улсын дүн,60-64,Нийт,2021,23.3
Улсын дүн,60-64,Нийт,2020,23.4
