Үзүүлэлт,Эдийн засгийн салбар,Он,value
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2014,2544761.3
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2013,2267231.1
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2012,2231148.45
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2011,1973260.4
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2010,1199007.2
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2009,432646.15
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2008,472226.49
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2007,313204.36
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2006,271511.62
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2005,227478.16
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2004,202639.88
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2003,185210.82
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2002,162803.42
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2001,129544.67
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2000,115903.09
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1999,112438.52
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1998,110681.25
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1997,96650.65
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1996,69525.26
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1995,59632.69
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1994,43338.84
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1993,36320.69
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1992,5819.3
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1991,3774.92
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1990,2090.51
"ДНБ, оны үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2024,4439528.88
"ДНБ, оны үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2023,3919987.64
"ДНБ, оны үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2022,2510913.1
"ДНБ, оны үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2021,1597051.18
"ДНБ, оны үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2020,1411794.3
"ДНБ, оны үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2019,1686897.28
"ДНБ, оны үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2018,1538733.26
"ДНБ, оны үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2017,1318695.48
"ДНБ, оны үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2016,1274385.28
"ДНБ, оны үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2015,1202359.1
"ДНБ, оны үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2014,1109154.6
"ДНБ, оны үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2013,843617.4
"ДНБ, оны үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2012,894427.58
"ДНБ, оны үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2011,802897.08
"ДНБ, оны үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2010,677906.16
"ДНБ, оны үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2009,546745.46
"ДНБ, оны үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2008,419323.18
"ДНБ, оны үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2007,322307.02
"ДНБ, оны үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2006,287501.52
