Үзүүлэлт,Бүс,Он,value
Гэрлэлт,Чандмань,2017,13
Гэрлэлт,Чандмань,2016,8
Гэрлэлт,Чандмань,2015,21
Гэрлэлт,Чандмань,2014,11
Гэрлэлт,Чандмань,2013,12
Гэрлэлт,Чандмань,2011,8
Гэрлэлт,Чандмань,2010,9
Гэрлэлт,Чандмань,2009,33
Гэрлэлт,Чандмань,2008,20
Гэрлэлт,Чандмань,2007,41
Гэрлэлт,Чандмань,2006,16
Гэрлэлт,Шарга,2025,10
Гэрлэлт,Шарга,2024,8
Гэрлэлт,Шарга,2023,2
Гэрлэлт,Шарга,2022,3
Гэрлэлт,Шарга,2021,5
Гэрлэлт,Шарга,2020,9
Гэрлэлт,Шарга,2019,5
Гэрлэлт,Шарга,2018,12
Гэрлэлт,Шарга,2017,8
Гэрлэлт,Шарга,2016,14
Гэрлэлт,Шарга,2015,9
Гэрлэлт,Шарга,2014,10
Гэрлэлт,Шарга,2013,11
Гэрлэлт,Шарга,2011,10
Гэрлэлт,Шарга,2010,6
Гэрлэлт,Шарга,2009,12
Гэрлэлт,Шарга,2008,11
Гэрлэлт,Шарга,2007,56
Гэрлэлт,Шарга,2006,29
Гэрлэлт,Эрдэнэ,2025,7
Гэрлэлт,Эрдэнэ,2024,13
Гэрлэлт,Эрдэнэ,2023,12
Гэрлэлт,Эрдэнэ,2022,11
Гэрлэлт,Эрдэнэ,2021,10
Гэрлэлт,Эрдэнэ,2020,12
Гэрлэлт,Эрдэнэ,2019,20
Гэрлэлт,Эрдэнэ,2018,8
Гэрлэлт,Эрдэнэ,2017,13
Гэрлэлт,Эрдэнэ,2016,2
Гэрлэлт,Эрдэнэ,2015,3
Гэрлэлт,Эрдэнэ,2014,10
Гэрлэлт,Эрдэнэ,2013,7
Гэрлэлт,Эрдэнэ,2011,7
Гэрлэлт,Эрдэнэ,2010,26
Гэрлэлт,Эрдэнэ,2009,17
Гэрлэлт,Эрдэнэ,2008,18
Гэрлэлт,Эрдэнэ,2007,35
Гэрлэлт,Эрдэнэ,2006,37
Гэрлэлт,Завхан,2025,186
Гэрлэлт,Завхан,2024,230
Гэрлэлт,Завхан,2023,259
Гэрлэлт,Завхан,2022,252
Гэрлэлт,Завхан,2021,438
