сар,аймаг_үзүүлэлт,утга
2021-03,Сэлэнгэ — Ашиглалтын зөвшөөрөл (тоо),140.0
2021-03,Сэлэнгэ — Ашиглалтын талбай (мян.га),42.2
2021-03,Сэлэнгэ — Нийт зөвшөөрөгдсөн талбай (мян.га),87.3
2021-03,Сэлэнгэ — Нийт зөвшөөрөл (тоо),174.0
2021-03,Сэлэнгэ — Хайгуулын зөвшөөрөл (тоо),34.0
2021-03,Сэлэнгэ — Хайгуулын талбай (мян.га),45.1
2021-03,Сүхбаатар — Ашиглалтын зөвшөөрөл (тоо),72.0
2021-03,Сүхбаатар — Ашиглалтын талбай (мян.га),68.2
2021-03,Сүхбаатар — Нийт зөвшөөрөгдсөн талбай (мян.га),237.0
2021-03,Сүхбаатар — Нийт зөвшөөрөл (тоо),90.0
2021-03,Сүхбаатар — Хайгуулын зөвшөөрөл (тоо),18.0
2021-03,Сүхбаатар — Хайгуулын талбай (мян.га),168.8
2021-03,Төв — Ашиглалтын зөвшөөрөл (тоо),305.0
2021-03,Төв — Ашиглалтын талбай (мян.га),155.7
2021-03,Төв — Нийт зөвшөөрөгдсөн талбай (мян.га),339.2
2021-03,Төв — Нийт зөвшөөрөл (тоо),379.0
2021-03,Төв — Хайгуулын зөвшөөрөл (тоо),74.0
2021-03,Төв — Хайгуулын талбай (мян.га),183.5
2021-03,Увс — Ашиглалтын зөвшөөрөл (тоо),42.0
2021-03,Увс — Ашиглалтын талбай (мян.га),19.9
2021-03,Увс — Нийт зөвшөөрөгдсөн талбай (мян.га),287.8
2021-03,Увс — Нийт зөвшөөрөл (тоо),109.0
2021-03,Увс — Хайгуулын зөвшөөрөл (тоо),67.0
2021-03,Увс — Хайгуулын талбай (мян.га),267.9
2021-03,Улаанбаатар — Ашиглалтын зөвшөөрөл (тоо),150.0
2021-03,Улаанбаатар — Ашиглалтын талбай (мян.га),13.1
2021-03,Улаанбаатар — Нийт зөвшөөрөгдсөн талбай (мян.га),14.0
2021-03,Улаанбаатар — Нийт зөвшөөрөл (тоо),156.0
2021-03,Улаанбаатар — Хайгуулын зөвшөөрөл (тоо),6.0
2021-03,Улаанбаатар — Хайгуулын талбай (мян.га),0.9
2021-03,Ховд — Ашиглалтын зөвшөөрөл (тоо),37.0
2021-03,Ховд — Ашиглалтын талбай (мян.га),17.2
2021-03,Ховд — Нийт зөвшөөрөгдсөн талбай (мян.га),205.9
2021-03,Ховд — Нийт зөвшөөрөл (тоо),92.0
2021-03,Ховд — Хайгуулын зөвшөөрөл (тоо),55.0
2021-03,Ховд — Хайгуулын талбай (мян.га),188.7
2021-03,Хэнтий — Ашиглалтын зөвшөөрөл (тоо),123.0
2021-03,Хэнтий — Ашиглалтын талбай (мян.га),54.1
2021-03,Хэнтий — Нийт зөвшөөрөгдсөн талбай (мян.га),299.3
2021-03,Хэнтий — Нийт зөвшөөрөл (тоо),211.0
2021-03,Хэнтий — Хайгуулын зөвшөөрөл (тоо),88.0
2021-03,Хэнтий — Хайгуулын талбай (мян.га),245.2
2021-03,Хөвсгөл — Ашиглалтын зөвшөөрөл (тоо),21.0
2021-03,Хөвсгөл — Ашиглалтын талбай (мян.га),10.3
2021-03,Хөвсгөл — Нийт зөвшөөрөгдсөн талбай (мян.га),10.6
2021-03,Хөвсгөл — Нийт зөвшөөрөл (тоо),22.0
2021-03,Хөвсгөл — Хайгуулын зөвшөөрөл (тоо),1.0
