бүс,сар,нас_баралт
Улаанбаатар,2019-06,607
Ховд,2019-06,16
Хэнтий,2019-06,26
Хөвсгөл,2019-06,62
Өвөрхангай,2019-06,54
Өмнөговь,2019-06,33
Архангай,2019-07,59
Баян-Өлгий,2019-07,47
Баянхонгор,2019-07,39
Булган,2019-07,30
Говь-Алтай,2019-07,24
Говьсүмбэр,2019-07,5
Дархан-Уул,2019-07,42
Дорноговь,2019-07,34
Дорнод,2019-07,55
Дундговь,2019-07,17
Завхан,2019-07,33
Орхон,2019-07,40
Сэлэнгэ,2019-07,54
Сүхбаатар,2019-07,23
Төв,2019-07,33
Увс,2019-07,35
Улаанбаатар,2019-07,625
Ховд,2019-07,26
Хэнтий,2019-07,33
Хөвсгөл,2019-07,73
Өвөрхангай,2019-07,50
Өмнөговь,2019-07,33
Архангай,2019-08,48
Баян-Өлгий,2019-08,41
Баянхонгор,2019-08,52
Булган,2019-08,39
Говь-Алтай,2019-08,22
Говьсүмбэр,2019-08,5
Дархан-Уул,2019-08,38
Дорноговь,2019-08,32
Дорнод,2019-08,32
Дундговь,2019-08,21
Завхан,2019-08,38
Орхон,2019-08,51
Сэлэнгэ,2019-08,44
Сүхбаатар,2019-08,33
Төв,2019-08,43
Увс,2019-08,31
Улаанбаатар,2019-08,631
Ховд,2019-08,40
Хэнтий,2019-08,34
Хөвсгөл,2019-08,65
Өвөрхангай,2019-08,54
Өмнөговь,2019-08,31
Архангай,2019-09,39
Баян-Өлгий,2019-09,36
Баянхонгор,2019-09,39
Булган,2019-09,15
Говь-Алтай,2019-09,26
Говьсүмбэр,2019-09,2
Дархан-Уул,2019-09,42
Дорноговь,2019-09,36
Дорнод,2019-09,30
Дундговь,2019-09,38
Завхан,2019-09,25
Орхон,2019-09,44
Сэлэнгэ,2019-09,53
