date,metric,value
2025-02-01,Total Liabilities,58664.501
2025-02-01,Capital,7577.497
2025-03-01,Total Assets,69989.442
2025-03-01,Total Liabilities,62246.857
2025-03-01,Capital,7742.584
2025-04-01,Total Assets,67244.459
2025-04-01,Total Liabilities,59847.277
2025-04-01,Capital,7397.183
2025-05-01,Total Assets,68207.173
2025-05-01,Total Liabilities,60724.699
2025-05-01,Capital,7482.474
2025-06-01,Total Assets,72599.608
2025-06-01,Total Liabilities,64994.154
2025-06-01,Capital,7605.455
2025-07-01,Total Assets,70133.414
2025-07-01,Total Liabilities,62423.613
2025-07-01,Capital,7709.801
2025-08-01,Total Assets,72123.542
2025-08-01,Total Liabilities,64325.688
2025-08-01,Capital,7797.854
2025-09-01,Total Assets,75584.329
2025-09-01,Total Liabilities,67626.799
