region,month,deaths
Dornod,2019-05,35
Dornogovi,2019-05,30
Dundgovi,2019-05,18
Govi-Altai,2019-05,32
Govisumber,2019-05,7
Khentii,2019-05,35
Khovd,2019-05,27
Khuvsgul,2019-05,82
Orkhon,2019-05,32
Selenge,2019-05,32
Sukhbaatar,2019-05,45
Tuv,2019-05,37
Ulaanbaatar,2019-05,709
Umnugovi,2019-05,40
Uvs,2019-05,38
Uvurkhangai,2019-05,63
Zavkhan,2019-05,42
Arkhangai,2019-06,47
Bayan-Ulgii,2019-06,41
Bayankhongor,2019-06,35
Bulgan,2019-06,21
Darkhan-Uul,2019-06,42
Dornod,2019-06,30
Dornogovi,2019-06,21
Dundgovi,2019-06,18
Govi-Altai,2019-06,19
Govisumber,2019-06,2
Khentii,2019-06,26
Khovd,2019-06,16
Khuvsgul,2019-06,62
Orkhon,2019-06,39
Selenge,2019-06,41
Sukhbaatar,2019-06,24
Tuv,2019-06,41
Ulaanbaatar,2019-06,607
Umnugovi,2019-06,33
Uvs,2019-06,33
Uvurkhangai,2019-06,54
Zavkhan,2019-06,28
Arkhangai,2019-07,59
Bayan-Ulgii,2019-07,47
Bayankhongor,2019-07,39
Bulgan,2019-07,30
Darkhan-Uul,2019-07,42
Dornod,2019-07,55
Dornogovi,2019-07,34
Dundgovi,2019-07,17
Govi-Altai,2019-07,24
Govisumber,2019-07,5
Khentii,2019-07,33
Khovd,2019-07,26
Khuvsgul,2019-07,73
Orkhon,2019-07,40
Selenge,2019-07,54
Sukhbaatar,2019-07,23
Tuv,2019-07,33
Ulaanbaatar,2019-07,625
Umnugovi,2019-07,33
Uvs,2019-07,35
Uvurkhangai,2019-07,50
Zavkhan,2019-07,33
Arkhangai,2019-08,48
Bayan-Ulgii,2019-08,41
Bayankhongor,2019-08,52
Bulgan,2019-08,39
Darkhan-Uul,2019-08,38
Dornod,2019-08,32
Dornogovi,2019-08,32
Dundgovi,2019-08,21
Govi-Altai,2019-08,22
Govisumber,2019-08,5
Khentii,2019-08,34
Khovd,2019-08,40
Khuvsgul,2019-08,65
Orkhon,2019-08,51
Selenge,2019-08,44
Sukhbaatar,2019-08,33
Tuv,2019-08,43
Ulaanbaatar,2019-08,631
Umnugovi,2019-08,31
Uvs,2019-08,31
Uvurkhangai,2019-08,54
Zavkhan,2019-08,38
Arkhangai,2019-09,39
Bayan-Ulgii,2019-09,36
Bayankhongor,2019-09,39
Bulgan,2019-09,15
Darkhan-Uul,2019-09,42
Dornod,2019-09,30
Dornogovi,2019-09,36
Dundgovi,2019-09,38
Govi-Altai,2019-09,26
Govisumber,2019-09,2
Khentii,2019-09,30
Khovd,2019-09,37
Khuvsgul,2019-09,52
Orkhon,2019-09,44
Selenge,2019-09,53
Sukhbaatar,2019-09,25
Tuv,2019-09,48
Ulaanbaatar,2019-09,635
Umnugovi,2019-09,28
Uvs,2019-09,33
Uvurkhangai,2019-09,52
Zavkhan,2019-09,25
