product,date,price
"Milk, fresh, not pasteurised, l",2024-10-07,3276.0
"Milk, pasteurised, 500 g",2024-10-07,2245.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-09-30,4037.0
"Milk, pasteurised, 500 g",2024-09-30,2245.0
"Milk, pasteurised, l",2024-09-30,4490.0
"Milk, fresh, not pasteurised, l",2024-09-30,3276.0
"Butter cream, Sain zuuhii, 450 g",2024-09-30,9343.0
"Milk, pasteurised, 500 g",2024-09-23,2245.0
"Butter cream, Sain zuuhii, 450 g",2024-09-23,9343.0
"Milk, fresh, not pasteurised, l",2024-09-23,3276.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-09-23,4037.0
"Milk, pasteurised, l",2024-09-23,4490.0
"Butter cream, Sain zuuhii, 450 g",2024-09-16,9343.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-09-16,4074.0
"Milk, pasteurised, 500 g",2024-09-16,2245.0
"Milk, pasteurised, l",2024-09-16,4570.0
"Milk, fresh, not pasteurised, l",2024-09-16,3276.0
"Milk, pasteurised, l",2024-09-09,4539.0
"Milk, pasteurised, 500 g",2024-09-09,2245.0
"Butter cream, Sain zuuhii, 450 g",2024-09-09,9343.0
"Milk, fresh, not pasteurised, l",2024-09-09,3276.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-09-09,4089.0
"Milk, fresh, not pasteurised, l",2024-09-02,3276.0
"Milk, pasteurised, 500 g",2024-09-02,2237.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-09-02,4067.0
"Butter cream, Sain zuuhii, 450 g",2024-09-02,9343.0
"Milk, pasteurised, l",2024-09-02,4453.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-08-26,4067.0
"Milk, fresh, not pasteurised, l",2024-08-26,3276.0
"Butter cream, Sain zuuhii, 450 g",2024-08-26,8960.0
"Milk, pasteurised, 500 g",2024-08-26,2237.0
"Milk, pasteurised, l",2024-08-26,4453.0
"Butter cream, Sain zuuhii, 450 g",2024-08-19,8960.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-08-19,4067.0
"Milk, pasteurised, 500 g",2024-08-19,2237.0
"Milk, fresh, not pasteurised, l",2024-08-19,3276.0
"Milk, pasteurised, l",2024-08-19,4453.0
"Butter cream, Sain zuuhii, 450 g",2024-08-12,8547.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-08-12,4067.0
"Milk, fresh, not pasteurised, l",2024-08-12,3276.0
"Milk, pasteurised, l",2024-08-12,4453.0
"Milk, pasteurised, 500 g",2024-08-12,2237.0
"Milk, pasteurised, l",2024-08-05,4453.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-08-05,4067.0
"Milk, pasteurised, 500 g",2024-08-05,2237.0
"Butter cream, Sain zuuhii, 450 g",2024-08-05,8475.0
"Milk, fresh, not pasteurised, l",2024-08-05,3276.0
"Milk, fresh, not pasteurised, l",2024-07-29,3276.0
"Milk, pasteurised, 500 g",2024-07-29,2237.0
"Milk, pasteurised, l",2024-07-29,4453.0
"Butter cream, Sain zuuhii, 450 g",2024-07-29,8475.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-07-29,4067.0
"Milk, pasteurised, 500 g",2024-07-22,2237.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-07-22,4067.0
"Milk, fresh, not pasteurised, l",2024-07-22,3276.0
"Butter cream, Sain zuuhii, 450 g",2024-07-22,8475.0
"Milk, pasteurised, l",2024-07-22,4453.0
"Milk, pasteurised, l",2024-07-08,4453.0
"Milk, pasteurised, 500 g",2024-07-08,2237.0
"Milk, fresh, not pasteurised, l",2024-07-08,3276.0
"Butter cream, Sain zuuhii, 450 g",2024-07-08,8475.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-07-08,4067.0
"Milk, fresh, not pasteurised, l",2024-07-01,3276.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-07-01,4067.0
"Butter cream, Sain zuuhii, 450 g",2024-07-01,8475.0
"Milk, pasteurised, 500 g",2024-07-01,2237.0
"Milk, pasteurised, l",2024-07-01,4453.0
"Milk, pasteurised, l",2024-06-24,4453.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-06-24,4067.0
"Milk, fresh, not pasteurised, l",2024-06-24,3362.0
"Butter cream, Sain zuuhii, 450 g",2024-06-24,8475.0
"Milk, pasteurised, 500 g",2024-06-24,2237.0
"Milk, fresh, not pasteurised, l",2024-06-17,3362.0
"Milk, pasteurised, 500 g",2024-06-17,2237.0
"Milk, pasteurised, l",2024-06-17,4453.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-06-17,4067.0
"Butter cream, Sain zuuhii, 450 g",2024-06-17,8475.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-06-10,4067.0
