id,сургууль,хаяг,дүүргийн_код,дүүрэг,хорооны_код,хороо,lon,lat
5274,72-р сургууль,"ЧД 15-р хороо, Хайлаастын гудамж С72",15,Чингэлтэй,1515,15-р хороо,106.898763,47.960155
5052,37-р сургууль,ЧД 17-р хороо,15,Чингэлтэй,1517,17-р хороо,106.902905,47.971191
5298,37-р сургууль,"ЧД 17-р хороо, Чингэлтэйн гудамж С37/1",15,Чингэлтэй,1517,17-р хороо,106.903184,47.970664
5171,138-р бага сургууль,ЧД 12-р хороо,15,Чингэлтэй,1521,21-р хороо,106.886994,47.951209
5239,139-р бага сургууль,"ЧД 16-р хороо, Согоотын 65-р гудамж",15,Чингэлтэй,1522,22-р хороо,106.885132,47.966336
5240,140-р бага сургуль,"ЧД 17-р хороо, Зүрх уул 4-р гудамж",15,Чингэлтэй,1523,23-р хороо,106.879656,47.991043
5077,117-р сургууль,"ЧД 19-р хороо, Салхит",15,Чингэлтэй,1524,24-р хороо,106.926641,47.994928
5044,51-р сургууль,"БГД 2-р хороо, Энхтайвны өргөн чөлөө, Төмөр зам",16,Баянгол,1602,2-р хороо,106.878849,47.916237
5212,Эрдмийн хишиг сургууль,"БГД 2-р хороо, Үндэсний техникийн сургууль, 78/1-р байр, 5 давхарт",16,Баянгол,1602,2-р хороо,106.879148,47.916888
5217,Эрдмийн ач сургууль,"БГД 2-р хороо, Тээврийн дээд сургуулийн зүүн талд Сод оньс төв",16,Баянгол,1602,2-р хороо,106.885331,47.916299
5015,73-р сургууль,"БГД 3-р хороо,Рокмон бюлдинг замын урд",16,Баянгол,1603,3-р хороо,106.893628,47.911886
5208,Гэгээрэл сургууль,"БГД 3-р хороо, Замчдын гудамж, 65 дүгаар байрны хойд талд",16,Баянгол,1603,3-р хороо,106.890876,47.910872
5210,Монгол од сургууль,"БГД 3-р хороо, Үндсэн хуулийн гудамж,",16,Баянгол,1603,3-р хороо,106.893833,47.910352
