product,region,date,price
Таваарын буудай,Увс,2021-11,700000.0
Үрийн буудай,Увс,2021-11,1000000.0
Үрийн буудай,Завхан,2021-11,700000.0
Таваарын буудай,Архангай,2021-12,650000.0
Таваарын буудай,Булган,2021-12,663333.0
Үрийн буудай,Булган,2021-12,962500.0
Таваарын буудай,Дорнод,2021-12,600000.0
Үрийн буудай,Дорнод,2021-12,900000.0
Таваарын буудай,Орхон,2021-12,680000.0
Үрийн буудай,Орхон,2021-12,850000.0
Таваарын буудай,Сэлэнгэ,2021-12,566667.0
Үрийн буудай,Сэлэнгэ,2021-12,800000.0
Таваарын буудай,Төв,2021-12,675000.0
Үрийн буудай,Төв,2021-12,837500.0
Таваарын буудай,Увс,2021-12,700000.0
Үрийн буудай,Увс,2021-12,1000000.0
Таваарын буудай,Өвөрхангай,2021-12,650000.0
Үрийн буудай,Өвөрхангай,2021-12,850000.0
Үрийн буудай,Завхан,2021-12,500000.0
Таваарын буудай,Архангай,2022-01,750000.0
Таваарын буудай,Булган,2022-01,663000.0
Үрийн буудай,Булган,2022-01,962500.0
Таваарын буудай,Дорнод,2022-01,600000.0
Үрийн буудай,Дорнод,2022-01,900000.0
Үрийн буудай,Хэнтий,2022-01,700000.0
Таваарын буудай,Хөвсгөл,2022-01,500000.0
Үрийн буудай,Хөвсгөл,2022-01,500000.0
Таваарын буудай,Орхон,2022-01,700000.0
Үрийн буудай,Орхон,2022-01,860000.0
Таваарын буудай,Сэлэнгэ,2022-01,620000.0
Үрийн буудай,Сэлэнгэ,2022-01,1200000.0
Таваарын буудай,Төв,2022-01,675000.0
Үрийн буудай,Төв,2022-01,950000.0
Таваарын буудай,Увс,2022-01,675000.0
Үрийн буудай,Увс,2022-01,1000000.0
Таваарын буудай,Өвөрхангай,2022-01,630000.0
Үрийн буудай,Өвөрхангай,2022-01,650000.0
Үрийн буудай,Завхан,2022-01,500000.0
Таваарын буудай,Архангай,2022-02,700000.0
Таваарын буудай,Булган,2022-02,745000.0
Үрийн буудай,Булган,2022-02,1050000.0
Таваарын буудай,Дорнод,2022-02,600000.0
Үрийн буудай,Дорнод,2022-02,900000.0
Таваарын буудай,Хөвсгөл,2022-02,500000.0
Үрийн буудай,Хөвсгөл,2022-02,500000.0
Таваарын буудай,Орхон,2022-02,700000.0
Үрийн буудай,Орхон,2022-02,860000.0
Таваарын буудай,Сэлэнгэ,2022-02,537500.0
Таваарын буудай,Төв,2022-02,537500.0
Үрийн буудай,Төв,2022-02,775000.0
Таваарын буудай,Увс,2022-02,700000.0
Үрийн буудай,Увс,2022-02,1000000.0
Таваарын буудай,Өвөрхангай,2022-02,650000.0
Үрийн буудай,Завхан,2022-02,650000.0
Таваарын буудай,Архангай,2022-03,700000.0
Таваарын буудай,Булган,2022-03,745000.0
Үрийн буудай,Булган,2022-03,1050000.0
Таваарын буудай,Дархан-Уул,2022-03,550000.0
Үрийн буудай,Дархан-Уул,2022-03,650000.0
Таваарын буудай,Дорнод,2022-03,650000.0
Үрийн буудай,Дорнод,2022-03,900000.0
Таваарын буудай,Орхон,2022-03,700000.0
Үрийн буудай,Орхон,2022-03,800000.0
Таваарын буудай,Сэлэнгэ,2022-03,500000.0
Таваарын буудай,Төв,2022-03,550000.0
Үрийн буудай,Төв,2022-03,791667.0
Таваарын буудай,Увс,2022-03,700000.0
Үрийн буудай,Увс,2022-03,1000000.0
Таваарын буудай,Өвөрхангай,2022-03,650000.0
Үрийн буудай,Завхан,2022-03,600000.0
Таваарын буудай,Архангай,2022-04,700000.0
Таваарын буудай,Булган,2022-04,745000.0
Үрийн буудай,Булган,2022-04,1050000.0
Таваарын буудай,Дархан-Уул,2022-04,550000.0
Үрийн буудай,Дархан-Уул,2022-04,650000.0
Таваарын буудай,Дорнод,2022-04,650000.0
Үрийн буудай,Дорнод,2022-04,900000.0
Таваарын буудай,Орхон,2022-04,700000.0
Үрийн буудай,Орхон,2022-04,900000.0
Таваарын буудай,Сэлэнгэ,2022-04,725000.0
Үрийн буудай,Сэлэнгэ,2022-04,983333.0
Таваарын буудай,Төв,2022-04,700000.0
Үрийн буудай,Төв,2022-04,1008333.0
Үрийн буудай,Увс,2022-04,950000.0
Үрийн буудай,Өвөрхангай,2022-04,650000.0
Үрийн буудай,Завхан,2022-04,700000.0
Таваарын буудай,Булган,2022-05,745000.0
Үрийн буудай,Булган,2022-05,1050000.0
Таваарын буудай,Дархан-Уул,2022-05,550000.0
Үрийн буудай,Дархан-Уул,2022-05,650000.0
Таваарын буудай,Дорнод,2022-05,650000.0
Үрийн буудай,Дорнод,2022-05,900000.0
Таваарын буудай,Орхон,2022-05,700000.0
Үрийн буудай,Орхон,2022-05,900000.0
Таваарын буудай,Сэлэнгэ,2022-05,800000.0
Үрийн буудай,Сэлэнгэ,2022-05,1125000.0
Таваарын буудай,Төв,2022-05,900000.0
Үрийн буудай,Төв,2022-05,1000000.0
Таваарын буудай,Өвөрхангай,2022-05,650000.0
Үрийн буудай,Өвөрхангай,2022-05,650000.0
Үрийн буудай,Завхан,2022-05,500000.0
Таваарын буудай,Булган,2022-06,745000.0
Үрийн буудай,Булган,2022-06,1050000.0
Таваарын буудай,Дорнод,2022-06,650000.0
Үрийн буудай,Дорнод,2022-06,900000.0
Таваарын буудай,Орхон,2022-06,660000.0
Үрийн буудай,Орхон,2022-06,820000.0
Таваарын буудай,Сэлэнгэ,2022-06,725000.0
Үрийн буудай,Сэлэнгэ,2022-06,1036667.0
Таваарын буудай,Төв,2022-06,650000.0
Үрийн буудай,Төв,2022-06,1020000.0
Үрийн буудай,Завхан,2022-06,700000.0
Таваарын буудай,Булган,2022-07,690000.0
Үрийн буудай,Булган,2022-07,1200000.0
Таваарын буудай,Дорнод,2022-07,650000.0
Үрийн буудай,Дорнод,2022-07,900000.0
Таваарын буудай,Сэлэнгэ,2022-07,560000.0
Таваарын буудай,Төв,2022-07,716667.0
Үрийн буудай,Төв,2022-07,1016667.0
Таваарын буудай,Булган,2022-08,690000.0
Үрийн буудай,Булган,2022-08,1200000.0
Таваарын буудай,Дорнод,2022-08,650000.0
Үрийн буудай,Дорнод,2022-08,900000.0
Таваарын буудай,Сэлэнгэ,2022-08,950000.0
Таваарын буудай,Төв,2022-08,762500.0
Үрийн буудай,Төв,2022-08,1200000.0
Үрийн буудай,Увс,2022-08,1800000.0
Үрийн буудай,Завхан,2022-08,600000.0
Таваарын буудай,Булган,2022-09,690000.0
Үрийн буудай,Булган,2022-09,1200000.0
Таваарын буудай,Дархан-Уул,2022-09,880000.0
Үрийн буудай,Дархан-Уул,2022-09,550000.0
Таваарын буудай,Дорнод,2022-09,700000.0
Үрийн буудай,Дорнод,2022-09,1050000.0
Таваарын буудай,Сэлэнгэ,2022-09,983333.0
Үрийн буудай,Сэлэнгэ,2022-09,1100000.0
Таваарын буудай,Төв,2022-09,830000.0
Үрийн буудай,Төв,2022-09,1200000.0
Таваарын буудай,Увс,2022-09,1000000.0
Үрийн буудай,Увс,2022-09,1600000.0
Таваарын буудай,Өвөрхангай,2022-09,850000.0
Үрийн буудай,Өвөрхангай,2022-09,870000.0
Үрийн буудай,Завхан,2022-09,1000000.0
Таваарын буудай,Булган,2022-10,690000.0
Үрийн буудай,Булган,2022-10,900000.0
Таваарын буудай,Дархан-Уул,2022-10,880000.0
Үрийн буудай,Дархан-Уул,2022-10,990000.0
Таваарын буудай,Дорнод,2022-10,800000.0
Үрийн буудай,Дорнод,2022-10,1050000.0
Таваарын буудай,Орхон,2022-10,1020000.0
Таваарын буудай,Сэлэнгэ,2022-10,751429.0
Үрийн буудай,Сэлэнгэ,2022-10,970000.0
Таваарын буудай,Төв,2022-10,850000.0
Үрийн буудай,Төв,2022-10,1050000.0
