сар,үзүүлэлт,утга
2022-01,Сонгон шалгаруулалт | Жилийн төлөвлөгөө,25000.0
2022-01,Сонгон шалгаруулалт | Өссөн дүнгийн гүйцэтгэл,2479.5
2022-01,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Биелэлт (%),0.4
2022-01,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Жилийн төлөвлөгөө,17500.0
2022-01,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Өссөн дүнгийн гүйцэтгэл,72.6
2022-02,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Биелэлт (%),13.9
2022-02,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Жилийн төлөвлөгөө,31400.0
2022-02,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Өссөн дүнгийн гүйцэтгэл,4354.5
2022-02,Ашигт малтмалын үйлчилгээний орлого | Биелэлт (%),46.9
2022-02,Ашигт малтмалын үйлчилгээний орлого | Жилийн төлөвлөгөө,910.0
2022-02,Ашигт малтмалын үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,427.0
2022-02,БҮГД | Биелэлт (%),4.2
2022-02,БҮГД | Жилийн төлөвлөгөө,354050.0
2022-02,БҮГД | Өссөн дүнгийн гүйцэтгэл,14840.7
2022-02,Газрын тосны экспорт | Жилийн төлөвлөгөө,277500.0
2022-02,Газрын тосны үйлчилгээний орлого | Жилийн төлөвлөгөө,1740.0
2022-02,Газрын тосны үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,1144.3
2022-02,Сонгон шалгаруулалт | Биелэлт (%),35.3
2022-02,Сонгон шалгаруулалт | Жилийн төлөвлөгөө,25000.0
2022-02,Сонгон шалгаруулалт | Өссөн дүнгийн гүйцэтгэл,8821.5
2022-02,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Биелэлт (%),0.5
2022-02,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Жилийн төлөвлөгөө,17500.0
