сар,бараа,үнэ
2023-05,Зэс (ам.долл/тн),8233.6
2023-05,"Манган, 36% (ам.долл/тн)",164.2
2023-05,Молибдени (ам.долл/тн),46718.1
2023-05,Мөнгө (ам.долл/унци),24.2
2023-05,"Төмөр, 56% хүдэр (ам.долл/тн)",76.8
2023-05,"Төмөр, 60% баяжмал (ам.долл/тн)",92.0
2023-05,Уран (ам.долл/кг),0.0
2023-05,Хар тугалга (ам.долл/тн),2086.8
2023-05,Цагаан тугалга (ам.долл/тн),25586.1
2023-05,Цайр (ам.долл/тн),2477.1
2023-06,Алт (ам.долл/унци),1942.9
2023-06,"Гянтболд, 65% (ам.долл/тн)",16859.7
2023-06,"Гянтболд, 99% (ам.долл/тн)",41776.2
2023-06,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",415.0
2023-06,"Жонш, хүдэр ФК-85 (ам.долл/тн)",355.0
2023-06,Зэс (ам.долл/тн),8385.6
2023-06,"Манган, 36% (ам.долл/тн)",157.5
2023-06,Молибдени (ам.долл/тн),49138.0
2023-06,Мөнгө (ам.долл/унци),23.4
2023-06,"Төмөр, 56% хүдэр (ам.долл/тн)",81.6
2023-06,"Төмөр, 60% баяжмал (ам.долл/тн)",100.6
2023-06,Уран (ам.долл/кг),123.7
2023-06,Хар тугалга (ам.долл/тн),2117.6
2023-06,Цагаан тугалга (ам.долл/тн),27243.3
2023-06,Цайр (ам.долл/тн),2367.6
2023-07,Алт (ам.долл/унци),1948.9
2023-07,"Гянтболд, 65% (ам.долл/тн)",16487.7
2023-07,"Гянтболд, 99% (ам.долл/тн)",40061.9
2023-07,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",415.0
2023-07,"Жонш, хүдэр ФК-85 (ам.долл/тн)",355.0
2023-07,Зэс (ам.долл/тн),8444.6
2023-07,"Манган, 36% (ам.долл/тн)",153.2
2023-07,Молибдени (ам.долл/тн),49503.2
2023-07,Мөнгө (ам.долл/унци),24.0
2023-07,"Төмөр, 56% хүдэр (ам.долл/тн)",83.7
2023-07,"Төмөр, 60% баяжмал (ам.долл/тн)",101.3
2023-07,Уран (ам.долл/кг),124.3
2023-07,Хар тугалга (ам.долл/тн),2106.1
2023-07,Цагаан тугалга (ам.долл/тн),28727.9
2023-07,Цайр (ам.долл/тн),2396.0
2023-08,Алт (ам.долл/унци),1920.1
2023-08,"Гянтболд, 65% (ам.долл/тн)",16557.9
2023-08,"Гянтболд, 99% (ам.долл/тн)",38800.0
2023-08,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",415.0
2023-08,"Жонш, хүдэр ФК-85 (ам.долл/тн)",365.0
2023-08,Зэс (ам.долл/тн),8351.2
2023-08,"Манган, 36% (ам.долл/тн)",151.2
2023-08,Молибдени (ам.долл/тн),54574.4
2023-08,Мөнгө (ам.долл/унци),23.4
2023-08,"Төмөр, 56% хүдэр (ам.долл/тн)",79.7
2023-08,"Төмөр, 60% баяжмал (ам.долл/тн)",97.4
2023-08,Уран (ам.долл/кг),123.7
2023-08,Хар тугалга (ам.долл/тн),2151.1
2023-08,Цагаан тугалга (ам.долл/тн),25974.7
2023-08,Цайр (ам.долл/тн),2400.5
2023-09,Алт (ам.долл/унци),1917.0
2023-09,"Гянтболд, 65% (ам.долл/тн)",16557.9
2023-09,"Гянтболд, 99% (ам.долл/тн)",38800.0
2023-09,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",415.0
2023-09,"Жонш, хүдэр ФК-85 (ам.долл/тн)",365.0
2023-09,Зэс (ам.долл/тн),8270.2
2023-09,"Манган, 36% (ам.долл/тн)",151.2
2023-09,Молибдени (ам.долл/тн),54574.4
2023-09,Мөнгө (ам.долл/унци),23.2
2023-09,"Төмөр, 56% хүдэр (ам.долл/тн)",79.7
2023-09,"Төмөр, 60% баяжмал (ам.долл/тн)",97.4
2023-09,Уран (ам.долл/кг),157.8
