сар,үзүүлэлт,утга
2021-10,Хөвсгөл | АИ-92 Евро-5,2160.0
2021-10,Өвөрхангай | АИ-92,2070.0
2021-10,Өвөрхангай | АИ-92 Евро-5,2100.0
2021-10,Өмнөговь | АИ-92,2150.0
2021-10,Өмнөговь | АИ-92 Евро-5,2180.0
2021-11,Архангай | АИ-92,2100.0
2021-11,Архангай | Дизель,2790.0
2021-11,Архангай | Дизель Евро-5,2550.0
2021-11,Баян-Өлгий | АИ-92,2400.0
2021-11,Баян-Өлгий | Дизель Евро-5,2350.0
2021-11,Баянхонгор | АИ-92,2130.0
2021-11,Баянхонгор | Дизель Евро-5,2550.0
2021-11,Булган | АИ-92,2060.0
2021-11,Булган | Дизель,2830.0
2021-11,Булган | Дизель Евро-5,2560.0
2021-11,Говь-Алтай | АИ-92,2300.0
2021-11,Говь-Алтай | Дизель Евро-5,2570.0
2021-11,Говьсүмбэр | АИ-92,2080.0
2021-11,Говьсүмбэр | Дизель,2770.0
2021-11,Говьсүмбэр | Дизель Евро-5,2590.0
2021-11,Дорноговь | АИ-92,2150.0
2021-11,Дорноговь | Дизель,2770.0
2021-11,Дорноговь | Дизель Евро-5,2570.0
2021-11,Дорнод | АИ-92,2150.0
2021-11,Дорнод | Дизель,2790.0
2021-11,Дорнод | Дизель Евро-5,2500.0
2021-11,Дундговь | АИ-92,2130.0
2021-11,Дундговь | Дизель,2770.0
2021-11,Дундговь | Дизель Евро-5,2630.0
2021-11,Завхан | АИ-92,2490.0
2021-11,Завхан | Дизель Евро-5,2550.0
2021-11,Орхон | АИ-92,2040.0
2021-11,Орхон | Дизель,2790.0
2021-11,Орхон | Дизель Евро-5,2560.0
2021-11,Сэлэнгэ | АИ-92,2040.0
2021-11,Сэлэнгэ | Дизель,2790.0
2021-11,Сэлэнгэ | Дизель Евро-5,2590.0
2021-11,Сүхбаатар | АИ-92,2170.0
2021-11,Сүхбаатар | Дизель,2830.0
2021-11,Сүхбаатар | Дизель Евро-5,2720.0
2021-11,Төв | АИ-92,2040.0
2021-11,Төв | Дизель,2710.0
2021-11,Төв | Дизель Евро-5,2490.0
2021-11,Увс | АИ-92,2400.0
2021-11,Увс | Дизель Евро-5,2590.0
2021-11,Улаанбаатар | Дизель,2690.0
2021-11,Улаанбаатар | Дизель Евро-5,2501.0
2021-11,Ховд | АИ-92,2420.0
2021-11,Ховд | Дизель Евро-5,2500.0
2021-11,Хэнтий | АИ-92,2120.0
2021-11,Хэнтий | Дизель,2750.0
2021-11,Хэнтий | Дизель Евро-5,2500.0
2021-11,Хөвсгөл | АИ-92,2130.0
2021-11,Хөвсгөл | Дизель,2830.0
2021-11,Хөвсгөл | Дизель Евро-5,2550.0
2021-11,Өвөрхангай | АИ-92,2070.0
2021-11,Өвөрхангай | Дизель,2790.0
2021-11,Өвөрхангай | Дизель Евро-5,2500.0
2021-11,Өмнөговь | АИ-92,2150.0
2021-11,Өмнөговь | Дизель,2790.0
2021-11,Өмнөговь | Дизель Евро-5,2600.0
2021-12,Архангай | АИ-92,2300.0
2021-12,Архангай | АИ-92 Евро-5,2230.0
2021-12,Баян-Өлгий | АИ-92,2680.0
2021-12,Баян-Өлгий | АИ-92 Евро-5,2600.0
2021-12,Баянхонгор | АИ-92,2330.0
2021-12,Баянхонгор | АИ-92 Евро-5,2260.0
2021-12,Булган | АИ-92,2320.0
2021-12,Булган | АИ-92 Евро-5,2250.0
2021-12,Говь-Алтай | АИ-92,2600.0
2021-12,Говь-Алтай | АИ-92 Евро-5,2530.0
2021-12,Говьсүмбэр | АИ-92,2270.0
2021-12,Говьсүмбэр | АИ-92 Евро-5,2210.0
2021-12,Дорноговь | АИ-92,2350.0
2021-12,Дорноговь | АИ-92 Евро-5,2310.0
2021-12,Дорнод | АИ-92,2350.0
2021-12,Дорнод | АИ-92 Евро-5,2260.0
2021-12,Дундговь | АИ-92,2330.0
2021-12,Дундговь | АИ-92 Евро-5,2260.0
2021-12,Завхан | АИ-92,2690.0
