Region,Month,value
 Khovd,2019-08,25.0
 Khovd,2019-09,6.0
 Khovd,2019-10,13.0
 Khovd,2019-11,33.0
 Khovd,2019-12,13.0
 Khovd,2020-01,12.0
 Khovd,2020-02,17.0
 Khovd,2020-03,30.0
 Khovd,2020-04,23.0
 Khovd,2020-05,17.0
 Khovd,2020-06,26.0
 Khovd,2020-07,6.0
 Khovd,2020-08,22.0
 Khovd,2020-09,5.0
 Khovd,2020-10,12.0
 Khovd,2020-11,5.0
 Khovd,2020-12,6.0
 Khovd,2021-01,18.0
 Khovd,2021-02,5.0
 Khovd,2021-03,5.0
 Khovd,2021-04,9.0
 Khovd,2021-05,23.0
 Khovd,2021-06,22.0
 Khovd,2021-07,12.0
 Khovd,2021-08,15.0
 Khovd,2021-09,16.0
 Khovd,2021-10,19.0
 Khovd,2021-11,32.0
 Khovd,2021-12,16.0
 Khovd,2022-01,9.0
 Khovd,2022-02,15.0
 Khovd,2022-03,33.0
 Khovd,2022-04,10.0
 Khovd,2022-05,6.0
 Khovd,2022-06,25.0
 Khovd,2022-07,23.0
 Khovd,2022-08,11.0
 Khovd,2022-09,24.0
 Khovd,2022-10,16.0
 Khovd,2022-11,15.0
 Khovd,2022-12,10.0
 Khovd,2023-01,11.0
 Khovd,2023-02,20.0
 Khovd,2023-03,14.0
 Khovd,2023-04,20.0
 Khovd,2023-05,15.0
 Khovd,2023-06,16.0
 Khovd,2023-07,5.0
 Khovd,2023-08,16.0
 Khovd,2023-09,31.0
 Khovd,2023-10,21.0
 Khovd,2023-11,12.0
 Khovd,2023-12,5.0
