Indicator,Station location,Month,value
 Maximum temperature, Zuunkharaa,2015-01,-3.0
 Maximum temperature, Zuunkharaa,2014-12,-8.0
 Maximum temperature, Zuunkharaa,2014-11,9.0
 Maximum temperature, Zuunkharaa,2014-10,19.0
 Maximum temperature, Zuunkharaa,2014-09,32.0
 Maximum temperature, Zuunkharaa,2014-08,32.0
 Maximum temperature, Zuunkharaa,2014-07,35.0
 Maximum temperature, Zuunkharaa,2014-06,33.0
 Maximum temperature, Zuunkharaa,2014-05,34.0
 Maximum temperature, Zuunkharaa,2014-04,27.0
 Maximum temperature, Zuunkharaa,2014-03,16.0
 Maximum temperature, Zuunkharaa,2014-02,4.0
 Maximum temperature, Zuunkharaa,2014-01,-4.0
 Maximum temperature, Zuunkharaa,2013-12,-2.0
 Maximum temperature, Zuunkharaa,2013-11,13.0
 Maximum temperature, Zuunkharaa,2013-10,22.0
 Maximum temperature, Zuunkharaa,2013-09,28.0
 Maximum temperature, Zuunkharaa,2013-08,27.0
 Maximum temperature, Zuunkharaa,2013-07,32.0
 Maximum temperature, Zuunkharaa,2013-06,32.0
 Maximum temperature, Zuunkharaa,2013-05,31.0
 Maximum temperature, Zuunkharaa,2013-04,23.0
 Maximum temperature, Zuunkharaa,2013-03,11.0
 Maximum temperature, Zuunkharaa,2013-02,3.0
 Maximum temperature, Zuunkharaa,2013-01,-6.0
 Maximum temperature, Zuunkharaa,2012-12,-14.0
 Maximum temperature, Zuunkharaa,2012-11,11.0
 Maximum temperature, Zuunkharaa,2012-10,21.0
 Maximum temperature, Zuunkharaa,2012-09,30.0
 Maximum temperature, Zuunkharaa,2012-08,34.0
 Maximum temperature, Zuunkharaa,2012-07,30.0
 Maximum temperature, Zuunkharaa,2012-06,31.0
 Maximum temperature, Zuunkharaa,2012-05,33.0
 Maximum temperature, Zuunkharaa,2012-04,21.0
 Maximum temperature, Zuunkharaa,2012-03,17.0
 Maximum temperature, Zuunkharaa,2012-02,-6.0
 Maximum temperature, Zuunkharaa,2012-01,-2.9
 Maximum temperature, Zuunkharaa,2011-12,-8.0
 Maximum temperature, Zuunkharaa,2011-11,13.0
 Maximum temperature, Zuunkharaa,2011-10,22.7
 Maximum temperature, Zuunkharaa,2011-09,29.0
 Maximum temperature, Zuunkharaa,2011-08,33.9
 Maximum temperature, Zuunkharaa,2011-07,34.0
 Maximum temperature, Zuunkharaa,2011-06,33.0
 Maximum temperature, Zuunkharaa,2011-05,30.0
 Maximum temperature, Zuunkharaa,2011-04,26.0
 Maximum temperature, Zuunkharaa,2011-03,15.0
 Maximum temperature, Zuunkharaa,2011-02,2.0
 Maximum temperature, Zuunkharaa,2011-01,-10.0
 Maximum temperature, Zuunkharaa,2010-12,3.0
 Maximum temperature, Zuunkharaa,2010-11,12.0
 Maximum temperature, Zuunkharaa,2010-10,25.0
 Maximum temperature, Zuunkharaa,2010-09,33.0
 Maximum temperature, Zuunkharaa,2010-08,32.0
 Maximum temperature, Zuunkharaa,2010-07,35.0
 Maximum temperature, Zuunkharaa,2010-06,40.0
 Maximum temperature, Zuunkharaa,2010-05,32.0
 Maximum temperature, Zuunkharaa,2010-04,23.8
 Maximum temperature, Zuunkharaa,2010-03,13.0
 Maximum temperature, Zuunkharaa,2010-02,-4.0
 Maximum temperature, Zuunkharaa,2010-01,-7.9
 Maximum temperature, Zuunkharaa,2009-12,-5.0
 Maximum temperature, Zuunkharaa,2009-11,17.0
 Maximum temperature, Zuunkharaa,2009-10,18.0
 Maximum temperature, Zuunkharaa,2009-09,28.0
 Maximum temperature, Zuunkharaa,2009-08,33.0
 Maximum temperature, Zuunkharaa,2009-07,27.0
 Maximum temperature, Zuunkharaa,2009-06,31.0
 Maximum temperature, Zuunkharaa,2009-05,34.0
 Maximum temperature, Zuunkharaa,2009-04,29.0
 Maximum temperature, Zuunkharaa,2009-03,9.6
 Maximum temperature, Zuunkharaa,2009-02,6.0
 Maximum temperature, Zuunkharaa,2009-01,-8.0
 Maximum temperature, Zuunkharaa,2008-12,-4.0
 Maximum temperature, Zuunkharaa,2008-11,11.0
 Maximum temperature, Zuunkharaa,2008-10,9.8
 Maximum temperature, Zuunkharaa,2008-09,28.0
 Maximum temperature, Zuunkharaa,2008-08,35.0
 Maximum temperature, Zuunkharaa,2008-07,34.0
 Maximum temperature, Zuunkharaa,2008-06,37.0
 Maximum temperature, Zuunkharaa,2008-05,30.0
 Maximum temperature, Zuunkharaa,2008-04,30.0
 Maximum temperature, Zuunkharaa,2008-03,5.5
 Maximum temperature, Zuunkharaa,2008-02,-2.0
 Maximum temperature, Zuunkharaa,2008-01,-10.0
 Maximum temperature, Zuunkharaa,2007-12,
 Maximum temperature, Zuunkharaa,2007-11,
 Maximum temperature, Zuunkharaa,2007-10,
 Maximum temperature, Zuunkharaa,2007-09,
 Maximum temperature, Zuunkharaa,2007-08,
 Maximum temperature, Zuunkharaa,2007-07,
 Maximum temperature, Zuunkharaa,2007-06,
 Maximum temperature, Zuunkharaa,2007-05,
 Maximum temperature, Zuunkharaa,2007-04,
 Maximum temperature, Zuunkharaa,2007-03,
 Maximum temperature, Zuunkharaa,2007-02,
 Maximum temperature, Zuunkharaa,2007-01,
 Maximum temperature, Zuunkharaa,2006-12,
 Maximum temperature, Zuunkharaa,2006-11,
 Maximum temperature, Zuunkharaa,2006-10,
 Maximum temperature, Zuunkharaa,2006-09,
 Maximum temperature, Zuunkharaa,2006-08,
 Maximum temperature, Zuunkharaa,2006-07,
 Maximum temperature, Zuunkharaa,2006-06,
 Maximum temperature, Zuunkharaa,2006-05,
 Maximum temperature, Zuunkharaa,2006-04,
 Maximum temperature, Zuunkharaa,2006-03,
 Maximum temperature, Zuunkharaa,2006-02,
 Maximum temperature, Zuunkharaa,2006-01,
 Maximum temperature, Zuunkharaa,2005-12,
 Maximum temperature, Zuunkharaa,2005-11,
 Maximum temperature, Zuunkharaa,2005-10,
 Maximum temperature, Zuunkharaa,2005-09,
 Maximum temperature, Zuunkharaa,2005-08,
 Maximum temperature, Zuunkharaa,2005-07,
 Maximum temperature, Zuunkharaa,2005-06,
 Maximum temperature, Zuunkharaa,2005-05,
 Maximum temperature, Zuunkharaa,2005-04,
 Maximum temperature, Zuunkharaa,2005-03,
 Maximum temperature, Zuunkharaa,2005-02,
 Maximum temperature, Zuunkharaa,2005-01,
 Maximum temperature, Sainshand,2025-11,11.8
 Maximum temperature, Sainshand,2025-10,26.2
 Maximum temperature, Sainshand,2025-09,33.0
 Maximum temperature, Sainshand,2025-08,33.4
 Maximum temperature, Sainshand,2025-07,37.0
 Maximum temperature, Sainshand,2025-06,37.0
 Maximum temperature, Sainshand,2025-5,32.5
 Maximum temperature, Sainshand,2025-4,27.6
 Maximum temperature, Sainshand,2025-3,20.7
 Maximum temperature, Sainshand,2025-2,8.2
 Maximum temperature, Sainshand,2025-1,2.2
 Maximum temperature, Sainshand,2024-12,-1.8
 Maximum temperature, Sainshand,2024-11,11.2
 Maximum temperature, Sainshand,2024-10,21.3
 Maximum temperature, Sainshand,2024-09,30.7
 Maximum temperature, Sainshand,2024-08,34.7
 Maximum temperature, Sainshand,2024-07,36.2
 Maximum temperature, Sainshand,2024-06,35.0
 Maximum temperature, Sainshand,2024-05,35.4
 Maximum temperature, Sainshand,2024-04,27.0
 Maximum temperature, Sainshand,2024-03,14.9
 Maximum temperature, Sainshand,2024-02,4.7
 Maximum temperature, Sainshand,2024-01,-3.9
 Maximum temperature, Sainshand,2023-12,5.9
 Maximum temperature, Sainshand,2023-11,18.2
 Maximum temperature, Sainshand,2023-10,23.6
 Maximum temperature, Sainshand,2023-09,34.4
 Maximum temperature, Sainshand,2023-08,37.0
 Maximum temperature, Sainshand,2023-07,39.0
 Maximum temperature, Sainshand,2023-06,1.8
 Maximum temperature, Sainshand,2023-05,27.8
 Maximum temperature, Sainshand,2023-04,25.9
 Maximum temperature, Sainshand,2023-03,19.6
 Maximum temperature, Sainshand,2023-02,8.0
 Maximum temperature, Sainshand,2023-01,-0.7
 Maximum temperature, Sainshand,2022-12,
 Maximum temperature, Sainshand,2022-11,10.9
 Maximum temperature, Sainshand,2022-10,24.8
 Maximum temperature, Sainshand,2022-09,32.8
 Maximum temperature, Sainshand,2022-08,34.6
 Maximum temperature, Sainshand,2022-07,37.1
 Maximum temperature, Sainshand,2022-06,39.4
 Maximum temperature, Sainshand,2022-05,31.4
 Maximum temperature, Sainshand,2022-04,25.5
 Maximum temperature, Sainshand,2022-03,16.1
 Maximum temperature, Sainshand,2022-02,3.8
 Maximum temperature, Sainshand,2022-01,-2.2
 Maximum temperature, Sainshand,2021-12,3.7
 Maximum temperature, Sainshand,2021-11,12.5
 Maximum temperature, Sainshand,2021-10,20.6
 Maximum temperature, Sainshand,2021-09,29.9
 Maximum temperature, Sainshand,2021-08,33.7
 Maximum temperature, Sainshand,2021-07,36.3
 Maximum temperature, Sainshand,2021-06,35.0
 Maximum temperature, Sainshand,2021-05,31.9
 Maximum temperature, Sainshand,2021-04,25.0
 Maximum temperature, Sainshand,2021-03,19.4
 Maximum temperature, Sainshand,2021-02,12.4
 Maximum temperature, Sainshand,2021-01,-3.3
 Maximum temperature, Sainshand,2020-12,-8.7
 Maximum temperature, Sainshand,2020-11,10.9
 Maximum temperature, Sainshand,2020-10,17.5
 Maximum temperature, Sainshand,2020-09,26.8
 Maximum temperature, Sainshand,2020-08,33.7
 Maximum temperature, Sainshand,2020-07,36.7
 Maximum temperature, Sainshand,2020-06,37.7
 Maximum temperature, Sainshand,2020-05,33.7
 Maximum temperature, Sainshand,2020-04,28.8
 Maximum temperature, Sainshand,2020-03,19.4
 Maximum temperature, Sainshand,2020-02,8.0
 Maximum temperature, Sainshand,2020-01,-4.0
 Maximum temperature, Sainshand,2019-12,-0.5
 Maximum temperature, Sainshand,2019-11,13.9
 Maximum temperature, Sainshand,2019-10,30.3
 Maximum temperature, Sainshand,2019-09,32.2
 Maximum temperature, Sainshand,2019-08,37.0
 Maximum temperature, Sainshand,2019-07,38.0
 Maximum temperature, Sainshand,2019-06,35.1
 Maximum temperature, Sainshand,2019-05,35.4
 Maximum temperature, Sainshand,2019-04,27.4
 Maximum temperature, Sainshand,2019-03,17.4
 Maximum temperature, Sainshand,2019-02,4.3
 Maximum temperature, Sainshand,2019-01,-0.3
 Maximum temperature, Sainshand,2018-12,5.6
 Maximum temperature, Sainshand,2018-11,15.0
 Maximum temperature, Sainshand,2018-10,21.5
 Maximum temperature, Sainshand,2018-09,27.8
 Maximum temperature, Sainshand,2018-08,37.4
 Maximum temperature, Sainshand,2018-07,35.7
 Maximum temperature, Sainshand,2018-06,38.4
 Maximum temperature, Sainshand,2018-05,33.4
 Maximum temperature, Sainshand,2018-04,30.8
 Maximum temperature, Sainshand,2018-03,21.4
 Maximum temperature, Sainshand,2018-02,5.8
 Maximum temperature, Sainshand,2018-01,-5.5
 Maximum temperature, Sainshand,2017-12,-0.1
 Maximum temperature, Sainshand,2017-11,12.1
 Maximum temperature, Sainshand,2017-10,24.1
 Maximum temperature, Sainshand,2017-09,31.8
 Maximum temperature, Sainshand,2017-08,33.7
 Maximum temperature, Sainshand,2017-07,39.8
 Maximum temperature, Sainshand,2017-06,39.6
 Maximum temperature, Sainshand,2017-05,36.7
 Maximum temperature, Sainshand,2017-04,25.6
 Maximum temperature, Sainshand,2017-03,14.9
 Maximum temperature, Sainshand,2017-02,7.6
 Maximum temperature, Sainshand,2017-01,-1.9
 Maximum temperature, Sainshand,2016-12,3.5
 Maximum temperature, Sainshand,2016-11,15.7
 Maximum temperature, Sainshand,2016-10,21.8
 Maximum temperature, Sainshand,2016-09,27.5
 Maximum temperature, Sainshand,2016-08,39.0
 Maximum temperature, Sainshand,2016-07,38.0
 Maximum temperature, Sainshand,2016-06,33.0
 Maximum temperature, Sainshand,2016-05,33.1
 Maximum temperature, Sainshand,2016-04,27.0
 Maximum temperature, Sainshand,2016-03,22.0
 Maximum temperature, Sainshand,2016-02,3.2
 Maximum temperature, Sainshand,2016-01,-7.1
 Maximum temperature, Sainshand,2015-12,-5.8
 Maximum temperature, Sainshand,2015-11,17.3
 Maximum temperature, Sainshand,2015-10,25.7
 Maximum temperature, Sainshand,2015-09,28.9
 Maximum temperature, Sainshand,2015-08,36.0
 Maximum temperature, Sainshand,2015-07,36.0
 Maximum temperature, Sainshand,2015-06,33.6
 Maximum temperature, Sainshand,2015-05,34.0
 Maximum temperature, Sainshand,2015-04,29.0
 Maximum temperature, Sainshand,2015-03,19.4
 Maximum temperature, Sainshand,2015-02,9.2
 Maximum temperature, Sainshand,2015-01,2.1
 Maximum temperature, Sainshand,2014-12,-0.9
 Maximum temperature, Sainshand,2014-11,11.1
 Maximum temperature, Sainshand,2014-10,25.3
 Maximum temperature, Sainshand,2014-09,34.5
 Maximum temperature, Sainshand,2014-08,36.4
 Maximum temperature, Sainshand,2014-07,41.0
 Maximum temperature, Sainshand,2014-06,36.0
 Maximum temperature, Sainshand,2014-05,37.0
 Maximum temperature, Sainshand,2014-04,28.0
 Maximum temperature, Sainshand,2014-03,21.0
 Maximum temperature, Sainshand,2014-02,9.2
 Maximum temperature, Sainshand,2014-01,4.1
 Maximum temperature, Sainshand,2013-12,2.1
 Maximum temperature, Sainshand,2013-11,13.2
 Maximum temperature, Sainshand,2013-10,26.5
 Maximum temperature, Sainshand,2013-09,31.3
 Maximum temperature, Sainshand,2013-08,38.5
 Maximum temperature, Sainshand,2013-07,38.2
 Maximum temperature, Sainshand,2013-06,36.3
 Maximum temperature, Sainshand,2013-05,35.5
 Maximum temperature, Sainshand,2013-04,26.3
 Maximum temperature, Sainshand,2013-03,20.8
 Maximum temperature, Sainshand,2013-02,5.6
 Maximum temperature, Sainshand,2013-01,3.5
 Maximum temperature, Sainshand,2012-12,-1.3
 Maximum temperature, Sainshand,2012-11,12.4
 Maximum temperature, Sainshand,2012-10,22.9
 Maximum temperature, Sainshand,2012-09,31.8
 Maximum temperature, Sainshand,2012-08,34.8
 Maximum temperature, Sainshand,2012-07,33.4
 Maximum temperature, Sainshand,2012-06,35.1
 Maximum temperature, Sainshand,2012-05,34.4
 Maximum temperature, Sainshand,2012-04,29.1
 Maximum temperature, Sainshand,2012-03,15.9
 Maximum temperature, Sainshand,2012-02,-0.2
 Maximum temperature, Sainshand,2012-01,-11.4
 Maximum temperature, Sainshand,2011-12,-6.4
 Maximum temperature, Sainshand,2011-11,8.2
 Maximum temperature, Sainshand,2011-10,21.3
 Maximum temperature, Sainshand,2011-09,29.4
 Maximum temperature, Sainshand,2011-08,36.8
 Maximum temperature, Sainshand,2011-07,34.7
 Maximum temperature, Sainshand,2011-06,35.7
 Maximum temperature, Sainshand,2011-05,30.6
 Maximum temperature, Sainshand,2011-04,26.1
 Maximum temperature, Sainshand,2011-03,19.0
 Maximum temperature, Sainshand,2011-02,4.9
 Maximum temperature, Sainshand,2011-01,-8.6
 Maximum temperature, Sainshand,2010-12,5.0
 Maximum temperature, Sainshand,2010-11,12.2
 Maximum temperature, Sainshand,2010-10,27.4
 Maximum temperature, Sainshand,2010-09,32.9
 Maximum temperature, Sainshand,2010-08,34.0
 Maximum temperature, Sainshand,2010-07,41.3
 Maximum temperature, Sainshand,2010-06,39.6
 Maximum temperature, Sainshand,2010-05,31.3
 Maximum temperature, Sainshand,2010-04,23.6
 Maximum temperature, Sainshand,2010-03,18.0
 Maximum temperature, Sainshand,2010-02,7.5
 Maximum temperature, Sainshand,2010-01,-6.2
 Maximum temperature, Sainshand,2009-12,-0.4
 Maximum temperature, Sainshand,2009-11,15.0
 Maximum temperature, Sainshand,2009-10,19.7
 Maximum temperature, Sainshand,2009-09,31.5
 Maximum temperature, Sainshand,2009-08,36.7
 Maximum temperature, Sainshand,2009-07,36.3
 Maximum temperature, Sainshand,2009-06,35.0
 Maximum temperature, Sainshand,2009-05,33.2
 Maximum temperature, Sainshand,2009-04,25.6
 Maximum temperature, Sainshand,2009-03,18.6
 Maximum temperature, Sainshand,2009-02,10.0
 Maximum temperature, Sainshand,2009-01,-6.5
 Maximum temperature, Sainshand,2008-12,0.8
 Maximum temperature, Sainshand,2008-11,12.6
 Maximum temperature, Sainshand,2008-10,19.8
 Maximum temperature, Sainshand,2008-09,31.5
 Maximum temperature, Sainshand,2008-08,39.0
 Maximum temperature, Sainshand,2008-07,36.8
 Maximum temperature, Sainshand,2008-06,36.7
 Maximum temperature, Sainshand,2008-05,35.0
 Maximum temperature, Sainshand,2008-04,27.2
 Maximum temperature, Sainshand,2008-03,16.3
 Maximum temperature, Sainshand,2008-02,7.4
 Maximum temperature, Sainshand,2008-01,-4.9
 Maximum temperature, Sainshand,2007-12,0.0
 Maximum temperature, Sainshand,2007-11,8.8
 Maximum temperature, Sainshand,2007-10,23.6
 Maximum temperature, Sainshand,2007-09,31.0
 Maximum temperature, Sainshand,2007-08,36.0
 Maximum temperature, Sainshand,2007-07,37.4
 Maximum temperature, Sainshand,2007-06,38.0
 Maximum temperature, Sainshand,2007-05,30.7
 Maximum temperature, Sainshand,2007-04,27.0
 Maximum temperature, Sainshand,2007-03,13.8
 Maximum temperature, Sainshand,2007-02,12.9
 Maximum temperature, Sainshand,2007-01,-1.7
 Maximum temperature, Sainshand,2006-12,-1.3
 Maximum temperature, Sainshand,2006-11,14.7
 Maximum temperature, Sainshand,2006-10,25.0
 Maximum temperature, Sainshand,2006-09,30.4
 Maximum temperature, Sainshand,2006-08,36.0
 Maximum temperature, Sainshand,2006-07,35.7
 Maximum temperature, Sainshand,2006-06,34.2
 Maximum temperature, Sainshand,2006-05,31.0
 Maximum temperature, Sainshand,2006-04,23.2
 Maximum temperature, Sainshand,2006-03,20.6
 Maximum temperature, Sainshand,2006-02,7.5
 Maximum temperature, Sainshand,2006-01,-7.8
 Maximum temperature, Sainshand,2005-12,-1.1
 Maximum temperature, Sainshand,2005-11,15.8
 Maximum temperature, Sainshand,2005-10,22.8
 Maximum temperature, Sainshand,2005-09,33.7
 Maximum temperature, Sainshand,2005-08,37.0
 Maximum temperature, Sainshand,2005-07,42.0
 Maximum temperature, Sainshand,2005-06,39.5
 Maximum temperature, Sainshand,2005-05,31.2
 Maximum temperature, Sainshand,2005-04,28.4
 Maximum temperature, Sainshand,2005-03,17.1
 Maximum temperature, Sainshand,2005-02,-2.9
 Maximum temperature, Sainshand,2005-01,-3.6
 Maximum temperature, Sukhbaatar,2025-11,13.3
 Maximum temperature, Sukhbaatar,2025-10,13.9
 Maximum temperature, Sukhbaatar,2025-09,24.7
 Maximum temperature, Sukhbaatar,2025-08,31.7
 Maximum temperature, Sukhbaatar,2025-07,35.2
 Maximum temperature, Sukhbaatar,2025-06,38.0
 Maximum temperature, Sukhbaatar,2025-5,32.1
 Maximum temperature, Sukhbaatar,2025-4,27.2
 Maximum temperature, Sukhbaatar,2025-3,21.2
 Maximum temperature, Sukhbaatar,2025-2,5.9
 Maximum temperature, Sukhbaatar,2025-1,-7.8
 Maximum temperature, Sukhbaatar,2024-12,-4.1
 Maximum temperature, Sukhbaatar,2024-11,4.3
 Maximum temperature, Sukhbaatar,2024-10,19.1
 Maximum temperature, Sukhbaatar,2024-09,30.7
 Maximum temperature, Sukhbaatar,2024-08,33.0
 Maximum temperature, Sukhbaatar,2024-07,33.9
 Maximum temperature, Sukhbaatar,2024-06,32.7
 Maximum temperature, Sukhbaatar,2024-05,30.2
 Maximum temperature, Sukhbaatar,2024-04,23.0
 Maximum temperature, Sukhbaatar,2024-03,11.4
 Maximum temperature, Sukhbaatar,2024-02,0.0
 Maximum temperature, Sukhbaatar,2024-01,-5.6
 Maximum temperature, Sukhbaatar,2023-12,-2.5
 Maximum temperature, Sukhbaatar,2023-11,4.6
 Maximum temperature, Sukhbaatar,2023-10,18.9
 Maximum temperature, Sukhbaatar,2023-09,27.9
 Maximum temperature, Sukhbaatar,2023-08,33.4
 Maximum temperature, Sukhbaatar,2023-07,34.1
 Maximum temperature, Sukhbaatar,2023-06,0.1
 Maximum temperature, Sukhbaatar,2023-05,25.7
 Maximum temperature, Sukhbaatar,2023-04,24.1
 Maximum temperature, Sukhbaatar,2023-03,20.2
 Maximum temperature, Sukhbaatar,2023-02,1.8
 Maximum temperature, Sukhbaatar,2023-01,-3.8
 Maximum temperature, Sukhbaatar,2022-12,
