id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хаяг,Нэр
4705,,,Point,106.904538,47.910783,Хувийн цэцэрлэг,"СБД 3-р хороо, Номун хотхон 39-110, 1111",Хөгжил
4706,,,Point,106.913142,47.930315,Хувийн цэцэрлэг,"СБД 9-р хороо, Алтайн-28 Галакси цогцолбор сургууль",Эрдмийн цацраг
4707,,,Point,106.914685,47.928375,Хувийн цэцэрлэг,"СБД 6-р хороо, Их тойруу 73/1-р байрны 42 тоот",Ногоон алим
4708,,,Point,106.925652,47.928715,Хувийн цэцэрлэг,"СБД 7-р хороо, 11-р хороолол, Саруул хотхон хуучин номин хапермаркет",Цоглог бөмбөөхэй
4709,,,Point,106.92501,47.92808,Хувийн цэцэрлэг,"СБД 7-р хороо, 11-р хороолол Гете сургуулийн байр",Жүржхэн
4710,,,Point,106.96648,47.996454,Хувийн цэцэрлэг,"СБД 18-р хороо, Бэлхийн 45-50 тоот",Сайханаа
4711,,,Point,106.929099,47.927036,Хувийн цэцэрлэг,"СБД 7-р хороо, 11-р хороолол",Гоц жаалууд
4712,,,Point,106.938688,47.979589,Хувийн цэцэрлэг,СБД 16-р хороо бэлх 34-58б,Ананд шавь
4713,,,Point,106.96741,47.981493,Хувийн цэцэрлэг,"СБД 16-р хороо, Бэлхийн 33-5, 116",Ногоон төгөл
4714,,,Point,107.00426,48.054348,Хувийн цэцэрлэг,"СБД 20-р хороо, Сэлбэ 3-22",Цасан гоо
4715,,,Point,106.932369,47.979247,Хувийн цэцэрлэг,"СБД 17-р хороо, Дамбадаржаа 7АБ гудамж 30б",Гандирсын хүүхдүүд
4716,,,Point,106.927717,47.908753,Хувийн цэцэрлэг,"СБД 1-р хороо, Нарны зам 55-р байр",Нарны жаалууд
4717,,,Point,106.922249,47.931887,Хувийн цэцэрлэг,"СБД 10-р хороо, Их тойруу 96/2",Онч сэтгэмж
4718,,,Point,106.927799,47.91136,Хувийн цэцэрлэг,"СБД 1-р хороо, Автозамчдын 46-6",Өхөөрдөм
4719,,,Point,106.911397,47.910133,Хувийн цэцэрлэг,"СБД 1-р хороо, Хос жүрж 19А байр 3 тоот",Мөрөөдлийн гэр бүл
4720,,,Point,106.924722,47.931206,Хувийн цэцэрлэг,"СБД 10-р хороо, 7-р хороолол, 53-р байр Ү-4",Хонгор нас
4721,,,Point,106.905955,47.911258,Хувийн цэцэрлэг,"СБД 3-р хороо, СӨҮЛ, Төгөлдөр 12-р байр",Бяцхан од
4722,,,Point,106.950722,47.988492,Хувийн цэцэрлэг,"СБД 18-р хороо, Бэлхийн 36 гудамж 38",Хүслийн цэцэг
4723,,,Point,106.843479,47.914181,Хувийн цэцэрлэг,СХД 14-р хороо,Билгүүн-Ундарга
4724,,,Point,106.776765,47.919877,Хувийн цэцэрлэг,"СХД 2-р хороо, Орбит 16-244",Бамбар
