id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Нэр,Хаяг
2175,,,Point,106.844217,47.913616,Эмийн сан,Таван говь эс,SHD-14
2176,,,Point,106.845128,47.91502,Эмийн сан,Еврофарм Цамбагарав,SHD-14
2177,,,Point,106.839137,47.913682,Эмийн сан,Нинжнаваг,SHD-15
2178,,,Point,106.837522,47.912189,Эмийн сан,Мэй фарм маркет,SHD-16
2179,,,Point,106.837168,47.912139,Эмийн сан,Миранд эс,SHD-16
2180,,,Point,106.837442,47.915428,Эмийн сан,Төглөөн  фарм,SHD-16
2181,,,Point,106.832367,47.915075,Эмийн сан,Адил одууд,SHD-17
2182,,,Point,106.832466,47.913328,Эмийн сан,Шүүдэргэнэ фарм,SHD-17
2183,,,Point,106.836173,47.912126,Эмийн сан,Хүж Баян Тур,SHD-17
2184,,,Point,106.836025,47.912129,Эмийн сан,Туст тун,SHD-17
2185,,,Point,106.749173,47.916707,Эмийн сан,Байдраг 3 сайхан,SHD-22
2186,,,Point,106.646416,48.122844,Эмийн сан,АБЦД.ХХК Болор,SHD-21
2187,,,Point,106.645586,48.123172,Эмийн сан,Цаа-Од 21,SHD-21
2188,,,Point,106.514384,48.00684,Эмийн сан,Цонхлон бүрэн,SHD-21
2189,,,Point,106.841951,47.916802,Эмийн сан,Буман хунчир,SHD-15
2190,,,Point,106.822018,47.912419,Эмийн сан,Мөнх орлого,SHD-29
2191,,,Point,106.846281,47.91541,Эмийн сан,Дакал,SHD-13
2192,,,Point,106.84287,47.950202,Эмийн сан,Эрдэнэчулуун,SHD-8
2193,,,Point,106.928457,47.916982,Эмийн сан,ЭМЖЖ,SBD-1
2194,,,Point,106.90887,47.914991,Эмийн сан,Хонхондой фарм,SBD-4
2195,,,Point,106.928688,47.917273,Эмийн сан,Еврофарм,SBD-1
2196,,,Point,106.923758,47.916195,Эмийн сан,Өлзий дэн /УНТЭ/,SBD-1
2197,,,Point,106.91255,47.911426,Эмийн сан,Ази фарм,SBD-1
2198,,,Point,106.923767,47.916161,Эмийн сан,Денто фарм,SBD-1
2199,,,Point,106.927808,47.916885,Эмийн сан,Гол гэсэр,SBD-1
2200,,,Point,106.924492,47.918496,Эмийн сан,Хорго үжин,SBD-1
2201,,,Point,106.927938,47.917036,Эмийн сан,Шинэс фарм,SBD-1
2202,,,Point,106.921022,47.914587,Эмийн сан,Пролианс.ХХК,SBD-1
2203,,,Point,106.912266,47.913668,Эмийн сан,Саруул амьдрал хөгжил,SBD-1
2204,,,Point,106.926236,47.914918,Эмийн сан,Цасны хачир,SBD-1
2205,,,Point,106.928312,47.915794,Эмийн сан,Хангид фарм,SBD-1
2206,,,Point,106.910248,47.91105,Эмийн сан,Луст,SBD-1
2207,,,Point,106.907193,47.914229,Эмийн сан,Бэриш фарм,SBD-4
2208,,,Point,106.910711,47.911598,Эмийн сан,Пи Ти Эн,SBD-2
2209,,,Point,106.901029,47.90902,Эмийн сан,Дениро,SBD-3
2210,,,Point,106.905202,47.915893,Эмийн сан,Волрос,SBD-4
2211,,,Point,106.897128,47.915197,Эмийн сан,Эв трейд,SBD-5
2212,,,Point,106.896238,47.911059,Эмийн сан,Дива,SBD-5
2213,,,Point,106.902201,47.913655,Эмийн сан,Перфект,SBD-4
2214,,,Point,106.917483,47.928504,Эмийн сан,Мөнх хайргана,SBD-6
2215,,,Point,106.895756,47.910197,Эмийн сан,Зайг гол,SBD-5
2216,,,Point,106.918172,47.92473,Эмийн сан,Л-2,SBD-6
