Indicators,Region,Annual,value
 Nursing, Eastern region,2017,5.0
 Nursing, Eastern region,2016,4.0
 Nursing, Eastern region,2015,3.0
 Nursing, Dornod,2024,0.0
 Nursing, Dornod,2023,0.0
 Nursing, Dornod,2022,0.0
 Nursing, Dornod,2021,0.0
 Nursing, Dornod,2020,0.0
 Nursing, Dornod,2019,0.0
 Nursing, Dornod,2018,0.0
 Nursing, Dornod,2017,0.0
 Nursing, Dornod,2016,0.0
 Nursing, Dornod,2015,0.0
 Nursing, Sukhbaatar,2024,0.0
 Nursing, Sukhbaatar,2023,0.0
 Nursing, Sukhbaatar,2022,0.0
 Nursing, Sukhbaatar,2021,0.0
 Nursing, Sukhbaatar,2020,0.0
 Nursing, Sukhbaatar,2019,0.0
 Nursing, Sukhbaatar,2018,0.0
 Nursing, Sukhbaatar,2017,0.0
 Nursing, Sukhbaatar,2016,0.0
 Nursing, Sukhbaatar,2015,0.0
 Nursing, Khentii,2024,3.0
 Nursing, Khentii,2023,4.0
 Nursing, Khentii,2022,3.0
 Nursing, Khentii,2021,3.0
 Nursing, Khentii,2020,2.0
 Nursing, Khentii,2019,5.0
 Nursing, Khentii,2018,5.0
 Nursing, Khentii,2017,5.0
 Nursing, Khentii,2016,4.0
 Nursing, Khentii,2015,3.0
 Nursing, Ulaanbaatar,2024,44.0
 Nursing, Ulaanbaatar,2023,45.0
 Nursing, Ulaanbaatar,2022,44.0
 Nursing, Ulaanbaatar,2021,57.0
 Nursing, Ulaanbaatar,2020,51.0
 Nursing, Ulaanbaatar,2019,59.0
 Nursing, Ulaanbaatar,2018,58.0
 Nursing, Ulaanbaatar,2017,65.0
 Nursing, Ulaanbaatar,2016,71.0
 Nursing, Ulaanbaatar,2015,70.0
 Nursing,   Ulaanbaatar,2024,
 Nursing,   Ulaanbaatar,2023,
 Nursing,   Ulaanbaatar,2022,
 Nursing,   Ulaanbaatar,2021,
 Nursing,   Ulaanbaatar,2020,
 Nursing,   Ulaanbaatar,2019,
 Nursing,   Ulaanbaatar,2018,
 Nursing,   Ulaanbaatar,2017,
 Nursing,   Ulaanbaatar,2016,
 Nursing,   Ulaanbaatar,2015,
 Drug supply organization,Total,2024,142.0
 Drug supply organization,Total,2023,127.0
 Drug supply organization,Total,2022,138.0
 Drug supply organization,Total,2021,131.0
 Drug supply organization,Total,2020,128.0
 Drug supply organization,Total,2019,356.0
 Drug supply organization,Total,2018,437.0
 Drug supply organization,Total,2017,399.0
 Drug supply organization,Total,2016,289.0
 Drug supply organization,Total,2015,210.0
 Drug supply organization, Western region,2024,23.0
 Drug supply organization, Western region,2023,23.0
 Drug supply organization, Western region,2022,23.0
 Drug supply organization, Western region,2021,22.0
 Drug supply organization, Western region,2020,20.0
 Drug supply organization, Western region,2019,20.0
 Drug supply organization, Western region,2018,20.0
 Drug supply organization, Western region,2017,21.0
 Drug supply organization, Western region,2016,20.0
 Drug supply organization, Western region,2015,19.0
 Drug supply organization, Bayan-Ulgii,2024,5.0
 Drug supply organization, Bayan-Ulgii,2023,5.0
 Drug supply organization, Bayan-Ulgii,2022,6.0
 Drug supply organization, Bayan-Ulgii,2021,6.0
 Drug supply organization, Bayan-Ulgii,2020,4.0
 Drug supply organization, Bayan-Ulgii,2019,3.0
 Drug supply organization, Bayan-Ulgii,2018,3.0
 Drug supply organization, Bayan-Ulgii,2017,3.0
 Drug supply organization, Bayan-Ulgii,2016,3.0
 Drug supply organization, Bayan-Ulgii,2015,4.0
 Drug supply organization, Govi-Altai,2024,4.0
 Drug supply organization, Govi-Altai,2023,4.0
 Drug supply organization, Govi-Altai,2022,4.0
 Drug supply organization, Govi-Altai,2021,4.0
 Drug supply organization, Govi-Altai,2020,4.0
 Drug supply organization, Govi-Altai,2019,4.0
 Drug supply organization, Govi-Altai,2018,4.0
 Drug supply organization, Govi-Altai,2017,4.0
 Drug supply organization, Govi-Altai,2016,4.0
 Drug supply organization, Govi-Altai,2015,2.0
 Drug supply organization, Zavkhan,2024,4.0
 Drug supply organization, Zavkhan,2023,4.0
 Drug supply organization, Zavkhan,2022,4.0
 Drug supply organization, Zavkhan,2021,3.0
 Drug supply organization, Zavkhan,2020,3.0
 Drug supply organization, Zavkhan,2019,3.0
 Drug supply organization, Zavkhan,2018,3.0
 Drug supply organization, Zavkhan,2017,4.0
 Drug supply organization, Zavkhan,2016,4.0
 Drug supply organization, Zavkhan,2015,4.0
 Drug supply organization, Uvs,2024,4.0
 Drug supply organization, Uvs,2023,4.0
 Drug supply organization, Uvs,2022,4.0
 Drug supply organization, Uvs,2021,4.0
 Drug supply organization, Uvs,2020,4.0
 Drug supply organization, Uvs,2019,5.0
 Drug supply organization, Uvs,2018,5.0
 Drug supply organization, Uvs,2017,5.0
 Drug supply organization, Uvs,2016,5.0
 Drug supply organization, Uvs,2015,5.0
 Drug supply organization, Khovd,2024,6.0
 Drug supply organization, Khovd,2023,6.0
 Drug supply organization, Khovd,2022,5.0
 Drug supply organization, Khovd,2021,5.0
 Drug supply organization, Khovd,2020,5.0
 Drug supply organization, Khovd,2019,5.0
 Drug supply organization, Khovd,2018,5.0
 Drug supply organization, Khovd,2017,5.0
 Drug supply organization, Khovd,2016,4.0
 Drug supply organization, Khovd,2015,4.0
 Drug supply organization, Khangai region,2024,26.0
 Drug supply organization, Khangai region,2023,26.0
 Drug supply organization, Khangai region,2022,32.0
 Drug supply organization, Khangai region,2021,30.0
 Drug supply organization, Khangai region,2020,29.0
 Drug supply organization, Khangai region,2019,32.0
 Drug supply organization, Khangai region,2018,27.0
 Drug supply organization, Khangai region,2017,27.0
 Drug supply organization, Khangai region,2016,26.0
 Drug supply organization, Khangai region,2015,29.0
 Drug supply organization, Arkhangai,2024,3.0
 Drug supply organization, Arkhangai,2023,3.0
 Drug supply organization, Arkhangai,2022,4.0
 Drug supply organization, Arkhangai,2021,4.0
 Drug supply organization, Arkhangai,2020,4.0
 Drug supply organization, Arkhangai,2019,4.0
 Drug supply organization, Arkhangai,2018,4.0
 Drug supply organization, Arkhangai,2017,4.0
 Drug supply organization, Arkhangai,2016,3.0
 Drug supply organization, Arkhangai,2015,5.0
 Drug supply organization, Bayankhongor,2024,5.0
 Drug supply organization, Bayankhongor,2023,5.0
 Drug supply organization, Bayankhongor,2022,5.0
 Drug supply organization, Bayankhongor,2021,5.0
 Drug supply organization, Bayankhongor,2020,5.0
 Drug supply organization, Bayankhongor,2019,7.0
 Drug supply organization, Bayankhongor,2018,5.0
 Drug supply organization, Bayankhongor,2017,5.0
 Drug supply organization, Bayankhongor,2016,5.0
 Drug supply organization, Bayankhongor,2015,5.0
 Drug supply organization, Bulgan,2024,2.0
 Drug supply organization, Bulgan,2023,2.0
 Drug supply organization, Bulgan,2022,2.0
 Drug supply organization, Bulgan,2021,3.0
 Drug supply organization, Bulgan,2020,3.0
 Drug supply organization, Bulgan,2019,3.0
 Drug supply organization, Bulgan,2018,2.0
 Drug supply organization, Bulgan,2017,2.0
 Drug supply organization, Bulgan,2016,2.0
 Drug supply organization, Bulgan,2015,2.0
 Drug supply organization, Orkhon,2024,9.0
 Drug supply organization, Orkhon,2023,9.0
 Drug supply organization, Orkhon,2022,13.0
 Drug supply organization, Orkhon,2021,10.0
 Drug supply organization, Orkhon,2020,13.0
 Drug supply organization, Orkhon,2019,10.0
 Drug supply organization, Orkhon,2018,8.0
 Drug supply organization, Orkhon,2017,8.0
 Drug supply organization, Orkhon,2016,8.0
 Drug supply organization, Orkhon,2015,8.0
 Drug supply organization, Uvurkhangai,2024,4.0
 Drug supply organization, Uvurkhangai,2023,3.0
 Drug supply organization, Uvurkhangai,2022,3.0
 Drug supply organization, Uvurkhangai,2021,3.0
 Drug supply organization, Uvurkhangai,2020,0.0
 Drug supply organization, Uvurkhangai,2019,2.0
 Drug supply organization, Uvurkhangai,2018,2.0
 Drug supply organization, Uvurkhangai,2017,2.0
 Drug supply organization, Uvurkhangai,2016,3.0
 Drug supply organization, Uvurkhangai,2015,4.0
 Drug supply organization, Khuvsgul,2024,4.0
 Drug supply organization, Khuvsgul,2023,4.0
 Drug supply organization, Khuvsgul,2022,5.0
 Drug supply organization, Khuvsgul,2021,5.0
 Drug supply organization, Khuvsgul,2020,4.0
 Drug supply organization, Khuvsgul,2019,6.0
 Drug supply organization, Khuvsgul,2018,6.0
 Drug supply organization, Khuvsgul,2017,6.0
 Drug supply organization, Khuvsgul,2016,5.0
 Drug supply organization, Khuvsgul,2015,5.0
 Drug supply organization, Central region,2024,21.0
 Drug supply organization, Central region,2023,20.0
 Drug supply organization, Central region,2022,19.0
 Drug supply organization, Central region,2021,15.0
 Drug supply organization, Central region,2020,20.0
 Drug supply organization, Central region,2019,19.0
 Drug supply organization, Central region,2018,13.0
 Drug supply organization, Central region,2017,12.0
 Drug supply organization, Central region,2016,11.0
 Drug supply organization, Central region,2015,11.0
 Drug supply organization, Govisumber,2024,1.0
 Drug supply organization, Govisumber,2023,1.0
 Drug supply organization, Govisumber,2022,1.0
 Drug supply organization, Govisumber,2021,1.0
 Drug supply organization, Govisumber,2020,1.0
 Drug supply organization, Govisumber,2019,1.0
 Drug supply organization, Govisumber,2018,1.0
 Drug supply organization, Govisumber,2017,1.0
 Drug supply organization, Govisumber,2016,1.0
 Drug supply organization, Govisumber,2015,0.0
 Drug supply organization, Darkhan-Uul,2024,6.0
 Drug supply organization, Darkhan-Uul,2023,6.0
 Drug supply organization, Darkhan-Uul,2022,6.0
 Drug supply organization, Darkhan-Uul,2021,6.0
 Drug supply organization, Darkhan-Uul,2020,6.0
 Drug supply organization, Darkhan-Uul,2019,5.0
 Drug supply organization, Darkhan-Uul,2018,0.0
 Drug supply organization, Darkhan-Uul,2017,0.0
 Drug supply organization, Darkhan-Uul,2016,0.0
 Drug supply organization, Darkhan-Uul,2015,0.0
 Drug supply organization, Dornogovi,2024,4.0
 Drug supply organization, Dornogovi,2023,4.0
 Drug supply organization, Dornogovi,2022,4.0
 Drug supply organization, Dornogovi,2021,0.0
 Drug supply organization, Dornogovi,2020,4.0
 Drug supply organization, Dornogovi,2019,4.0
 Drug supply organization, Dornogovi,2018,4.0
 Drug supply organization, Dornogovi,2017,4.0
 Drug supply organization, Dornogovi,2016,4.0
 Drug supply organization, Dornogovi,2015,3.0
 Drug supply organization, Dundgovi,2024,3.0
 Drug supply organization, Dundgovi,2023,3.0
 Drug supply organization, Dundgovi,2022,3.0
 Drug supply organization, Dundgovi,2021,3.0
 Drug supply organization, Dundgovi,2020,3.0
 Drug supply organization, Dundgovi,2019,3.0
 Drug supply organization, Dundgovi,2018,1.0
 Drug supply organization, Dundgovi,2017,1.0
 Drug supply organization, Dundgovi,2016,0.0
 Drug supply organization, Dundgovi,2015,2.0
 Drug supply organization, Umnugovi,2024,5.0
 Drug supply organization, Umnugovi,2023,5.0
 Drug supply organization, Umnugovi,2022,4.0
 Drug supply organization, Umnugovi,2021,4.0
 Drug supply organization, Umnugovi,2020,5.0
 Drug supply organization, Umnugovi,2019,5.0
 Drug supply organization, Umnugovi,2018,4.0
 Drug supply organization, Umnugovi,2017,4.0
 Drug supply organization, Umnugovi,2016,4.0
 Drug supply organization, Umnugovi,2015,4.0
 Drug supply organization, Selenge,2024,2.0
 Drug supply organization, Selenge,2023,1.0
 Drug supply organization, Selenge,2022,1.0
 Drug supply organization, Selenge,2021,1.0
 Drug supply organization, Selenge,2020,1.0
 Drug supply organization, Selenge,2019,1.0
 Drug supply organization, Selenge,2018,3.0
 Drug supply organization, Selenge,2017,2.0
 Drug supply organization, Selenge,2016,2.0
 Drug supply organization, Selenge,2015,2.0
 Drug supply organization, Tuv,2024,0.0
 Drug supply organization, Tuv,2023,0.0
 Drug supply organization, Tuv,2022,0.0
 Drug supply organization, Tuv,2021,0.0
 Drug supply organization, Tuv,2020,0.0
 Drug supply organization, Tuv,2019,0.0
 Drug supply organization, Tuv,2018,0.0
 Drug supply organization, Tuv,2017,0.0
 Drug supply organization, Tuv,2016,0.0
 Drug supply organization, Tuv,2015,0.0
 Drug supply organization, Eastern region,2024,10.0
 Drug supply organization, Eastern region,2023,10.0
 Drug supply organization, Eastern region,2022,10.0
 Drug supply organization, Eastern region,2021,10.0
 Drug supply organization, Eastern region,2020,6.0
 Drug supply organization, Eastern region,2019,8.0
 Drug supply organization, Eastern region,2018,8.0
 Drug supply organization, Eastern region,2017,6.0
 Drug supply organization, Eastern region,2016,6.0
 Drug supply organization, Eastern region,2015,6.0
 Drug supply organization, Dornod,2024,5.0
 Drug supply organization, Dornod,2023,5.0
 Drug supply organization, Dornod,2022,5.0
 Drug supply organization, Dornod,2021,4.0
 Drug supply organization, Dornod,2020,4.0
 Drug supply organization, Dornod,2019,5.0
 Drug supply organization, Dornod,2018,4.0
 Drug supply organization, Dornod,2017,2.0
 Drug supply organization, Dornod,2016,2.0
 Drug supply organization, Dornod,2015,2.0
 Drug supply organization, Sukhbaatar,2024,2.0
 Drug supply organization, Sukhbaatar,2023,2.0
 Drug supply organization, Sukhbaatar,2022,2.0
 Drug supply organization, Sukhbaatar,2021,2.0
 Drug supply organization, Sukhbaatar,2020,0.0
 Drug supply organization, Sukhbaatar,2019,1.0
 Drug supply organization, Sukhbaatar,2018,2.0
 Drug supply organization, Sukhbaatar,2017,2.0
 Drug supply organization, Sukhbaatar,2016,2.0
 Drug supply organization, Sukhbaatar,2015,2.0
 Drug supply organization, Khentii,2024,3.0
 Drug supply organization, Khentii,2023,3.0
 Drug supply organization, Khentii,2022,3.0
 Drug supply organization, Khentii,2021,4.0
 Drug supply organization, Khentii,2020,2.0
 Drug supply organization, Khentii,2019,2.0
 Drug supply organization, Khentii,2018,2.0
 Drug supply organization, Khentii,2017,2.0
 Drug supply organization, Khentii,2016,2.0
 Drug supply organization, Khentii,2015,2.0
 Drug supply organization, Ulaanbaatar,2024,60.0
 Drug supply organization, Ulaanbaatar,2023,48.0
 Drug supply organization, Ulaanbaatar,2022,54.0
 Drug supply organization, Ulaanbaatar,2021,54.0
 Drug supply organization, Ulaanbaatar,2020,53.0
 Drug supply organization, Ulaanbaatar,2019,277.0
 Drug supply organization, Ulaanbaatar,2018,369.0
 Drug supply organization, Ulaanbaatar,2017,333.0
 Drug supply organization, Ulaanbaatar,2016,226.0
 Drug supply organization, Ulaanbaatar,2015,145.0
 Drug supply organization,   Ulaanbaatar,2024,
 Drug supply organization,   Ulaanbaatar,2023,
 Drug supply organization,   Ulaanbaatar,2022,
 Drug supply organization,   Ulaanbaatar,2021,
 Drug supply organization,   Ulaanbaatar,2020,
 Drug supply organization,   Ulaanbaatar,2019,
 Drug supply organization,   Ulaanbaatar,2018,
 Drug supply organization,   Ulaanbaatar,2017,
 Drug supply organization,   Ulaanbaatar,2016,
 Drug supply organization,   Ulaanbaatar,2015,
 Pharmaceutical factory,Total,2024,0.0
 Pharmaceutical factory,Total,2023,1.0
 Pharmaceutical factory,Total,2022,2.0
 Pharmaceutical factory,Total,2021,2.0
 Pharmaceutical factory,Total,2020,2.0
 Pharmaceutical factory,Total,2019,40.0
 Pharmaceutical factory,Total,2018,47.0
 Pharmaceutical factory,Total,2017,46.0
 Pharmaceutical factory,Total,2016,39.0
 Pharmaceutical factory,Total,2015,33.0
 Pharmaceutical factory, Western region,2024,0.0
 Pharmaceutical factory, Western region,2023,0.0
 Pharmaceutical factory, Western region,2022,0.0
 Pharmaceutical factory, Western region,2021,0.0
 Pharmaceutical factory, Western region,2020,0.0
 Pharmaceutical factory, Western region,2019,0.0
 Pharmaceutical factory, Western region,2018,0.0
 Pharmaceutical factory, Western region,2017,0.0
 Pharmaceutical factory, Western region,2016,0.0
 Pharmaceutical factory, Western region,2015,0.0
 Pharmaceutical factory, Bayan-Ulgii,2024,0.0
 Pharmaceutical factory, Bayan-Ulgii,2023,0.0
 Pharmaceutical factory, Bayan-Ulgii,2022,0.0
 Pharmaceutical factory, Bayan-Ulgii,2021,0.0
 Pharmaceutical factory, Bayan-Ulgii,2020,0.0
 Pharmaceutical factory, Bayan-Ulgii,2019,0.0
 Pharmaceutical factory, Bayan-Ulgii,2018,0.0
 Pharmaceutical factory, Bayan-Ulgii,2017,0.0
 Pharmaceutical factory, Bayan-Ulgii,2016,0.0
 Pharmaceutical factory, Bayan-Ulgii,2015,0.0
 Pharmaceutical factory, Govi-Altai,2024,0.0
 Pharmaceutical factory, Govi-Altai,2023,0.0
 Pharmaceutical factory, Govi-Altai,2022,0.0
 Pharmaceutical factory, Govi-Altai,2021,0.0
 Pharmaceutical factory, Govi-Altai,2020,0.0
 Pharmaceutical factory, Govi-Altai,2019,0.0
 Pharmaceutical factory, Govi-Altai,2018,0.0
 Pharmaceutical factory, Govi-Altai,2017,0.0
 Pharmaceutical factory, Govi-Altai,2016,0.0
 Pharmaceutical factory, Govi-Altai,2015,0.0
 Pharmaceutical factory, Zavkhan,2024,0.0
 Pharmaceutical factory, Zavkhan,2023,0.0
 Pharmaceutical factory, Zavkhan,2022,0.0
 Pharmaceutical factory, Zavkhan,2021,0.0
 Pharmaceutical factory, Zavkhan,2020,0.0
 Pharmaceutical factory, Zavkhan,2019,0.0
 Pharmaceutical factory, Zavkhan,2018,0.0
 Pharmaceutical factory, Zavkhan,2017,0.0
 Pharmaceutical factory, Zavkhan,2016,0.0
 Pharmaceutical factory, Zavkhan,2015,0.0
 Pharmaceutical factory, Uvs,2024,0.0
 Pharmaceutical factory, Uvs,2023,0.0
 Pharmaceutical factory, Uvs,2022,0.0
 Pharmaceutical factory, Uvs,2021,0.0
 Pharmaceutical factory, Uvs,2020,0.0
 Pharmaceutical factory, Uvs,2019,0.0
 Pharmaceutical factory, Uvs,2018,0.0
 Pharmaceutical factory, Uvs,2017,0.0
 Pharmaceutical factory, Uvs,2016,0.0
 Pharmaceutical factory, Uvs,2015,0.0
 Pharmaceutical factory, Khovd,2024,0.0
 Pharmaceutical factory, Khovd,2023,0.0
 Pharmaceutical factory, Khovd,2022,0.0
 Pharmaceutical factory, Khovd,2021,0.0
 Pharmaceutical factory, Khovd,2020,0.0
 Pharmaceutical factory, Khovd,2019,0.0
 Pharmaceutical factory, Khovd,2018,0.0
 Pharmaceutical factory, Khovd,2017,0.0
 Pharmaceutical factory, Khovd,2016,0.0
 Pharmaceutical factory, Khovd,2015,0.0
 Pharmaceutical factory, Khangai region,2024,0.0
 Pharmaceutical factory, Khangai region,2023,0.0
 Pharmaceutical factory, Khangai region,2022,0.0
 Pharmaceutical factory, Khangai region,2021,0.0
 Pharmaceutical factory, Khangai region,2020,0.0
 Pharmaceutical factory, Khangai region,2019,0.0
 Pharmaceutical factory, Khangai region,2018,0.0
 Pharmaceutical factory, Khangai region,2017,0.0
 Pharmaceutical factory, Khangai region,2016,0.0
 Pharmaceutical factory, Khangai region,2015,0.0
 Pharmaceutical factory, Arkhangai,2024,0.0
 Pharmaceutical factory, Arkhangai,2023,0.0
 Pharmaceutical factory, Arkhangai,2022,0.0
 Pharmaceutical factory, Arkhangai,2021,0.0
 Pharmaceutical factory, Arkhangai,2020,0.0
 Pharmaceutical factory, Arkhangai,2019,0.0
 Pharmaceutical factory, Arkhangai,2018,0.0
 Pharmaceutical factory, Arkhangai,2017,0.0
 Pharmaceutical factory, Arkhangai,2016,0.0
 Pharmaceutical factory, Arkhangai,2015,0.0
 Pharmaceutical factory, Bayankhongor,2024,0.0
 Pharmaceutical factory, Bayankhongor,2023,0.0
 Pharmaceutical factory, Bayankhongor,2022,0.0
 Pharmaceutical factory, Bayankhongor,2021,0.0
 Pharmaceutical factory, Bayankhongor,2020,0.0
 Pharmaceutical factory, Bayankhongor,2019,0.0
 Pharmaceutical factory, Bayankhongor,2018,0.0
 Pharmaceutical factory, Bayankhongor,2017,0.0
 Pharmaceutical factory, Bayankhongor,2016,0.0
 Pharmaceutical factory, Bayankhongor,2015,0.0
 Pharmaceutical factory, Bulgan,2024,0.0
 Pharmaceutical factory, Bulgan,2023,0.0
 Pharmaceutical factory, Bulgan,2022,0.0
 Pharmaceutical factory, Bulgan,2021,0.0
 Pharmaceutical factory, Bulgan,2020,0.0
 Pharmaceutical factory, Bulgan,2019,0.0
 Pharmaceutical factory, Bulgan,2018,0.0
 Pharmaceutical factory, Bulgan,2017,0.0
 Pharmaceutical factory, Bulgan,2016,0.0
 Pharmaceutical factory, Bulgan,2015,0.0
 Pharmaceutical factory, Orkhon,2024,0.0
 Pharmaceutical factory, Orkhon,2023,0.0
 Pharmaceutical factory, Orkhon,2022,0.0
 Pharmaceutical factory, Orkhon,2021,0.0
 Pharmaceutical factory, Orkhon,2020,0.0
 Pharmaceutical factory, Orkhon,2019,0.0
 Pharmaceutical factory, Orkhon,2018,0.0
 Pharmaceutical factory, Orkhon,2017,0.0
 Pharmaceutical factory, Orkhon,2016,0.0
 Pharmaceutical factory, Orkhon,2015,0.0
 Pharmaceutical factory, Uvurkhangai,2024,0.0
 Pharmaceutical factory, Uvurkhangai,2023,0.0
 Pharmaceutical factory, Uvurkhangai,2022,0.0
 Pharmaceutical factory, Uvurkhangai,2021,0.0
 Pharmaceutical factory, Uvurkhangai,2020,0.0
 Pharmaceutical factory, Uvurkhangai,2019,0.0
 Pharmaceutical factory, Uvurkhangai,2018,0.0
 Pharmaceutical factory, Uvurkhangai,2017,0.0
 Pharmaceutical factory, Uvurkhangai,2016,0.0
 Pharmaceutical factory, Uvurkhangai,2015,0.0
 Pharmaceutical factory, Khuvsgul,2024,0.0
 Pharmaceutical factory, Khuvsgul,2023,0.0
 Pharmaceutical factory, Khuvsgul,2022,0.0
 Pharmaceutical factory, Khuvsgul,2021,0.0
 Pharmaceutical factory, Khuvsgul,2020,0.0
 Pharmaceutical factory, Khuvsgul,2019,0.0
 Pharmaceutical factory, Khuvsgul,2018,0.0
 Pharmaceutical factory, Khuvsgul,2017,0.0
 Pharmaceutical factory, Khuvsgul,2016,0.0
 Pharmaceutical factory, Khuvsgul,2015,0.0
 Pharmaceutical factory, Central region,2024,0.0
 Pharmaceutical factory, Central region,2023,0.0
 Pharmaceutical factory, Central region,2022,0.0
 Pharmaceutical factory, Central region,2021,0.0
 Pharmaceutical factory, Central region,2020,0.0
 Pharmaceutical factory, Central region,2019,0.0
 Pharmaceutical factory, Central region,2018,0.0
 Pharmaceutical factory, Central region,2017,0.0
 Pharmaceutical factory, Central region,2016,0.0
 Pharmaceutical factory, Central region,2015,0.0
 Pharmaceutical factory, Govisumber,2024,0.0
 Pharmaceutical factory, Govisumber,2023,0.0
 Pharmaceutical factory, Govisumber,2022,0.0
 Pharmaceutical factory, Govisumber,2021,0.0
 Pharmaceutical factory, Govisumber,2020,0.0
 Pharmaceutical factory, Govisumber,2019,0.0
 Pharmaceutical factory, Govisumber,2018,0.0
 Pharmaceutical factory, Govisumber,2017,0.0
 Pharmaceutical factory, Govisumber,2016,0.0
 Pharmaceutical factory, Govisumber,2015,0.0
 Pharmaceutical factory, Darkhan-Uul,2024,0.0
 Pharmaceutical factory, Darkhan-Uul,2023,0.0
 Pharmaceutical factory, Darkhan-Uul,2022,0.0
 Pharmaceutical factory, Darkhan-Uul,2021,0.0
 Pharmaceutical factory, Darkhan-Uul,2020,0.0
 Pharmaceutical factory, Darkhan-Uul,2019,0.0
 Pharmaceutical factory, Darkhan-Uul,2018,0.0
 Pharmaceutical factory, Darkhan-Uul,2017,0.0
 Pharmaceutical factory, Darkhan-Uul,2016,0.0
 Pharmaceutical factory, Darkhan-Uul,2015,0.0
 Pharmaceutical factory, Dornogovi,2024,0.0
 Pharmaceutical factory, Dornogovi,2023,0.0
 Pharmaceutical factory, Dornogovi,2022,0.0
 Pharmaceutical factory, Dornogovi,2021,0.0
 Pharmaceutical factory, Dornogovi,2020,0.0
 Pharmaceutical factory, Dornogovi,2019,0.0
 Pharmaceutical factory, Dornogovi,2018,0.0
 Pharmaceutical factory, Dornogovi,2017,0.0
 Pharmaceutical factory, Dornogovi,2016,0.0
 Pharmaceutical factory, Dornogovi,2015,0.0
 Pharmaceutical factory, Dundgovi,2024,0.0
 Pharmaceutical factory, Dundgovi,2023,0.0
 Pharmaceutical factory, Dundgovi,2022,0.0
 Pharmaceutical factory, Dundgovi,2021,0.0
 Pharmaceutical factory, Dundgovi,2020,0.0
 Pharmaceutical factory, Dundgovi,2019,0.0
 Pharmaceutical factory, Dundgovi,2018,0.0
 Pharmaceutical factory, Dundgovi,2017,0.0
 Pharmaceutical factory, Dundgovi,2016,0.0
 Pharmaceutical factory, Dundgovi,2015,0.0
 Pharmaceutical factory, Umnugovi,2024,0.0
 Pharmaceutical factory, Umnugovi,2023,0.0
 Pharmaceutical factory, Umnugovi,2022,0.0
 Pharmaceutical factory, Umnugovi,2021,0.0
 Pharmaceutical factory, Umnugovi,2020,0.0
 Pharmaceutical factory, Umnugovi,2019,0.0
 Pharmaceutical factory, Umnugovi,2018,0.0
 Pharmaceutical factory, Umnugovi,2017,0.0
 Pharmaceutical factory, Umnugovi,2016,0.0
 Pharmaceutical factory, Umnugovi,2015,0.0
 Pharmaceutical factory, Selenge,2024,0.0
 Pharmaceutical factory, Selenge,2023,0.0
 Pharmaceutical factory, Selenge,2022,0.0
 Pharmaceutical factory, Selenge,2021,0.0
 Pharmaceutical factory, Selenge,2020,0.0
 Pharmaceutical factory, Selenge,2019,0.0
 Pharmaceutical factory, Selenge,2018,0.0
 Pharmaceutical factory, Selenge,2017,0.0
 Pharmaceutical factory, Selenge,2016,0.0
 Pharmaceutical factory, Selenge,2015,0.0
 Pharmaceutical factory, Tuv,2024,0.0
 Pharmaceutical factory, Tuv,2023,0.0
 Pharmaceutical factory, Tuv,2022,0.0
 Pharmaceutical factory, Tuv,2021,0.0
 Pharmaceutical factory, Tuv,2020,0.0
 Pharmaceutical factory, Tuv,2019,0.0
 Pharmaceutical factory, Tuv,2018,0.0
 Pharmaceutical factory, Tuv,2017,0.0
 Pharmaceutical factory, Tuv,2016,0.0
 Pharmaceutical factory, Tuv,2015,0.0
 Pharmaceutical factory, Eastern region,2024,0.0
 Pharmaceutical factory, Eastern region,2023,0.0
 Pharmaceutical factory, Eastern region,2022,0.0
 Pharmaceutical factory, Eastern region,2021,0.0
 Pharmaceutical factory, Eastern region,2020,0.0
 Pharmaceutical factory, Eastern region,2019,0.0
 Pharmaceutical factory, Eastern region,2018,0.0
 Pharmaceutical factory, Eastern region,2017,0.0
 Pharmaceutical factory, Eastern region,2016,0.0
 Pharmaceutical factory, Eastern region,2015,0.0
 Pharmaceutical factory, Dornod,2024,0.0
 Pharmaceutical factory, Dornod,2023,0.0
 Pharmaceutical factory, Dornod,2022,0.0
 Pharmaceutical factory, Dornod,2021,0.0
 Pharmaceutical factory, Dornod,2020,0.0
 Pharmaceutical factory, Dornod,2019,0.0
 Pharmaceutical factory, Dornod,2018,0.0
 Pharmaceutical factory, Dornod,2017,0.0
 Pharmaceutical factory, Dornod,2016,0.0
 Pharmaceutical factory, Dornod,2015,0.0
 Pharmaceutical factory, Sukhbaatar,2024,0.0
 Pharmaceutical factory, Sukhbaatar,2023,0.0
 Pharmaceutical factory, Sukhbaatar,2022,0.0
 Pharmaceutical factory, Sukhbaatar,2021,0.0
 Pharmaceutical factory, Sukhbaatar,2020,0.0
 Pharmaceutical factory, Sukhbaatar,2019,0.0
 Pharmaceutical factory, Sukhbaatar,2018,0.0
 Pharmaceutical factory, Sukhbaatar,2017,0.0
 Pharmaceutical factory, Sukhbaatar,2016,0.0
 Pharmaceutical factory, Sukhbaatar,2015,0.0
 Pharmaceutical factory, Khentii,2024,0.0
 Pharmaceutical factory, Khentii,2023,0.0
 Pharmaceutical factory, Khentii,2022,0.0
 Pharmaceutical factory, Khentii,2021,0.0
 Pharmaceutical factory, Khentii,2020,0.0
 Pharmaceutical factory, Khentii,2019,0.0
 Pharmaceutical factory, Khentii,2018,0.0
