Types,Region,Year,value
Total,  Ulaanbaatar,1941,
Total,  Ulaanbaatar,1940,
Bus,Total,2025,23775.0
Bus,Total,2024,24110.0
Bus,Total,2023,23356.0
Bus,Total,2022,31832.0
Bus,Total,2021,34073.0
Bus,Total,2020,36084.0
Bus,Total,2019,19535.0
Bus,Total,2018,6501.0
Bus,Total,2017,6859.0
Bus,Total,2016,6823.0
Bus,Total,2015,6474.0
Bus,Total,2014,6207.0
Bus,Total,2013,5978.0
Bus,Total,2012,5584.0
Bus,Total,1957,
Bus,Total,1956,
Bus,Total,1955,
Bus,Total,1954,
Bus,Total,1953,
Bus,Total,1952,
Bus,Total,1951,
Bus,Total,1950,
Bus,Total,1949,
Bus,Total,1948,
Bus,Total,1947,
Bus,Total,1946,
Bus,Total,1945,
Bus,Total,1944,
Bus,Total,1943,
Bus,Total,1942,
Bus,Total,1941,
Bus,Total,1940,
Bus, Western region,2025,3139.0
Bus, Western region,2024,3118.0
Bus, Western region,2023,3074.0
Bus, Western region,2022,4309.0
Bus, Western region,2021,4649.0
Bus, Western region,2020,5094.0
Bus, Western region,2019,2341.0
Bus, Western region,2018,427.0
Bus, Western region,2017,383.0
Bus, Western region,2016,336.0
Bus, Western region,2015,268.0
Bus, Western region,2014,233.0
Bus, Western region,2013,251.0
Bus, Western region,2012,231.0
Bus, Western region,1957,
Bus, Western region,1956,
Bus, Western region,1955,
Bus, Western region,1954,
Bus, Western region,1953,
Bus, Western region,1952,
Bus, Western region,1951,
Bus, Western region,1950,
Bus, Western region,1949,
Bus, Western region,1948,
Bus, Western region,1947,
Bus, Western region,1946,
Bus, Western region,1945,
Bus, Western region,1944,
Bus, Western region,1943,
Bus, Western region,1942,
Bus, Western region,1941,
Bus, Western region,1940,
Bus, Bayan-Ulgii,2025,1025.0
Bus, Bayan-Ulgii,2024,951.0
Bus, Bayan-Ulgii,2023,919.0
Bus, Bayan-Ulgii,2022,1243.0
Bus, Bayan-Ulgii,2021,1273.0
Bus, Bayan-Ulgii,2020,1270.0
Bus, Bayan-Ulgii,2019,553.0
Bus, Bayan-Ulgii,2018,66.0
Bus, Bayan-Ulgii,2017,74.0
Bus, Bayan-Ulgii,2016,58.0
Bus, Bayan-Ulgii,2015,52.0
Bus, Bayan-Ulgii,2014,52.0
Bus, Bayan-Ulgii,2013,58.0
Bus, Bayan-Ulgii,2012,54.0
Bus, Bayan-Ulgii,1957,
Bus, Bayan-Ulgii,1956,
Bus, Bayan-Ulgii,1955,
Bus, Bayan-Ulgii,1954,
Bus, Bayan-Ulgii,1953,
Bus, Bayan-Ulgii,1952,
Bus, Bayan-Ulgii,1951,
Bus, Bayan-Ulgii,1950,
Bus, Bayan-Ulgii,1949,
Bus, Bayan-Ulgii,1948,
Bus, Bayan-Ulgii,1947,
Bus, Bayan-Ulgii,1946,
Bus, Bayan-Ulgii,1945,
Bus, Bayan-Ulgii,1944,
Bus, Bayan-Ulgii,1943,
Bus, Bayan-Ulgii,1942,
Bus, Bayan-Ulgii,1941,
Bus, Bayan-Ulgii,1940,
Bus, Govi-Altai,2025,562.0
Bus, Govi-Altai,2024,598.0
Bus, Govi-Altai,2023,601.0
Bus, Govi-Altai,2022,839.0
Bus, Govi-Altai,2021,922.0
Bus, Govi-Altai,2020,1054.0
Bus, Govi-Altai,2019,474.0
Bus, Govi-Altai,2018,46.0
Bus, Govi-Altai,2017,40.0
Bus, Govi-Altai,2016,36.0
Bus, Govi-Altai,2015,30.0
Bus, Govi-Altai,2014,23.0
Bus, Govi-Altai,2013,21.0
Bus, Govi-Altai,2012,18.0
Bus, Govi-Altai,1957,
Bus, Govi-Altai,1956,
Bus, Govi-Altai,1955,
Bus, Govi-Altai,1954,
Bus, Govi-Altai,1953,
Bus, Govi-Altai,1952,
Bus, Govi-Altai,1951,
Bus, Govi-Altai,1950,
Bus, Govi-Altai,1949,
Bus, Govi-Altai,1948,
Bus, Govi-Altai,1947,
Bus, Govi-Altai,1946,
Bus, Govi-Altai,1945,
Bus, Govi-Altai,1944,
Bus, Govi-Altai,1943,
Bus, Govi-Altai,1942,
Bus, Govi-Altai,1941,
Bus, Govi-Altai,1940,
Bus, Zavkhan,2025,426.0
Bus, Zavkhan,2024,434.0
Bus, Zavkhan,2023,428.0
Bus, Zavkhan,2022,672.0
Bus, Zavkhan,2021,765.0
Bus, Zavkhan,2020,951.0
Bus, Zavkhan,2019,391.0
Bus, Zavkhan,2018,75.0
Bus, Zavkhan,2017,60.0
Bus, Zavkhan,2016,56.0
Bus, Zavkhan,2015,37.0
Bus, Zavkhan,2014,33.0
Bus, Zavkhan,2013,27.0
Bus, Zavkhan,2012,21.0
Bus, Zavkhan,1957,
Bus, Zavkhan,1956,
Bus, Zavkhan,1955,
Bus, Zavkhan,1954,
Bus, Zavkhan,1953,
Bus, Zavkhan,1952,
Bus, Zavkhan,1951,
Bus, Zavkhan,1950,
Bus, Zavkhan,1949,
Bus, Zavkhan,1948,
Bus, Zavkhan,1947,
Bus, Zavkhan,1946,
Bus, Zavkhan,1945,
Bus, Zavkhan,1944,
Bus, Zavkhan,1943,
Bus, Zavkhan,1942,
Bus, Zavkhan,1941,
Bus, Zavkhan,1940,
Bus, Uvs,2025,515.0
Bus, Uvs,2024,531.0
Bus, Uvs,2023,532.0
Bus, Uvs,2022,640.0
Bus, Uvs,2021,768.0
Bus, Uvs,2020,836.0
Bus, Uvs,2019,377.0
Bus, Uvs,2018,78.0
Bus, Uvs,2017,67.0
Bus, Uvs,2016,57.0
Bus, Uvs,2015,49.0
Bus, Uvs,2014,40.0
Bus, Uvs,2013,41.0
Bus, Uvs,2012,36.0
Bus, Uvs,1957,
Bus, Uvs,1956,
Bus, Uvs,1955,
Bus, Uvs,1954,
Bus, Uvs,1953,
Bus, Uvs,1952,
Bus, Uvs,1951,
Bus, Uvs,1950,
Bus, Uvs,1949,
Bus, Uvs,1948,
Bus, Uvs,1947,
Bus, Uvs,1946,
Bus, Uvs,1945,
Bus, Uvs,1944,
Bus, Uvs,1943,
Bus, Uvs,1942,
Bus, Uvs,1941,
Bus, Uvs,1940,
Bus, Khovd,2025,611.0
Bus, Khovd,2024,604.0
Bus, Khovd,2023,594.0
Bus, Khovd,2022,915.0
Bus, Khovd,2021,921.0
Bus, Khovd,2020,983.0
Bus, Khovd,2019,546.0
Bus, Khovd,2018,162.0
Bus, Khovd,2017,142.0
Bus, Khovd,2016,129.0
Bus, Khovd,2015,100.0
Bus, Khovd,2014,85.0
Bus, Khovd,2013,104.0
Bus, Khovd,2012,102.0
Bus, Khovd,1957,
Bus, Khovd,1956,
Bus, Khovd,1955,
Bus, Khovd,1954,
Bus, Khovd,1953,
Bus, Khovd,1952,
Bus, Khovd,1951,
Bus, Khovd,1950,
Bus, Khovd,1949,
Bus, Khovd,1948,
Bus, Khovd,1947,
Bus, Khovd,1946,
Bus, Khovd,1945,
Bus, Khovd,1944,
Bus, Khovd,1943,
Bus, Khovd,1942,
Bus, Khovd,1941,
Bus, Khovd,1940,
Bus, Khangai region,2025,3496.0
Bus, Khangai region,2024,3383.0
Bus, Khangai region,2023,3360.0
Bus, Khangai region,2022,5004.0
Bus, Khangai region,2021,5570.0
Bus, Khangai region,2020,6397.0
Bus, Khangai region,2019,2838.0
Bus, Khangai region,2018,745.0
Bus, Khangai region,2017,714.0
Bus, Khangai region,2016,685.0
Bus, Khangai region,2015,583.0
Bus, Khangai region,2014,527.0
Bus, Khangai region,2013,474.0
Bus, Khangai region,2012,456.0
Bus, Khangai region,1957,
Bus, Khangai region,1956,
Bus, Khangai region,1955,
Bus, Khangai region,1954,
Bus, Khangai region,1953,
Bus, Khangai region,1952,
Bus, Khangai region,1951,
Bus, Khangai region,1950,
Bus, Khangai region,1949,
Bus, Khangai region,1948,
Bus, Khangai region,1947,
Bus, Khangai region,1946,
Bus, Khangai region,1945,
Bus, Khangai region,1944,
Bus, Khangai region,1943,
Bus, Khangai region,1942,
Bus, Khangai region,1941,
Bus, Khangai region,1940,
Bus, Arkhangai,2025,338.0
Bus, Arkhangai,2024,326.0
Bus, Arkhangai,2023,316.0
Bus, Arkhangai,2022,357.0
Bus, Arkhangai,2021,468.0
Bus, Arkhangai,2020,523.0
Bus, Arkhangai,2019,244.0
Bus, Arkhangai,2018,43.0
Bus, Arkhangai,2017,39.0
Bus, Arkhangai,2016,45.0
Bus, Arkhangai,2015,42.0
Bus, Arkhangai,2014,35.0
Bus, Arkhangai,2013,29.0
Bus, Arkhangai,2012,30.0
Bus, Arkhangai,1957,
Bus, Arkhangai,1956,
Bus, Arkhangai,1955,
Bus, Arkhangai,1954,
Bus, Arkhangai,1953,
Bus, Arkhangai,1952,
Bus, Arkhangai,1951,
Bus, Arkhangai,1950,
Bus, Arkhangai,1949,
Bus, Arkhangai,1948,
Bus, Arkhangai,1947,
Bus, Arkhangai,1946,
Bus, Arkhangai,1945,
Bus, Arkhangai,1944,
Bus, Arkhangai,1943,
Bus, Arkhangai,1942,
Bus, Arkhangai,1941,
Bus, Arkhangai,1940,
Bus, Bayankhongor,2025,688.0
Bus, Bayankhongor,2024,667.0
Bus, Bayankhongor,2023,678.0
Bus, Bayankhongor,2022,857.0
Bus, Bayankhongor,2021,922.0
Bus, Bayankhongor,2020,1189.0
Bus, Bayankhongor,2019,417.0
Bus, Bayankhongor,2018,170.0
Bus, Bayankhongor,2017,162.0
Bus, Bayankhongor,2016,162.0
Bus, Bayankhongor,2015,162.0
Bus, Bayankhongor,2014,152.0
Bus, Bayankhongor,2013,123.0
Bus, Bayankhongor,2012,119.0
Bus, Bayankhongor,1957,
Bus, Bayankhongor,1956,
Bus, Bayankhongor,1955,
Bus, Bayankhongor,1954,
Bus, Bayankhongor,1953,
Bus, Bayankhongor,1952,
Bus, Bayankhongor,1951,
Bus, Bayankhongor,1950,
Bus, Bayankhongor,1949,
Bus, Bayankhongor,1948,
Bus, Bayankhongor,1947,
Bus, Bayankhongor,1946,
Bus, Bayankhongor,1945,
Bus, Bayankhongor,1944,
Bus, Bayankhongor,1943,
Bus, Bayankhongor,1942,
Bus, Bayankhongor,1941,
Bus, Bayankhongor,1940,
Bus, Bulgan,2025,175.0
Bus, Bulgan,2024,175.0
Bus, Bulgan,2023,175.0
Bus, Bulgan,2022,294.0
Bus, Bulgan,2021,343.0
Bus, Bulgan,2020,364.0
Bus, Bulgan,2019,152.0
Bus, Bulgan,2018,19.0
Bus, Bulgan,2017,17.0
Bus, Bulgan,2016,18.0
Bus, Bulgan,2015,20.0
Bus, Bulgan,2014,21.0
Bus, Bulgan,2013,29.0
Bus, Bulgan,2012,29.0
Bus, Bulgan,1957,
Bus, Bulgan,1956,
Bus, Bulgan,1955,
Bus, Bulgan,1954,
Bus, Bulgan,1953,
Bus, Bulgan,1952,
Bus, Bulgan,1951,
Bus, Bulgan,1950,
Bus, Bulgan,1949,
Bus, Bulgan,1948,
Bus, Bulgan,1947,
Bus, Bulgan,1946,
Bus, Bulgan,1945,
Bus, Bulgan,1944,
Bus, Bulgan,1943,
Bus, Bulgan,1942,
Bus, Bulgan,1941,
Bus, Bulgan,1940,
Bus, Orkhon,2025,575.0
Bus, Orkhon,2024,580.0
Bus, Orkhon,2023,580.0
Bus, Orkhon,2022,1093.0
Bus, Orkhon,2021,1215.0
Bus, Orkhon,2020,1220.0
Bus, Orkhon,2019,739.0
Bus, Orkhon,2018,281.0
Bus, Orkhon,2017,279.0
Bus, Orkhon,2016,266.0
Bus, Orkhon,2015,206.0
Bus, Orkhon,2014,185.0
Bus, Orkhon,2013,170.0
Bus, Orkhon,2012,175.0
Bus, Orkhon,1957,
Bus, Orkhon,1956,
Bus, Orkhon,1955,
Bus, Orkhon,1954,
Bus, Orkhon,1953,
Bus, Orkhon,1952,
Bus, Orkhon,1951,
Bus, Orkhon,1950,
Bus, Orkhon,1949,
Bus, Orkhon,1948,
Bus, Orkhon,1947,
Bus, Orkhon,1946,
Bus, Orkhon,1945,
Bus, Orkhon,1944,
Bus, Orkhon,1943,
Bus, Orkhon,1942,
Bus, Orkhon,1941,
Bus, Orkhon,1940,
Bus, Uvurkhangai,2025,556.0
Bus, Uvurkhangai,2024,523.0
Bus, Uvurkhangai,2023,559.0
Bus, Uvurkhangai,2022,1139.0
Bus, Uvurkhangai,2021,1211.0
Bus, Uvurkhangai,2020,1377.0
Bus, Uvurkhangai,2019,669.0
Bus, Uvurkhangai,2018,107.0
Bus, Uvurkhangai,2017,98.0
Bus, Uvurkhangai,2016,98.0
Bus, Uvurkhangai,2015,75.0
Bus, Uvurkhangai,2014,71.0
Bus, Uvurkhangai,2013,69.0
Bus, Uvurkhangai,2012,60.0
Bus, Uvurkhangai,1957,
Bus, Uvurkhangai,1956,
Bus, Uvurkhangai,1955,
Bus, Uvurkhangai,1954,
Bus, Uvurkhangai,1953,
Bus, Uvurkhangai,1952,
Bus, Uvurkhangai,1951,
Bus, Uvurkhangai,1950,
Bus, Uvurkhangai,1949,
Bus, Uvurkhangai,1948,
Bus, Uvurkhangai,1947,
Bus, Uvurkhangai,1946,
Bus, Uvurkhangai,1945,
Bus, Uvurkhangai,1944,
Bus, Uvurkhangai,1943,
Bus, Uvurkhangai,1942,
Bus, Uvurkhangai,1941,
Bus, Uvurkhangai,1940,
Bus, Khuvsgul,2025,1164.0
Bus, Khuvsgul,2024,1112.0
Bus, Khuvsgul,2023,1052.0
Bus, Khuvsgul,2022,1264.0
Bus, Khuvsgul,2021,1411.0
Bus, Khuvsgul,2020,1724.0
Bus, Khuvsgul,2019,617.0
Bus, Khuvsgul,2018,125.0
Bus, Khuvsgul,2017,119.0
Bus, Khuvsgul,2016,96.0
Bus, Khuvsgul,2015,78.0
Bus, Khuvsgul,2014,63.0
Bus, Khuvsgul,2013,54.0
Bus, Khuvsgul,2012,43.0
Bus, Khuvsgul,1957,
Bus, Khuvsgul,1956,
Bus, Khuvsgul,1955,
Bus, Khuvsgul,1954,
Bus, Khuvsgul,1953,
Bus, Khuvsgul,1952,
Bus, Khuvsgul,1951,
Bus, Khuvsgul,1950,
Bus, Khuvsgul,1949,
Bus, Khuvsgul,1948,
Bus, Khuvsgul,1947,
Bus, Khuvsgul,1946,
Bus, Khuvsgul,1945,
Bus, Khuvsgul,1944,
Bus, Khuvsgul,1943,
Bus, Khuvsgul,1942,
Bus, Khuvsgul,1941,
Bus, Khuvsgul,1940,
Bus, Central region,2025,3443.0
Bus, Central region,2024,3231.0
Bus, Central region,2023,3279.0
Bus, Central region,2022,4755.0
Bus, Central region,2021,5413.0
Bus, Central region,2020,5818.0
Bus, Central region,2019,2397.0
Bus, Central region,2018,677.0
Bus, Central region,2017,654.0
Bus, Central region,2016,602.0
Bus, Central region,2015,564.0
Bus, Central region,2014,539.0
Bus, Central region,2013,548.0
Bus, Central region,2012,481.0
Bus, Central region,1957,
Bus, Central region,1956,
Bus, Central region,1955,
Bus, Central region,1954,
Bus, Central region,1953,
Bus, Central region,1952,
Bus, Central region,1951,
Bus, Central region,1950,
Bus, Central region,1949,
Bus, Central region,1948,
Bus, Central region,1947,
Bus, Central region,1946,
Bus, Central region,1945,
Bus, Central region,1944,
Bus, Central region,1943,
Bus, Central region,1942,
Bus, Central region,1941,
Bus, Central region,1940,
Bus, Govisumber,2025,83.0
Bus, Govisumber,2024,80.0
Bus, Govisumber,2023,80.0
Bus, Govisumber,2022,103.0
Bus, Govisumber,2021,132.0
Bus, Govisumber,2020,125.0
Bus, Govisumber,2019,73.0
Bus, Govisumber,2018,28.0
Bus, Govisumber,2017,22.0
Bus, Govisumber,2016,21.0
Bus, Govisumber,2015,21.0
Bus, Govisumber,2014,21.0
Bus, Govisumber,2013,31.0
Bus, Govisumber,2012,29.0
Bus, Govisumber,1957,
Bus, Govisumber,1956,
Bus, Govisumber,1955,
Bus, Govisumber,1954,
Bus, Govisumber,1953,
Bus, Govisumber,1952,
Bus, Govisumber,1951,
Bus, Govisumber,1950,
Bus, Govisumber,1949,
Bus, Govisumber,1948,
Bus, Govisumber,1947,
Bus, Govisumber,1946,
Bus, Govisumber,1945,
Bus, Govisumber,1944,
Bus, Govisumber,1943,
Bus, Govisumber,1942,
Bus, Govisumber,1941,
Bus, Govisumber,1940,
Bus, Darkhan-Uul,2025,415.0
Bus, Darkhan-Uul,2024,400.0
Bus, Darkhan-Uul,2023,379.0
Bus, Darkhan-Uul,2022,837.0
Bus, Darkhan-Uul,2021,916.0
Bus, Darkhan-Uul,2020,927.0
Bus, Darkhan-Uul,2019,507.0
Bus, Darkhan-Uul,2018,179.0
Bus, Darkhan-Uul,2017,169.0
Bus, Darkhan-Uul,2016,161.0
Bus, Darkhan-Uul,2015,158.0
Bus, Darkhan-Uul,2014,150.0
Bus, Darkhan-Uul,2013,161.0
Bus, Darkhan-Uul,2012,133.0
Bus, Darkhan-Uul,1957,
Bus, Darkhan-Uul,1956,
Bus, Darkhan-Uul,1955,
Bus, Darkhan-Uul,1954,
Bus, Darkhan-Uul,1953,
Bus, Darkhan-Uul,1952,
Bus, Darkhan-Uul,1951,
Bus, Darkhan-Uul,1950,
Bus, Darkhan-Uul,1949,
Bus, Darkhan-Uul,1948,
Bus, Darkhan-Uul,1947,
Bus, Darkhan-Uul,1946,
Bus, Darkhan-Uul,1945,
Bus, Darkhan-Uul,1944,
Bus, Darkhan-Uul,1943,
Bus, Darkhan-Uul,1942,
Bus, Darkhan-Uul,1941,
Bus, Darkhan-Uul,1940,
Bus, Dornogovi,2025,735.0
Bus, Dornogovi,2024,723.0
Bus, Dornogovi,2023,754.0
Bus, Dornogovi,2022,696.0
Bus, Dornogovi,2021,981.0
Bus, Dornogovi,2020,1061.0
Bus, Dornogovi,2019,393.0
Bus, Dornogovi,2018,98.0
Bus, Dornogovi,2017,100.0
Bus, Dornogovi,2016,99.0
Bus, Dornogovi,2015,93.0
Bus, Dornogovi,2014,97.0
Bus, Dornogovi,2013,89.0
Bus, Dornogovi,2012,80.0
Bus, Dornogovi,1957,
Bus, Dornogovi,1956,
Bus, Dornogovi,1955,
Bus, Dornogovi,1954,
Bus, Dornogovi,1953,
Bus, Dornogovi,1952,
Bus, Dornogovi,1951,
Bus, Dornogovi,1950,
Bus, Dornogovi,1949,
Bus, Dornogovi,1948,
Bus, Dornogovi,1947,
Bus, Dornogovi,1946,
Bus, Dornogovi,1945,
Bus, Dornogovi,1944,
Bus, Dornogovi,1943,
Bus, Dornogovi,1942,
Bus, Dornogovi,1941,
Bus, Dornogovi,1940,
Bus, Dundgovi,2025,342.0
Bus, Dundgovi,2024,326.0
Bus, Dundgovi,2023,331.0
Bus, Dundgovi,2022,404.0
Bus, Dundgovi,2021,586.0
Bus, Dundgovi,2020,677.0
Bus, Dundgovi,2019,191.0
Bus, Dundgovi,2018,40.0
Bus, Dundgovi,2017,38.0
Bus, Dundgovi,2016,36.0
Bus, Dundgovi,2015,37.0
Bus, Dundgovi,2014,34.0
Bus, Dundgovi,2013,39.0
Bus, Dundgovi,2012,31.0
Bus, Dundgovi,1957,
Bus, Dundgovi,1956,
Bus, Dundgovi,1955,
Bus, Dundgovi,1954,
Bus, Dundgovi,1953,
Bus, Dundgovi,1952,
Bus, Dundgovi,1951,
Bus, Dundgovi,1950,
Bus, Dundgovi,1949,
Bus, Dundgovi,1948,
Bus, Dundgovi,1947,
Bus, Dundgovi,1946,
Bus, Dundgovi,1945,
Bus, Dundgovi,1944,
Bus, Dundgovi,1943,
Bus, Dundgovi,1942,
Bus, Dundgovi,1941,
Bus, Dundgovi,1940,
Bus, Umnugovi,2025,1132.0
Bus, Umnugovi,2024,1061.0
Bus, Umnugovi,2023,1095.0
Bus, Umnugovi,2022,1461.0
Bus, Umnugovi,2021,1447.0
Bus, Umnugovi,2020,1690.0
Bus, Umnugovi,2019,561.0
Bus, Umnugovi,2018,175.0
Bus, Umnugovi,2017,170.0
Bus, Umnugovi,2016,140.0
Bus, Umnugovi,2015,122.0
Bus, Umnugovi,2014,115.0
Bus, Umnugovi,2013,99.0
Bus, Umnugovi,2012,84.0
Bus, Umnugovi,1957,
Bus, Umnugovi,1956,
Bus, Umnugovi,1955,
Bus, Umnugovi,1954,
Bus, Umnugovi,1953,
Bus, Umnugovi,1952,
Bus, Umnugovi,1951,
Bus, Umnugovi,1950,
Bus, Umnugovi,1949,
Bus, Umnugovi,1948,
Bus, Umnugovi,1947,
Bus, Umnugovi,1946,
Bus, Umnugovi,1945,
Bus, Umnugovi,1944,
Bus, Umnugovi,1943,
Bus, Umnugovi,1942,
Bus, Umnugovi,1941,
Bus, Umnugovi,1940,
Bus, Selenge,2025,388.0
Bus, Selenge,2024,343.0
Bus, Selenge,2023,351.0
Bus, Selenge,2022,715.0
Bus, Selenge,2021,773.0
Bus, Selenge,2020,738.0
Bus, Selenge,2019,383.0
Bus, Selenge,2018,99.0
Bus, Selenge,2017,100.0
Bus, Selenge,2016,98.0
Bus, Selenge,2015,94.0
Bus, Selenge,2014,84.0
Bus, Selenge,2013,94.0
Bus, Selenge,2012,88.0
Bus, Selenge,1957,
Bus, Selenge,1956,
Bus, Selenge,1955,
Bus, Selenge,1954,
Bus, Selenge,1953,
Bus, Selenge,1952,
Bus, Selenge,1951,
Bus, Selenge,1950,
Bus, Selenge,1949,
Bus, Selenge,1948,
Bus, Selenge,1947,
Bus, Selenge,1946,
Bus, Selenge,1945,
Bus, Selenge,1944,
Bus, Selenge,1943,
Bus, Selenge,1942,
Bus, Selenge,1941,
Bus, Selenge,1940,
Bus, Tuv,2025,348.0
Bus, Tuv,2024,298.0
Bus, Tuv,2023,289.0
Bus, Tuv,2022,539.0
Bus, Tuv,2021,578.0
Bus, Tuv,2020,600.0
Bus, Tuv,2019,289.0
Bus, Tuv,2018,58.0
Bus, Tuv,2017,55.0
Bus, Tuv,2016,47.0
Bus, Tuv,2015,39.0
Bus, Tuv,2014,38.0
Bus, Tuv,2013,35.0
Bus, Tuv,2012,36.0
Bus, Tuv,1957,
Bus, Tuv,1956,
Bus, Tuv,1955,
Bus, Tuv,1954,
Bus, Tuv,1953,
Bus, Tuv,1952,
Bus, Tuv,1951,
Bus, Tuv,1950,
Bus, Tuv,1949,
Bus, Tuv,1948,
Bus, Tuv,1947,
Bus, Tuv,1946,
Bus, Tuv,1945,
Bus, Tuv,1944,
Bus, Tuv,1943,
Bus, Tuv,1942,
Bus, Tuv,1941,
Bus, Tuv,1940,
Bus, Eastern region,2025,1234.0
Bus, Eastern region,2024,1233.0
Bus, Eastern region,2023,1179.0
Bus, Eastern region,2022,1572.0
Bus, Eastern region,2021,1868.0
Bus, Eastern region,2020,1941.0
Bus, Eastern region,2019,938.0
Bus, Eastern region,2018,170.0
Bus, Eastern region,2017,166.0
Bus, Eastern region,2016,145.0
Bus, Eastern region,2015,131.0
Bus, Eastern region,2014,124.0
Bus, Eastern region,2013,135.0
Bus, Eastern region,2012,119.0
Bus, Eastern region,1957,
Bus, Eastern region,1956,
Bus, Eastern region,1955,
Bus, Eastern region,1954,
Bus, Eastern region,1953,
Bus, Eastern region,1952,
Bus, Eastern region,1951,
Bus, Eastern region,1950,
Bus, Eastern region,1949,
Bus, Eastern region,1948,
Bus, Eastern region,1947,
Bus, Eastern region,1946,
Bus, Eastern region,1945,
Bus, Eastern region,1944,
Bus, Eastern region,1943,
Bus, Eastern region,1942,
Bus, Eastern region,1941,
Bus, Eastern region,1940,
Bus, Dornod,2025,559.0
Bus, Dornod,2024,542.0
Bus, Dornod,2023,473.0
Bus, Dornod,2022,524.0
Bus, Dornod,2021,720.0
Bus, Dornod,2020,798.0
Bus, Dornod,2019,385.0
Bus, Dornod,2018,89.0
Bus, Dornod,2017,89.0
Bus, Dornod,2016,76.0
Bus, Dornod,2015,66.0
Bus, Dornod,2014,65.0
Bus, Dornod,2013,74.0
Bus, Dornod,2012,64.0
Bus, Dornod,1957,
Bus, Dornod,1956,
Bus, Dornod,1955,
Bus, Dornod,1954,
Bus, Dornod,1953,
Bus, Dornod,1952,
Bus, Dornod,1951,
Bus, Dornod,1950,
Bus, Dornod,1949,
Bus, Dornod,1948,
Bus, Dornod,1947,
Bus, Dornod,1946,
Bus, Dornod,1945,
Bus, Dornod,1944,
Bus, Dornod,1943,
Bus, Dornod,1942,
Bus, Dornod,1941,
Bus, Dornod,1940,
Bus, Sukhbaatar,2025,279.0
Bus, Sukhbaatar,2024,280.0
Bus, Sukhbaatar,2023,282.0
Bus, Sukhbaatar,2022,457.0
Bus, Sukhbaatar,2021,496.0
Bus, Sukhbaatar,2020,513.0
Bus, Sukhbaatar,2019,233.0
Bus, Sukhbaatar,2018,43.0
Bus, Sukhbaatar,2017,44.0
Bus, Sukhbaatar,2016,41.0
Bus, Sukhbaatar,2015,39.0
Bus, Sukhbaatar,2014,40.0
Bus, Sukhbaatar,2013,43.0
Bus, Sukhbaatar,2012,40.0
Bus, Sukhbaatar,1957,
Bus, Sukhbaatar,1956,
Bus, Sukhbaatar,1955,
Bus, Sukhbaatar,1954,
Bus, Sukhbaatar,1953,
Bus, Sukhbaatar,1952,
Bus, Sukhbaatar,1951,
Bus, Sukhbaatar,1950,
Bus, Sukhbaatar,1949,
Bus, Sukhbaatar,1948,
Bus, Sukhbaatar,1947,
Bus, Sukhbaatar,1946,
Bus, Sukhbaatar,1945,
Bus, Sukhbaatar,1944,
Bus, Sukhbaatar,1943,
Bus, Sukhbaatar,1942,
Bus, Sukhbaatar,1941,
Bus, Sukhbaatar,1940,
Bus, Khentii,2025,396.0
Bus, Khentii,2024,411.0
Bus, Khentii,2023,424.0
Bus, Khentii,2022,591.0
Bus, Khentii,2021,652.0
Bus, Khentii,2020,630.0
Bus, Khentii,2019,320.0
Bus, Khentii,2018,38.0
Bus, Khentii,2017,33.0
Bus, Khentii,2016,28.0
Bus, Khentii,2015,26.0
Bus, Khentii,2014,19.0
Bus, Khentii,2013,18.0
Bus, Khentii,2012,15.0
Bus, Khentii,1957,
Bus, Khentii,1956,
Bus, Khentii,1955,
Bus, Khentii,1954,
Bus, Khentii,1953,
Bus, Khentii,1952,
Bus, Khentii,1951,
Bus, Khentii,1950,
Bus, Khentii,1949,
Bus, Khentii,1948,
Bus, Khentii,1947,
Bus, Khentii,1946,
Bus, Khentii,1945,
Bus, Khentii,1944,
Bus, Khentii,1943,
Bus, Khentii,1942,
Bus, Khentii,1941,
Bus, Khentii,1940,
Bus, Ulaanbaatar,2025,12463.0
Bus, Ulaanbaatar,2024,13145.0
Bus, Ulaanbaatar,2023,12464.0
Bus, Ulaanbaatar,2022,16192.0
Bus, Ulaanbaatar,2021,16573.0
Bus, Ulaanbaatar,2020,16834.0
Bus, Ulaanbaatar,2019,11021.0
Bus, Ulaanbaatar,2018,4482.0
Bus, Ulaanbaatar,2017,4942.0
Bus, Ulaanbaatar,2016,5055.0
Bus, Ulaanbaatar,2015,4928.0
Bus, Ulaanbaatar,2014,4784.0
Bus, Ulaanbaatar,2013,4570.0
Bus, Ulaanbaatar,2012,4297.0
Bus, Ulaanbaatar,1957,
Bus, Ulaanbaatar,1956,
Bus, Ulaanbaatar,1955,
Bus, Ulaanbaatar,1954,
Bus, Ulaanbaatar,1953,
Bus, Ulaanbaatar,1952,
Bus, Ulaanbaatar,1951,
Bus, Ulaanbaatar,1950,
Bus, Ulaanbaatar,1949,
Bus, Ulaanbaatar,1948,
Bus, Ulaanbaatar,1947,
Bus, Ulaanbaatar,1946,
Bus, Ulaanbaatar,1945,
Bus, Ulaanbaatar,1944,
Bus, Ulaanbaatar,1943,
Bus, Ulaanbaatar,1942,
Bus, Ulaanbaatar,1941,
Bus, Ulaanbaatar,1940,
Bus,  Ulaanbaatar,2025,12463.0
Bus,  Ulaanbaatar,2024,13145.0
Bus,  Ulaanbaatar,2023,12464.0
Bus,  Ulaanbaatar,2022,16192.0
